method,T_C,fractional_density,uncertainty_density,extraction_method
CS,950,0.652,0.006,visual digitization embedded Figure 2
CS,1050,0.675,0.006,visual digitization embedded Figure 2
CS,1150,0.721,0.006,visual digitization embedded Figure 2
CS,1200,0.769,0.006,visual digitization embedded Figure 2
CS,1250,0.821,0.006,visual digitization embedded Figure 2
CS,1300,0.925,0.006,visual digitization embedded Figure 2
CS,1350,0.948,0.006,visual digitization embedded Figure 2
CS,1500,0.975,0.006,visual digitization embedded Figure 2
LMS,950,0.670,0.006,visual digitization embedded Figure 2
LMS,1050,0.704,0.006,visual digitization embedded Figure 2
LMS,1150,0.789,0.006,visual digitization embedded Figure 2
LMS,1200,0.893,0.006,visual digitization embedded Figure 2
LMS,1250,0.959,0.006,visual digitization embedded Figure 2
LMS,1300,0.970,0.006,visual digitization embedded Figure 2
LMS,1350,0.980,0.006,visual digitization embedded Figure 2
LMS,1400,0.980,0.006,visual digitization embedded Figure 2
HMS,950,0.658,0.006,visual digitization embedded Figure 2
HMS,1050,0.668,0.006,visual digitization embedded Figure 2
HMS,1150,0.710,0.006,visual digitization embedded Figure 2
HMS,1200,0.758,0.006,visual digitization embedded Figure 2
HMS,1250,0.839,0.006,visual digitization embedded Figure 2
HMS,1300,0.898,0.006,visual digitization embedded Figure 2
HMS,1350,0.925,0.006,visual digitization embedded Figure 2
HMS,1400,0.955,0.006,visual digitization embedded Figure 2
HMS,1450,0.973,0.006,visual digitization embedded Figure 2
HMS,1500,0.980,0.006,visual digitization embedded Figure 2
