parameter_id,mechanism_mode,G0_nm,T1_C,rho_switch,growth_tolerance,map_type,T2_min_searched_C,T2_max_searched_C,T2_cap_C,extension_model_extrapolative,boundary_status,n_success,T_lower_density_C,lower_bracketed,T_first_success_C,T_last_success_C,T_upper_growth_C,window_width_C,upper_bracketed
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.05,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1300.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.05,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.1,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1300.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.1,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.05,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1300.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.05,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.1,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1300.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.1,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.85,0.05,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1295.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.85,0.05,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.85,0.1,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1295.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.85,0.1,practical,900.0,1245.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1300.0,0.75,0.05,kinetic,900.0,1300.0,1550.0,True,NO_OVERLAP,0,1300.0,True,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1300.0,0.75,0.05,practical,900.0,1295.0,1550.0,True,LOWER_BOUND_RIGHT_CENSORED,0,,,,,,,
