parameter_id,rho,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery
nominal_persistent,0.7,0.0,0.0,4.569111536451377e-57
nominal_persistent,0.7,0.0,0.0,8.662259602016678e-56
nominal_persistent,0.7,0.0,0.0,1.481707405476892e-54
nominal_persistent,0.7,0.0,0.0,2.298939273660204e-53
nominal_persistent,0.7,0.0,0.0,3.2514179994881244e-52
nominal_persistent,0.7,0.0,0.0,4.211164865302776e-51
nominal_persistent,0.7,0.0,0.0,5.016360569239899e-50
nominal_persistent,0.7,0.0,0.0,5.518039677035887e-49
nominal_persistent,0.7,0.0,0.0,5.626419098291834e-48
nominal_persistent,0.7,0.0,0.0,5.336664216472896e-47
nominal_persistent,0.7,0.0,0.0,4.72436180695556e-46
nominal_persistent,0.7,0.0,0.0,3.9157011450813156e-45
nominal_persistent,0.7,0.0,0.0,3.047515260975445e-44
nominal_persistent,0.7,0.0,0.0,2.2333365604743873e-43
nominal_persistent,0.7,0.0,0.0,1.545136688613674e-42
nominal_persistent,0.7,0.0,0.0,1.0117007358196628e-41
nominal_persistent,0.7,0.0,0.0,6.283732073807105e-41
nominal_persistent,0.7,0.0,0.0,3.710358302926713e-40
nominal_persistent,0.7,0.0,0.0,2.087116945145105e-39
nominal_persistent,0.7,0.0,0.0,1.1206295921782664e-38
nominal_persistent,0.7,0.0,0.0,5.753976632245848e-38
nominal_persistent,0.7,0.0,0.0,2.830276212696952e-37
nominal_persistent,0.7,0.0,0.0,1.3358838665976556e-36
nominal_persistent,0.7,0.0,0.0,6.060034981263971e-36
nominal_persistent,0.7,0.0,0.0,2.646066628017202e-35
nominal_persistent,0.7,0.0,0.0,1.113693709646e-34
nominal_persistent,0.7,0.0,0.0,4.524386415771557e-34
nominal_persistent,0.7,0.0,0.0,1.77641096086673e-33
nominal_persistent,0.7,0.0,0.0,6.74917932283173e-33
nominal_persistent,0.7,0.0,0.0,2.484224468752778e-32
nominal_persistent,0.7,0.0,0.0,8.868450584749984e-32
nominal_persistent,0.7,0.0,0.0,3.0738588962435266e-31
nominal_persistent,0.7,0.0,0.0,1.0354768200927391e-30
nominal_persistent,0.7,0.0,0.0,3.393424014284109e-30
nominal_persistent,0.7,0.0,0.0,1.0828774511131441e-29
nominal_persistent,0.7,0.0,0.0,3.367815066327777e-29
nominal_persistent,0.7,0.0,0.0,1.0216740442206272e-28
nominal_persistent,0.7,0.0,0.0,3.025681440984203e-28
nominal_persistent,0.7,0.0,0.0,8.754214652883815e-28
nominal_persistent,0.7,0.0,0.0,2.4763753838917473e-27
nominal_persistent,0.7,0.0,0.0,6.853772380249526e-27
nominal_persistent,0.7,0.0,0.0,1.8571738997019019e-26
nominal_persistent,0.7,0.0,0.0,4.930248111702515e-26
nominal_persistent,0.7,0.0,0.0,1.2830700016125999e-25
nominal_persistent,0.7,0.0,0.0,3.2753551108896413e-25
nominal_persistent,0.7,0.0,0.0,8.206227864936801e-25
nominal_persistent,0.7,0.0,0.0,2.0190480503613005e-24
nominal_persistent,0.7,0.0,0.0,4.8808895935399e-24
nominal_persistent,0.7,0.0,0.0,1.1599063810853607e-23
nominal_persistent,0.7,0.0,0.0,2.711017730241904e-23
nominal_persistent,0.7,0.0,0.0,6.234949740315283e-23
nominal_persistent,0.7,0.0,0.0,1.4116359178371838e-22
nominal_persistent,0.7,0.0,0.0,3.147691536947132e-22
nominal_persistent,0.7,0.0,0.0,6.915520779774596e-22
nominal_persistent,0.7,0.0,0.0,1.4976063931724658e-21
nominal_persistent,0.7,0.0,0.0,3.1980183109890652e-21
nominal_persistent,0.7,0.0,0.0,6.736571747499449e-21
nominal_persistent,0.7,0.0,0.0,1.4003289815875375e-20
nominal_persistent,0.7,0.0,0.0,2.873473347587501e-20
nominal_persistent,0.7,0.0,0.0,5.82260984398351e-20
nominal_persistent,0.7,0.0,0.0,1.1654777075454637e-19
nominal_persistent,0.7,5.118511512968088e-35,0.0,2.305172654249467e-19
nominal_persistent,0.7,1.0006659742120904e-34,0.0,4.5065989085839035e-19
nominal_persistent,0.7,3.868466121191265e-34,0.0,8.711011290946181e-19
nominal_persistent,0.7,1.1092971701030177e-33,0.0,1.6652767739730308e-18
nominal_persistent,0.7,3.496491803702276e-33,0.0,3.149359836851509e-18
nominal_persistent,0.7,1.0469410944698271e-32,0.0,5.893754403666455e-18
nominal_persistent,0.7,2.908902947526759e-32,0.0,1.0917111858782013e-17
nominal_persistent,0.7,8.890949217193041e-32,0.0,2.0020637790760203e-17
nominal_persistent,0.7,2.502703227027607e-31,0.0,3.635862361503351e-17
nominal_persistent,0.7,6.825524387311188e-31,0.0,6.540304061128209e-17
nominal_persistent,0.7,1.7340548620361986e-30,0.0,1.1655953478367321e-16
nominal_persistent,0.7,4.068015069645602e-30,0.0,2.0585068709879925e-16
nominal_persistent,0.7000000000000002,9.121134887672798e-30,0.0,3.6033280422208954e-16
nominal_persistent,0.7000000000000002,2.0549139753092662e-29,0.0,6.2530471712709e-16
nominal_persistent,0.7000000000000002,4.802186513046714e-29,0.0,1.075976387598002e-15
nominal_persistent,0.7000000000000002,1.1416138591897069e-28,0.0,1.836204196731228e-15
nominal_persistent,0.7000000000000002,2.7538549001039616e-28,0.0,3.1083358150224355e-15
nominal_persistent,0.7000000000000001,6.676754308988843e-28,0.0,5.22038684340324e-15
nominal_persistent,0.7000000000000002,1.6207802737385167e-27,0.0,8.70005415596767e-15
nominal_persistent,0.7000000000000002,3.9173365588424995e-27,0.0,1.4389979989137928e-14
nominal_persistent,0.7000000000000002,9.406112442793797e-27,0.0,2.3625970157475887e-14
