parameter_id,mechanism_mode,success_5pct,success_10pct,has_lower_failure,has_upper_failure,rejected,rejection_reason
mech_000,persistent_junction,0,0,True,True,True,no_success_window
mech_005,persistent_junction,0,0,True,True,True,no_success_window
mech_010,persistent_junction,0,0,True,True,True,no_success_window
mech_015,persistent_junction,0,0,True,True,True,no_success_window
mech_020,persistent_junction,0,0,True,True,True,no_success_window
mech_025,persistent_junction,0,0,True,True,True,no_success_window
mech_030,persistent_junction,0,0,True,True,True,no_success_window
mech_040,persistent_junction,0,0,True,True,True,no_success_window
mech_044,persistent_tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_045,persistent_junction,0,0,True,True,True,no_success_window
mech_046,tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_047,tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_048,persistent_tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_049,persistent_tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_050,persistent_junction,0,0,True,True,True,no_success_window
mech_051,tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_060,persistent_junction,0,0,True,True,True,no_success_window
