parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
nominal_persistent,0.7,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406
