parameter_id,G0_nm,T1_C,rho_switch,growth_tolerance,T_success_lower_C,T_success_upper_C,window_width_C,n_success
mech_009,50.0,1250.0,0.75,0.05,nan,nan,nan,0
mech_009,50.0,1250.0,0.75,0.1,nan,nan,nan,0
mech_009,50.0,1250.0,0.8,0.05,nan,nan,nan,0
mech_009,50.0,1250.0,0.8,0.1,nan,nan,nan,0
mech_009,50.0,1250.0,0.85,0.05,nan,nan,nan,0
mech_009,50.0,1250.0,0.85,0.1,nan,nan,nan,0
mech_009,50.0,1300.0,0.75,0.05,nan,nan,nan,0
mech_009,50.0,1300.0,0.75,0.1,nan,nan,nan,0
mech_009,50.0,1300.0,0.8,0.05,nan,nan,nan,0
mech_009,50.0,1300.0,0.8,0.1,nan,nan,nan,0
mech_009,50.0,1300.0,0.85,0.05,nan,nan,nan,0
mech_009,50.0,1300.0,0.85,0.1,nan,nan,nan,0
mech_009,50.0,1350.0,0.75,0.05,nan,nan,nan,0
mech_009,50.0,1350.0,0.75,0.1,nan,nan,nan,0
mech_009,50.0,1350.0,0.8,0.05,nan,nan,nan,0
mech_009,50.0,1350.0,0.8,0.1,nan,nan,nan,0
mech_009,50.0,1350.0,0.85,0.05,nan,nan,nan,0
mech_009,50.0,1350.0,0.85,0.1,nan,nan,nan,0
mech_009,75.0,1250.0,0.75,0.05,nan,nan,nan,0
mech_009,75.0,1250.0,0.75,0.1,nan,nan,nan,0
mech_009,75.0,1250.0,0.8,0.05,nan,nan,nan,0
mech_009,75.0,1250.0,0.8,0.1,nan,nan,nan,0
mech_009,75.0,1250.0,0.85,0.05,nan,nan,nan,0
mech_009,75.0,1250.0,0.85,0.1,nan,nan,nan,0
mech_009,75.0,1300.0,0.75,0.05,nan,nan,nan,0
mech_009,75.0,1300.0,0.75,0.1,nan,nan,nan,0
mech_009,75.0,1300.0,0.8,0.05,nan,nan,nan,0
mech_009,75.0,1300.0,0.8,0.1,nan,nan,nan,0
mech_009,75.0,1300.0,0.85,0.05,nan,nan,nan,0
mech_009,75.0,1300.0,0.85,0.1,nan,nan,nan,0
mech_009,75.0,1350.0,0.75,0.05,nan,nan,nan,0
mech_009,75.0,1350.0,0.75,0.1,nan,nan,nan,0
mech_009,75.0,1350.0,0.8,0.05,nan,nan,nan,0
mech_009,75.0,1350.0,0.8,0.1,nan,nan,nan,0
mech_009,75.0,1350.0,0.85,0.05,nan,nan,nan,0
mech_009,75.0,1350.0,0.85,0.1,nan,nan,nan,0
mech_009,100.0,1250.0,0.75,0.05,nan,nan,nan,0
mech_009,100.0,1250.0,0.75,0.1,nan,nan,nan,0
mech_009,100.0,1250.0,0.8,0.05,nan,nan,nan,0
