material_id,topology_id,G0_nm,T1_C,rho_switch,prep_growth_tolerance,second_step_growth_tolerance,n_success,lower_bracketed,upper_bracketed,T_first_success,T_last_success,window_width_C,outcome,rejection_reason
E0142,D0014,600,1300,0.8,0.2,0.1,6,True,True,1100,1150,50,finite_window,
E0142,D0014,300,1500,0.88,0.2,0.1,6,True,True,1060,1110,50,finite_window,
E0142,D0014,600,1500,0.88,0.2,0.1,19,True,True,1060,1240,180,finite_window,
E0142,D0066,300,1300,0.8,0.2,0.1,4,True,True,1100,1130,30,finite_window,
E0142,D0066,600,1300,0.8,0.2,0.1,6,True,True,1100,1150,50,finite_window,
E0142,D0066,600,1500,0.88,0.2,0.1,11,True,True,1060,1160,100,finite_window,
E0142,D0091,300,1300,0.8,0.2,0.1,4,True,True,1100,1130,30,finite_window,
E0142,D0091,600,1300,0.8,0.2,0.1,7,True,True,1100,1160,60,finite_window,
E0142,D0091,600,1500,0.88,0.2,0.1,12,True,True,1060,1170,110,finite_window,
E0021,D0047,600,1300,0.8,0.2,0.1,3,True,True,1240,1260,20,finite_window,
E0021,D0047,300,1500,0.88,0.2,0.1,3,True,True,1190,1210,20,finite_window,
E0021,D0047,600,1500,0.88,0.2,0.1,9,True,True,1190,1270,80,finite_window,
E0142,D0065,300,1300,0.8,0.2,0.1,2,True,True,1100,1110,10,finite_window,
E0142,D0065,600,1300,0.8,0.2,0.1,5,True,True,1100,1140,40,finite_window,
E0142,D0065,300,1500,0.88,0.2,0.1,5,True,True,1060,1100,40,finite_window,
E0142,D0065,600,1500,0.88,0.2,0.1,8,True,True,1060,1130,70,finite_window,
E0142,D0087,300,1300,0.8,0.2,0.1,3,True,True,1100,1120,20,finite_window,
E0142,D0087,600,1300,0.8,0.2,0.1,5,True,True,1100,1140,40,finite_window,
E0142,D0087,300,1500,0.88,0.2,0.1,5,True,True,1060,1100,40,finite_window,
E0142,D0087,600,1500,0.88,0.2,0.1,9,True,True,1060,1140,80,finite_window,
E0142,D0115,300,1300,0.8,0.2,0.1,2,True,True,1100,1110,10,finite_window,
E0142,D0115,600,1300,0.8,0.2,0.1,5,True,True,1100,1140,40,finite_window,
E0142,D0115,300,1500,0.88,0.2,0.1,5,True,True,1060,1100,40,finite_window,
E0142,D0115,600,1500,0.88,0.2,0.1,8,True,True,1060,1130,70,finite_window,
E0021,D0022,600,1300,0.8,0.2,0.1,3,True,True,1240,1260,20,finite_window,
E0021,D0022,600,1500,0.88,0.2,0.1,9,True,True,1190,1270,80,finite_window,
E0021,D0036,600,1300,0.8,0.2,0.1,2,True,True,1240,1250,10,finite_window,
E0021,D0036,600,1500,0.88,0.2,0.1,8,True,True,1190,1260,70,finite_window,
E0142,D0039,300,1300,0.8,0.2,0.1,2,True,True,1100,1110,10,finite_window,
E0142,D0039,600,1300,0.8,0.2,0.1,5,True,True,1100,1140,40,finite_window,
E0142,D0039,300,1500,0.88,0.2,0.1,4,True,True,1060,1090,30,finite_window,
E0142,D0039,600,1500,0.88,0.2,0.1,8,True,True,1060,1130,70,finite_window,
E0021,D0048,600,1500,0.88,0.2,0.1,11,True,True,1190,1290,100,finite_window,
E0142,D0064,300,1300,0.8,0.2,0.1,2,True,True,1100,1110,10,finite_window,
E0142,D0064,600,1300,0.8,0.2,0.1,5,True,True,1100,1140,40,finite_window,
E0142,D0064,300,1500,0.88,0.2,0.1,4,True,True,1060,1090,30,finite_window,
E0142,D0064,600,1500,0.88,0.2,0.1,8,True,True,1060,1130,70,finite_window,
