model_style,G0_nm,T1_heating_rate_C_min,rho_switch,T2_C,first_step_attained,classification_5pct,growth_fraction,rho1,G1_nm,first_time_h,first_mean_radius_nm,first_large_fraction,first_fine_fraction,first_f_pore,first_connected_coverage,first_isolation,first_activity,first_E_G,rho2,G2_nm,second_time_h,second_initial_rho_dot,second_final_rho_dot,second_initial_dGdt_nm_s,second_final_dGdt_nm_s,second_median_E_G,second_mean_radius_nm,second_large_fraction,second_fine_fraction,second_f_pore,second_connected_coverage,second_isolation,second_activity
density,75.0,0.2,0.85,1000.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.0005235924050084025,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.85019704010453,182.14294249050616,95.95,4.300782052406569e-10,4.30045097934311e-10,2.716039073421913e-07,2.803096566572807e-07,0.2837952788958677,62.89743512666887,0.12043672174835142,0.2298239740125445,0.2840725624822147,0.2072326791243511,0.0591431010801855,0.11178147973463341
density,75.0,0.2,0.85,1025.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.0020089904501427902,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.850621440507425,182.413355674927,95.95,1.6645645291726773e-09,1.6526978698572819e-09,1.035833215008846e-06,1.0817949854773156e-06,0.2854815597247595,62.84680416907572,0.1201233182328093,0.23024079442475967,0.2839640618070617,0.20619859969742768,0.06046881095203426,0.1415885088690205
density,75.0,0.2,0.85,1050.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.006674999846383066,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.851889993339523,183.26279159784877,95.95,5.4329949046682366e-09,5.22663264890689e-09,3.381119991878116e-06,3.6534385095262076e-06,0.2767816857134402,62.84168196543237,0.12014448627400641,0.23030520914154465,0.2830735564223521,0.20266307091002875,0.06459889339391121,0.17578170077091787
density,75.0,0.2,0.85,1075.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.018933471518348916,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8547856189622981,185.494417236382,95.95,1.4720328493742565e-08,1.2722040541171707e-08,9.307144625335133e-06,1.0609433854532496e-05,0.25213886394644724,62.99406037717686,0.12126810258458746,0.22913002887810835,0.2806653411177015,0.1941659147263387,0.07502744702778485,0.21341248863486434
density,75.0,0.2,0.85,1100.0,True,DENSIFICATION_EXHAUSTION_FAILURE,0.04630273015473336,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8597124782627575,190.4769257345892,95.95,3.374506755033612e-08,2.2982386917022486e-08,2.2039103464182375e-05,2.6321372344596756e-05,0.21081856930081766,63.38961670708824,0.12410517248746263,0.22607874918326828,0.27723054274734893,0.17972387417953317,0.09637255875373599,0.25406454877091633
density,75.0,0.2,0.85,1125.0,True,MIXED_FAILURE,0.10048502508206932,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8662447539888432,200.34068377474793,95.95,6.812424097520974e-08,3.214286849001918e-08,4.675770351571316e-05,5.658822557100317e-05,0.16106743571632487,64.0091149042004,0.12859305036039706,0.22140763301687702,0.2754939950013531,0.16162363882085706,0.13293064462013923,0.299568476396882
density,75.0,0.2,0.85,1150.0,True,MIXED_FAILURE,0.1986267416899997,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.873602879193744,218.20715007272779,95.95,1.2577739238517494e-07,3.7988403519390083e-08,9.23344304653508e-05,0.00010738278854030762,0.11525782757853131,64.7773747258474,0.13428984899322083,0.21581047379243212,0.2793190336460276,0.1435609258318515,0.18747415737028328,0.3534636238092653
density,75.0,0.2,0.85,1175.0,True,MIXED_FAILURE,0.36182121972070347,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8811755064259155,247.91631700527742,95.95,2.1791551449274184e-07,4.0810646353856187e-08,0.00017414576565193276,0.0001821042523513832,0.08131325993237476,65.63200730229372,0.14081266126534106,0.2098304782899252,0.2918302323378972,0.12798420602186125,0.2600314310463592,0.41760932572837917
density,75.0,0.2,0.85,1200.0,True,MIXED_FAILURE,0.6107053087101627,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8885770696738668,293.225073991848,95.95,3.597016426268156e-07,4.142197883211245e-08,0.0003183698357439687,0.0002804452652513083,0.05963698551372218,66.53206494762567,0.14789745283264896,0.20379817725765506,0.31427265235550517,0.11548600390450317,0.34646659532220214,0.4893073782809472
density,75.0,0.2,0.85,1225.0,True,MIXED_FAILURE,0.9622240769879518,0.8500484864325228,182.04762373736745,111.1,62.438994585569205,0.1174692890469413,0.2335680894418283,0.2860981393717461,0.20904535517045422,0.05868552971994696,0.6498593201419027,0.11734368452435988,0.8955445237155852,357.21823045590577,95.95,5.706120241035716e-07,4.0414618220421834e-08,0.0005686853016986081,0.00040053090410656686,0.04662113451858213,67.44463412772373,0.1553071092524265,0.19794360088328367,0.34606778856417975,0.1056841693484868,0.43843241489122187,0.5631373165324807
