figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,ablation,median_reduction,min_reduction,max_reduction,span20,high_density_attainment,complete_Chen_window,first_success_C,last_success_C,lower_boundary_C,upper_boundary_C,window_width_C,lower_bracketed,upper_bracketed,complete,closed_fraction_at_switch,closed_accommodation_at_switch,required_for_high_density_attainment,required_for_lower_boundary,required_for_upper_boundary,required_for_trajectory_reduction,fast_firing_preserved,loss_reason
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",full_model,0.9062874073435804,0.8928557707759996,0.9175558061144208,0.0299999999999966,True,True,930.0,1200.0,930.0,1200.0,270.0,True,True,True,0.6494175043485234,0.1521739946592898,False,False,False,False,,preserved
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_PR_damage,-0.0556857061830956,-0.0572072064858635,-0.050477258547154,0.0,False,False,,,,,0.0,True,True,False,0.1306110493342364,0.3458941617686533,True,False,False,True,,joint trajectory/window criteria lost
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_closed_transition,,,,0.0,False,False,,,,,0.0,False,False,False,1.1970543166413054e-10,0.632471708828548,True,True,True,True,,joint trajectory/window criteria lost
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_closed_shrinkage,,,,0.0,False,False,,,,,0.0,False,False,False,0.9999994165715012,0.9090423597991542,True,True,True,True,,joint trajectory/window criteria lost
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",infinite_closed_accommodation,,,,0.0,False,False,,,,,0.0,False,False,False,7.262213246468663e-08,999999.929646092,True,True,True,True,,joint trajectory/window criteria lost
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_sweep_coalescence,0.9062874073440298,0.8928557707765012,0.9175558061148218,0.0299999999999966,True,True,930.0,1200.0,930.0,1200.0,270.0,True,True,True,0.6494175043480807,0.1521739946595571,False,False,False,False,,preserved
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_TJ_multihit,0.9331762260069436,0.9242473320125644,0.938899613281077,0.0299999999999966,True,True,920.0,1110.0,920.0,1110.0,190.0,True,True,True,0.6669301948542641,0.1416995738219084,False,False,False,False,,preserved
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_residual_stress,0.3044941579199548,0.1931429903613747,0.6360203035928831,0.0286999999999968,True,True,960.0,1250.0,960.0,1250.0,290.0,True,True,True,0.2331947606518179,0.3042961187000256,False,False,False,True,,preserved
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_attached_pore_drag,0.926404521674758,0.9155676539556288,0.9353252863763836,0.0299999999999966,True,True,930.0,1180.0,930.0,1180.0,250.0,True,True,True,0.6495279285667465,0.1520917872154177,False,False,False,False,,preserved
Candidate 693168,ablations,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Frozen causal audit; conditional Tier B, not validation.",no_persistent_junction,0.8540192490076746,0.8329668919585191,0.8714623953123258,0.0299999999999966,True,True,930.0,1170.0,930.0,1170.0,240.0,True,True,True,0.6495653248555548,0.1520637123367613,False,False,False,False,,preserved
