figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,path_label,stage,physical_time_s,physical_time_h,T_C,rho,phi_closed,closed_fraction,closed_accommodation_capacity,closed_accommodation_available,closed_accommodation_used,closed_accommodation_factor,closed_shrinkage_flux,open_shrinkage_flux
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,0.0,0.0,1400.0,0.7,0.003116101447025,0.0103870048234166,0.9090423597991542,0.9090423597991542,0.0,1.0,8.558859877705606e-06,0.0001566522863005
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,12.105720747451688,0.0033627002076254,1400.0,0.702,0.021871097394531,0.0733929442769499,0.9090423597991542,0.9086946704322698,0.0003476893668843,0.9996175212704488,6.037580596314109e-05,0.0001531032943151
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,21.47431934746904,0.0059650887076302,1400.0,0.704,0.0349116757425295,0.1179448504815185,0.9090423597991542,0.906781521959288,0.0022608378398661,0.9975129455569424,9.775766395059195e-05,0.000146153657189
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,29.67402074162699,0.0082427835393408,1400.0,0.706,0.0448492142810637,0.1525483478947745,0.9090423597991542,0.9040522510523183,0.0049901087468358,0.9945105872206678,0.0001271275597215,0.000140188189769
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,37.15580961419013,0.0103210582261639,1400.0,0.708,0.0528117623343145,0.1808621997750499,0.9090423597991542,0.900792032293262,0.008250327505892,0.99092415505509,0.0001513237607337,0.0001350804066772
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,44.13894822589149,0.0122608189516365,1400.0,0.71,0.0594001184859356,0.2048279947790884,0.9090423597991542,0.8971454116290676,0.0118969481700865,0.9869126580936062,0.0001718757145755,0.0001305737301649
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,50.75162361604136,0.0140976732266781,1400.0,0.712,0.064963109494327,0.2255663524108578,0.9090423597991542,0.8931964614807026,0.0158458983184515,0.9825685809383486,0.0001896772966248,0.0001265183313809
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,57.07682176192841,0.0158546727116467,1400.0,0.714,0.0697250310300441,0.243793814790364,0.9090423597991542,0.8889992436546127,0.0200431161445414,0.9779513947524184,0.0002053068819609,0.0001228175153981
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,63.17207105182234,0.017547797514395,1400.0,0.716,0.0738403311722802,0.2600011660995784,0.9090423597991542,0.8845909196357506,0.0244514401634035,0.9731019793524188,0.0002191651020369,0.0001194045113103
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,69.0792757186156,0.0191886876996154,1400.0,0.718,0.0774207543944786,0.274541682249924,0.9090423597991542,0.8799982778163253,0.0290440819828288,0.968049803543538,0.0002315434357302,0.0001162309054169
