figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,source_node,target_node,edge_label,causal_status,supporting_evidence
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF01,FF02,extends exposure,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF02,FF03,reveals waiting,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF03,FF04,permits growth before renewal,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF04,FF05,precedes,diagnostic,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF06,FF07,shortens exposure,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,FF07,FF08,preserves,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS01,TS02,prepares,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS02,TS03,exhausts at low T2,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS02,TS04,supports within finite range,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS04,TS05,loses bounded growth above range,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS03,TS06,defines lower boundary,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
Figure 1,edges,,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Causal-status labels preserve final-attribution versus hypothesis distinctions.,TS05,TS06,defines upper boundary,final_attribution,"Exact synthesis, causal ablations, and negative-control progression"
