figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,rho0,G0_nm,tier,median_reduction,window_width_C,complete,attained
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.65,75.0,Tier_B,0.9147521528806292,300,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.65,100.0,Tier_B,0.9018916911939956,315,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.65,150.0,Tier_B,0.8730580639237647,340,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.7,75.0,Tier_B,0.9090371457237982,260,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.7,100.0,Tier_B,0.8938129038898149,275,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.7,150.0,Tier_B,0.8602322471105914,310,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.75,75.0,Tier_B,0.8982922041579844,250,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.75,100.0,Tier_B,0.8799082684779365,275,True,True
Figure 6,robustness,693168,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.75,150.0,Tier_B,0.8399679326811977,300,True,True
Figure 6,robustness,822940,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.65,75.0,Tier_B,0.355068844734261,315,True,True
Figure 6,robustness,822940,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,No selective budget extension or new cases.,0.65,100.0,Tier_B,0.2492330399464144,325,True,True
