figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,symbol,OMML_or_LaTeX_label,plain_text_key,human_readable_name,units,definition,relevant_equation_ids,source_file/function,recommended_axis_label
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,T,T,T,T,K,absolute temperature,PR-03;PL-03;PL-06;TJ-04;TJ-05;MET-06;PROP-08,results/equation_functional_form_audit/equation_registry.csv,T [K]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,T_C,T_C,T_C,Temperature,degC,Celsius temperature,,results/equation_functional_form_audit/equation_registry.csv,Temperature [degC]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,rho,rho,rho,Relative density,1,relative density from pore volume,FF-07,results/equation_functional_form_audit/equation_registry.csv,Relative density [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,G,G,G,G,m in fast; nm-like local code unit,mean/local grain size,FF-01;FF-04;FF-10;PL-02;PL-06,results/equation_functional_form_audit/equation_registry.csv,G [m in fast; nm-like local code unit]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,phi_i,phi_i,phi_i,Phi I,1,pore-bin volume fraction,FF-01,results/equation_functional_form_audit/equation_registry.csv,Phi I [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,phi_GBseg,phi_GBseg,phi_GBseg,Phi Gbseg,1,GB-segment pore store,,results/equation_functional_form_audit/equation_registry.csv,Phi Gbseg [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,phi_TJ,phi_TJ,phi_TJ,Phi Tj,1,TJ pore store,,results/equation_functional_form_audit/equation_registry.csv,Phi Tj [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,phi_iso,phi_iso,phi_iso,Phi Iso,1,isolated pore store,,results/equation_functional_form_audit/equation_registry.csv,Phi Iso [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,phi_closed,phi_closed,phi_closed,Closed-pore volume fraction,1,closed-pore store,,results/equation_functional_form_audit/equation_registry.csv,Closed-pore volume fraction [1]
Supplement,equation_labels,,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Labels derive from audited definitions; proxy quantities retain proxy units/status.,N_i,N_i,N_i,N I,code-normalized,pore-number proxy,,results/equation_functional_form_audit/equation_registry.csv,N I [code-normalized]
