figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,highT_vs_twostep_G_rho.pdf,highT_vs_twostep_G_rho.png,highT_vs_twostep_G_rho,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
2,two_step_reduction_vs_density.pdf,two_step_reduction_vs_density.png,two_step_reduction_vs_density,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
3,pore_number_and_D90_vs_density.pdf,pore_number_and_D90_vs_density.png,pore_number_and_D90_vs_density,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
4,pore_location_fractions_vs_density.pdf,pore_location_fractions_vs_density.png,pore_location_fractions_vs_density,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
5,sweep_coalescence_memory_vs_density.pdf,sweep_coalescence_memory_vs_density.png,sweep_coalescence_memory_vs_density,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
6,physical_time_histories_highT_vs_twostep.pdf,physical_time_histories_highT_vs_twostep.png,physical_time_histories_highT_vs_twostep,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
7,Chen_filled_window_map.pdf,Chen_filled_window_map.png,Chen_filled_window_map,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
8,ablation_waterfall_pore_sweep_memory.pdf,ablation_waterfall_pore_sweep_memory.png,ablation_waterfall_pore_sweep_memory,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
9,robustness_heatmap_rho0_G0.pdf,robustness_heatmap_rho0_G0.png,robustness_heatmap_rho0_G0,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
10,fast_firing_preservation.pdf,fast_firing_preservation.png,fast_firing_preservation,grain_growth_pore_coalescence_plots.py,mechanism audit,draft
