case_id,rho_target,G_mean_ref_nm,G_mean_fast_nm,G50_ref_nm,G50_fast_nm,G90_ref_nm,G90_fast_nm,G90_G50_ref,G90_G50_fast
A006,0.85,171.67995600070344,168.65165590802758,165.0025886948535,162.97684303913155,165.0025886948535,162.97684303913155,1.0,1.0
A007,0.85,183.58734513672076,195.23329989889135,183.58734513672076,195.23329989889135,183.58734513672076,195.23329989889135,1.0,1.0
A010,0.85,205.11743305930412,203.66246568564188,173.97563867621645,169.27695137760588,277.7816199531753,283.8953324043926,1.596669637581562,1.6771056549282226
A010,0.88,242.3965432711583,232.50059314938662,195.74720096384732,184.61275034290435,351.24500865488386,344.2388930311786,1.7943807468274122,1.8646539439544703
A010,0.9,281.8151013622379,264.0028556814784,222.30573093326987,204.01589985222785,420.67029902983,403.97241928306306,1.8923052377633205,1.9801026271759559
A010,0.92,348.1403618514565,315.71343730934126,273.11681383593066,240.40114083645892,523.1953072210168,491.44212907940005,1.9156466417161546,2.0442587226061475
A011,0.85,508.7070849662909,516.984188465245,240.936309492629,246.1875318373957,1803.6418764284533,1802.0720384420201,7.485969550320651,7.319915939659649
A011,0.88,528.9188018224356,534.834505065293,259.89155291741173,262.8845797568955,1828.518329186259,1816.906733211788,7.035697423253017,6.911423769671034
A011,0.9,557.2376597768856,561.5594309438501,285.52512349936484,286.726277039247,1874.4908301372586,1852.9636764067095,6.565064422926091,6.462482949036011
A011,0.92,618.4805978603428,619.8560063927532,340.5960578461123,338.04961896766457,1982.513561337247,1945.1546527745832,5.820717872879738,5.754050718100774
A014,0.85,293.0080474637216,301.784369834903,293.0080474637216,301.784369834903,293.0080474637216,301.784369834903,1.0,1.0
A014,0.88,338.68184674241166,346.27126839329895,338.68184674241166,346.27126839329895,338.68184674241166,346.27126839329895,1.0,1.0
A014,0.9,391.17572649502574,397.1565697845722,391.17572649502574,397.1565697845722,391.17572649502574,397.1565697845722,1.0,1.0
A014,0.92,484.45081841942266,488.39710034965026,484.45081841942266,488.39710034965026,484.45081841942266,488.39710034965026,1.0,1.0
A015,0.85,161.66221368222847,179.37528838329482,161.66221368222847,179.37528838329482,161.66221368222847,179.37528838329482,1.0,1.0
A015,0.88,252.30679560051072,271.8174345325048,252.30679560051072,271.8174345325048,252.30679560051072,271.8174345325048,1.0,1.0
A015,0.9,445.47128095714265,457.5274956852585,445.47128095714265,457.5274956852585,445.47128095714265,457.5274956852585,1.0,1.0
A015,0.92,1347.8068728731132,1241.9916405375309,1347.8068728731132,1241.9916405375309,1347.8068728731132,1241.9916405375309,1.0,1.0
A024,0.85,103.00525884157686,97.16694870729775,92.32316769610186,89.15146264151355,113.68734998705185,105.18243477308194,1.231406512840569,1.179817264423697
A025,0.85,197.82188059596263,201.61368405360142,168.2524797578601,172.27169583932877,168.2524797578601,172.27169583932877,1.0,1.0
A025,0.88,211.97218050175726,215.16502515183143,183.89969095883782,187.08071356251867,183.89969095883782,187.08071356251867,1.0,1.0
A026,0.85,294.69996950131787,304.3554754166881,318.38250696209,317.8180228576887,318.38250696209,317.8180228576887,1.0,1.0
A026,0.88,338.6163830498688,338.3672840335648,342.6090367988845,335.301026139565,342.6090367988845,344.0617629795644,1.0,1.026127975034448
A026,0.9,385.99350072549953,376.02432199671796,374.7181758381885,359.2067800186704,406.9333898019343,407.25689995594917,1.0859718477538092,1.1337672967497476
A026,0.92,459.24501538873125,437.2889709137398,431.8791051306074,404.5459720125618,510.0674201538186,498.0973974444989,1.1810421344639161,1.2312504187510047
B006,0.85,152.92674382824737,156.2373200471856,152.92674382824737,156.2373200471856,152.92674382824737,156.2373200471856,1.0,1.0
B007,0.85,176.05378016266818,188.88594070718358,176.05378016266818,188.88594070718358,176.05378016266818,188.88594070718358,1.0,1.0
B007,0.88,202.76301938321646,212.63003202714359,202.76301938321646,212.63003202714359,202.76301938321646,212.63003202714359,1.0,1.0
B008,0.85,231.77565817227827,231.60807410854954,231.77565817227827,231.60807410854954,231.77565817227827,231.60807410854954,1.0,1.0
B009,0.85,109.27539000192242,111.40645255446175,109.27539000192242,111.40645255446175,109.27539000192242,111.40645255446175,1.0,1.0
B010,0.85,250.49209256621774,256.3572662975895,250.49209256621774,256.3572662975895,250.49209256621774,256.3572662975895,1.0,1.0
B010,0.88,322.2606728371029,326.8743453291313,322.2606728371029,326.8743453291313,322.2606728371029,326.8743453291313,1.0,1.0
B011,0.85,264.67046588770864,271.3114078120419,264.67046588770864,271.3114078120419,264.67046588770864,271.3114078120419,1.0,1.0
B011,0.88,305.4282093054352,309.4405807428056,305.4282093054352,309.4405807428056,305.4282093054352,309.4405807428056,1.0,1.0
B011,0.9,370.03966374688275,369.8844762083366,370.03966374688275,369.8844762083366,370.03966374688275,369.8844762083366,1.0,1.0
B011,0.92,560.6596632562344,543.7414997854747,560.6596632562344,543.7414997854747,560.6596632562344,543.7414997854747,1.0,1.0
B012,0.85,118.3984047910602,115.31346785369735,118.3984047910602,115.31346785369735,118.3984047910602,115.31346785369735,1.0,1.0
B013,0.85,185.32703085530017,174.99719818532637,185.32703085530017,174.99719818532637,185.32703085530017,174.99719818532637,1.0,1.0
B013,0.88,216.07077782287342,192.0714354533424,216.07077782287342,192.0714354533424,216.07077782287342,192.0714354533424,1.0,1.0
B014,0.85,300.9073976658073,302.21300818565993,300.9073976658073,302.21300818565993,300.9073976658073,302.21300818565993,1.0,1.0
B014,0.88,365.0652937586689,359.30144298460596,365.0652937586689,359.30144298460596,365.0652937586689,359.30144298460596,1.0,1.0
B014,0.9,444.8799284461099,430.6036119919253,444.8799284461099,430.6036119919253,444.8799284461099,430.6036119919253,1.0,1.0
B014,0.92,610.4795874960502,571.7000684296407,610.4795874960502,571.7000684296407,610.4795874960502,571.7000684296407,1.0,1.0
B015,0.85,108.47680660390664,120.09449442497107,108.47680660390664,120.09449442497107,108.47680660390664,120.09449442497107,1.0,1.0
B015,0.88,135.33907429182958,143.85864307662047,135.33907429182958,143.85864307662047,135.33907429182958,143.85864307662047,1.0,1.0
B015,0.9,166.46555377512044,172.59577446151707,166.46555377512044,172.59577446151707,166.46555377512044,172.59577446151707,1.0,1.0
B015,0.92,235.56591221450347,234.3507400300221,235.56591221450347,234.3507400300221,235.56591221450347,234.3507400300221,1.0,1.0
C006,0.85,155.4515473399224,152.47930175576704,155.4515473399224,152.47930175576704,155.4515473399224,152.47930175576704,1.0,1.0
C008,0.85,225.9593408917875,225.81140816972822,225.75756328175063,225.61476592375485,225.75756328175063,225.61476592375485,1.0,1.0
C008,0.88,227.31720732693174,226.8310832869387,227.01087344512072,226.5520247519084,227.01087344512072,226.5520247519084,1.0,1.0
C008,0.9,229.24084933254215,228.3106244132857,228.88902491703325,227.99044111252564,228.88902491703325,227.99044111252564,1.0,1.0
C010,0.85,300.26915924100797,266.406394172689,266.6261090430082,237.08576512443048,362.7491096087219,320.8589909765976,1.360516083405052,1.3533456587248085
C010,0.88,380.6879576942305,313.91357529659325,325.1463119357608,267.10081275670444,483.8367283885313,400.8515628706725,1.4880584851416765,1.5007500678621983
C010,0.9,474.73970279172653,365.36148877674157,402.6629573000677,304.6501259325395,608.5965158476643,478.1111626302598,1.5114291116531315,1.5693778598211736
C011,0.85,627.1080020707261,582.3362594988861,461.25303424703816,419.58492826006,1290.5278733654782,1233.3415844541898,2.797874003088501,2.9394325233955043
C012,0.85,106.09676611145127,104.92974955338133,106.09676611145127,104.92974955338133,106.09676611145127,104.92974955338133,1.0,1.0
C012,0.88,119.12067906330084,116.8815815379954,119.12067906330084,116.8815815379954,119.12067906330084,116.8815815379954,1.0,1.0
C014,0.85,245.2562608394975,245.82598358727174,238.8208533560119,236.54755858428803,238.8208533560119,236.54755858428803,1.0,1.0
C014,0.88,269.4615981167192,260.0042722840945,257.9552547341234,247.2042852198532,257.9552547341234,247.2042852198532,1.0,1.0
C014,0.9,301.6683446078871,277.3562073421003,285.6627833496612,261.432382138731,285.6627833496612,261.432382138731,1.0,1.0
C014,0.92,364.22350028198105,309.2188329685867,342.7448488331277,289.28744091791583,342.7448488331277,289.28744091791583,1.0,1.0
C015,0.85,109.88250030734577,119.20064528093168,110.61939264688759,119.10646052738154,110.61939264688759,119.10646052738154,1.0,1.0
C015,0.88,136.27971806258913,144.34882389635595,137.53951819245225,144.48767708418026,137.53951819245225,144.48767708418026,1.0,1.0
C015,0.9,168.38596632262318,173.6426825036153,170.19052349110868,174.00162334941754,170.19052349110868,174.00162334941754,1.0,1.0
C015,0.92,239.5508464304754,235.68610797700802,242.46562348306466,236.417131433476,242.46562348306466,236.417131433476,1.0,1.0
C024,0.85,96.35454913119045,94.18786509369593,96.35454913119045,94.18786509369593,96.35454913119045,94.18786509369593,1.0,1.0
C025,0.85,184.46381945523257,175.10629738268727,182.27457380030904,173.24713653848926,182.27457380030904,173.24713653848926,1.0,1.0
C026,0.85,231.38180817019565,237.05082650133173,229.65628931515104,232.56748474262088,229.65628931515104,232.56748474262088,1.0,1.0
C026,0.88,243.41317752053527,246.74397129762187,238.74779046694673,239.56450777814143,238.74779046694673,239.56450777814143,1.0,1.0
C026,0.9,257.777521439384,258.01709126032483,250.2141994610195,248.30768210725358,250.2141994610195,248.30768210725358,1.0,1.0
C026,0.92,283.6844189353457,277.76967117065686,272.1206677026267,264.5871259539509,272.1206677026267,264.5871259539509,1.0,1.0
C027,0.85,128.71051729072647,132.69768403885976,129.07070257356435,132.56714928406316,129.07070257356435,132.56714928406316,1.0,1.0
C027,0.88,171.22207398923777,170.51451267831874,172.1449427494775,170.6579874571763,172.1449427494775,170.6579874571763,1.0,1.0
C027,0.9,245.55009334559165,235.38309256121656,247.3605366554034,235.97532633698205,247.3605366554034,235.97532633698205,1.0,1.0
C029,0.85,288.9911368826086,254.60583080805787,286.4247915731919,250.21903481690887,286.4247915731919,250.21903481690887,1.0,1.0
C030,0.85,244.13429998241207,252.3920421630109,244.13429998241207,252.3920421630109,244.13429998241207,252.3920421630109,1.0,1.0
C030,0.88,372.29046361247435,380.0354196522177,372.29046361247435,380.0354196522177,372.29046361247435,380.0354196522177,1.0,1.0
C030,0.9,555.1375763745808,555.4902902837869,555.1375763745808,555.4902902837869,555.1375763745808,555.4902902837869,1.0,1.0
C038,0.85,246.78006497457986,251.3080541499033,238.69080344168913,239.46109224867712,238.69080344168913,239.46109224867712,1.0,1.0
C039,0.85,110.83696351724178,118.02368611090812,111.22080942369948,117.89667174088291,111.22080942369948,117.89667174088291,1.0,1.0
C041,0.85,239.86399116678652,239.47741668382946,234.1920452079223,233.85322606950922,234.1920452079223,233.85322606950922,1.0,1.0
C041,0.88,250.26649716873152,247.68834398663938,244.8066116653678,242.27319039820364,244.8066116653678,242.27319039820364,1.0,1.0
C042,0.85,218.9555161510346,222.91318105998496,218.9555161510346,222.91318105998496,218.9555161510346,222.91318105998496,1.0,1.0
C042,0.88,326.1398405340224,324.72195565735547,326.1398405340224,324.72195565735547,326.1398405340224,324.72195565735547,1.0,1.0
C044,0.85,226.21236807167338,225.7261862527409,226.22283425519296,225.68539236434862,226.22283425519296,225.68539236434862,1.0,1.0
C044,0.88,228.24985309333042,226.78542998972043,228.38946395629566,226.78971924395182,228.38946395629566,226.78971924395182,1.0,1.0
C044,0.9,231.51711341758997,228.44293520988802,231.9187593928989,228.55850776541075,231.9187593928989,228.55850776541075,1.0,1.0
C044,0.92,238.73704718836325,232.0526220053762,239.78116102035344,232.4592770727908,239.78116102035344,232.4592770727908,1.0,1.0
C045,0.85,110.23509083708943,112.49489647220747,110.64028722308471,112.74960333859484,110.64028722308471,112.74960333859484,1.0,1.0
C045,0.88,135.12662386402738,136.16624833225416,136.32279128631856,136.9836445631035,136.32279128631856,136.9836445631035,1.0,1.0
C056,0.85,226.18923768116113,225.9003448075285,226.01778162265384,225.7517368648074,226.01778162265384,225.7517368648074,1.0,1.0
C056,0.88,227.55733683741755,226.93525271158865,227.34487586343351,226.7510547946925,227.34487586343351,226.7510547946925,1.0,1.0
C058,0.85,248.17501137642626,226.06570903910387,159.3039427696075,145.9019060029133,413.22128164623257,374.9413432491722,2.59391747914144,2.569817992930713
C058,0.88,322.9643386045444,276.49424088802164,209.33631283009834,180.64802529997004,533.9878150428015,454.4943555515461,2.550860898539839,2.5159110086968743
C058,0.9,403.03482737931927,329.4550735815881,269.7034025668288,220.33578735980805,650.6503306025159,532.1051765648941,2.4124661550804634,2.414973903880476
C059,0.85,612.5467012607303,579.4016294743515,418.54863680116495,384.3490387779021,1388.5389590989912,1359.611992260149,3.317509214009526,3.5374408547586023
C060,0.85,97.72783207657552,92.61241545495766,97.72783207657552,92.61241545495766,97.72783207657552,92.61241545495766,1.0,1.0
C060,0.88,111.60673259455858,105.08934532056362,111.60673259455858,105.08934532056362,111.60673259455858,105.08934532056362,1.0,1.0
C060,0.9,125.39635493982186,117.77376379547678,125.39635493982186,117.77376379547678,125.39635493982186,117.77376379547678,1.0,1.0
C062,0.85,237.269974239923,242.11244668269038,233.58433473478334,234.5590328816189,233.58433473478334,234.5590328816189,1.0,1.0
C062,0.88,259.7023653353078,255.43212891752165,250.51807105292679,244.19987034776847,250.51807105292679,244.19987034776847,1.0,1.0
C062,0.9,288.8930737957641,271.5367364089144,274.8528103761358,257.0597368890074,274.8528103761358,257.0597368890074,1.0,1.0
C062,0.92,345.87905154920463,300.8397542007558,325.76342642618687,282.204579388337,325.76342642618687,282.204579388337,1.0,1.0
C070,0.85,251.1621868388995,259.17323732600994,240.10283677893875,237.65868366491534,271.70097980739797,299.12883698232855,1.1316025393633788,1.2586488840613224
