T2_C,classification,candidate_id
800,mixed,480888
850,mixed,480888
900,mixed,480888
950,mixed,480888
1000,mixed,480888
1050,mixed,480888
1100,mixed,480888
1150,mixed,480888
1200,mixed,480888
1250,mixed,480888
1300,mixed,480888
1350,mixed,480888
1400,mixed,480888
1450,mixed,480888
1500,mixed,480888
800,mixed,393417
850,mixed,393417
900,mixed,393417
950,mixed,393417
1000,mixed,393417
1050,mixed,393417
1100,mixed,393417
1150,mixed,393417
1200,mixed,393417
1250,mixed,393417
1300,mixed,393417
1350,mixed,393417
1400,mixed,393417
1450,mixed,393417
1500,mixed,393417
800,mixed,635964
850,mixed,635964
900,mixed,635964
950,mixed,635964
1000,mixed,635964
1050,mixed,635964
1100,mixed,635964
1150,mixed,635964
1200,mixed,635964
1250,mixed,635964
1300,mixed,635964
1350,mixed,635964
1400,mixed,635964
1450,mixed,635964
1500,mixed,635964
800,mixed,705408
850,mixed,705408
900,mixed,705408
950,mixed,705408
1000,mixed,705408
1050,mixed,705408
1100,mixed,705408
1150,mixed,705408
1200,mixed,705408
1250,mixed,705408
1300,mixed,705408
1350,mixed,705408
1400,mixed,705408
1450,mixed,705408
1500,mixed,705408
800,mixed,687786
850,mixed,687786
900,mixed,687786
950,mixed,687786
1000,mixed,687786
1050,mixed,687786
1100,mixed,687786
1150,mixed,687786
1200,mixed,687786
1250,mixed,687786
1300,mixed,687786
1350,mixed,687786
1400,mixed,687786
1450,mixed,687786
1500,mixed,687786
800,mixed,438006
850,mixed,438006
900,mixed,438006
950,mixed,438006
1000,mixed,438006
1050,mixed,438006
1100,mixed,438006
1150,mixed,438006
1200,mixed,438006
1250,mixed,438006
1300,mixed,438006
1350,mixed,438006
1400,mixed,438006
1450,mixed,438006
1500,mixed,438006
800,mixed,123855
850,mixed,123855
900,mixed,123855
950,mixed,123855
1000,mixed,123855
1050,mixed,123855
1100,mixed,123855
1150,mixed,123855
1200,mixed,123855
1250,mixed,123855
1300,mixed,123855
1350,mixed,123855
1400,mixed,123855
1450,mixed,123855
1500,mixed,123855
800,mixed,837135
850,mixed,837135
900,mixed,837135
950,mixed,837135
1000,mixed,837135
1050,mixed,837135
1100,mixed,837135
1150,mixed,837135
1200,mixed,837135
1250,mixed,837135
1300,mixed,837135
1350,mixed,837135
1400,mixed,837135
1450,mixed,837135
1500,mixed,837135
800,mixed,403245
850,mixed,403245
900,mixed,403245
950,mixed,403245
1000,mixed,403245
1050,mixed,403245
1100,mixed,403245
1150,mixed,403245
1200,mixed,403245
1250,mixed,403245
1300,mixed,403245
1350,mixed,403245
1400,mixed,403245
1450,mixed,403245
1500,mixed,403245
800,mixed,667182
850,mixed,667182
900,mixed,667182
950,mixed,667182
1000,mixed,667182
1050,mixed,667182
1100,mixed,667182
1150,mixed,667182
1200,mixed,667182
1250,mixed,667182
1300,mixed,667182
1350,mixed,667182
1400,mixed,667182
1450,mixed,667182
1500,mixed,667182
800,mixed,91920
850,mixed,91920
900,mixed,91920
950,mixed,91920
1000,mixed,91920
1050,mixed,91920
1100,mixed,91920
1150,mixed,91920
1200,mixed,91920
1250,mixed,91920
1300,mixed,91920
1350,mixed,91920
1400,mixed,91920
1450,mixed,91920
1500,mixed,91920
800,mixed,888930
850,mixed,888930
900,mixed,888930
950,mixed,888930
1000,mixed,888930
1050,mixed,888930
1100,mixed,888930
1150,mixed,888930
1200,mixed,888930
1250,mixed,888930
1300,mixed,888930
1350,mixed,888930
1400,mixed,888930
1450,mixed,888930
1500,mixed,888930
800,mixed,14304
850,mixed,14304
900,mixed,14304
950,mixed,14304
1000,mixed,14304
1050,mixed,14304
1100,mixed,14304
1150,mixed,14304
1200,mixed,14304
1250,mixed,14304
1300,mixed,14304
1350,mixed,14304
1400,mixed,14304
1450,mixed,14304
1500,mixed,14304
800,mixed,62184
850,mixed,62184
900,mixed,62184
950,mixed,62184
1000,mixed,62184
1050,mixed,62184
1100,mixed,62184
1150,mixed,62184
1200,mixed,62184
1250,mixed,62184
1300,mixed,62184
1350,mixed,62184
1400,mixed,62184
1450,mixed,62184
1500,mixed,62184
