rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS000,96.0,1.0
0.651,50.05507836379706,50.0623668437889,0.9998544119974474,-0.01456092015053993,-0.0001455986015145763,LS000,96.0,1.0
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS000,240.0,1.0
0.651,50.05507836379706,50.0623668437889,0.9998544119974474,-0.01456092015053993,-0.0001455986015145763,LS000,240.0,1.0
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS000,500.0,1.0
0.651,50.05507836379706,50.0623668437889,0.9998544119974474,-0.01456092015053993,-0.0001455986015145763,LS000,500.0,1.0
0.65,75.00000000000001,75.00000000000001,1.0,0.0,0.0,LS001,96.0,1.0
0.651,75.0160125390767,75.01865627928596,0.9999647588967813,-0.0035242345197810054,-3.524172420099801e-05,LS001,96.0,1.0
0.652,75.03449303205585,75.04631362705383,0.999842489331898,-0.01575354816209038,-0.00015752307421001963,LS001,96.0,1.0
0.653,75.05568825980373,75.08294599442038,0.9996369650357262,-0.03631668065224073,-0.0003631008774194548,LS001,96.0,1.0
0.65,75.00000000000001,75.00000000000001,1.0,0.0,0.0,LS001,240.0,1.0
0.651,75.0160125390767,75.01865627928596,0.9999647588967813,-0.0035242345197810054,-3.524172420099801e-05,LS001,240.0,1.0
0.652,75.03449303205585,75.04631362705383,0.999842489331898,-0.01575354816209038,-0.00015752307421001963,LS001,240.0,1.0
0.653,75.05568825980373,75.08294599442038,0.9996369650357262,-0.03631668065224073,-0.0003631008774194548,LS001,240.0,1.0
0.65,75.00000000000001,75.00000000000001,1.0,0.0,0.0,LS001,500.0,1.0
0.651,75.0160125390767,75.01865627928596,0.9999647588967813,-0.0035242345197810054,-3.524172420099801e-05,LS001,500.0,1.0
0.652,75.03449303205585,75.04631362705383,0.999842489331898,-0.01575354816209038,-0.00015752307421001963,LS001,500.0,1.0
