case_id,late_stage_mode,rho_close_mid,rho_close_width,k_closed_level,Q_closed_kJ_mol,q_closed,gas_pressure_ratio,residual_stress_coupling,pore_detachment_level,G0_nm,rho0,initial_topology,peak_T_C,hold_h,fast_rate_C_min
LS000,disabled,0.9,0.01,low,300.0,1.0,0.0,disabled,low,50.0,0.65,baseline,1300.0,0.0,5.0
LS001,closed_pore_vacancy_transport,0.92,0.01,low,300.0,1.0,0.0,disabled,low,75.0,0.65,baseline,1300.0,0.0,5.0
LS002,gas_limited_closed_pore,0.94,0.01,low,300.0,1.0,0.0,disabled,low,100.0,0.7,baseline,1300.0,0.0,5.0
LS003,pore_detachment_and_closure,0.9,0.02,low,300.0,1.0,0.0,disabled,low,150.0,0.7,baseline,1300.0,0.0,5.0
LS004,combined_late_stage,0.92,0.02,low,300.0,1.0,0.0,disabled,low,225.0,0.75,GBseg_rich,1300.0,0.0,5.0
LS005,disabled,0.94,0.02,medium,300.0,1.0,0.0,disabled,low,300.0,0.75,GBseg_rich,1300.0,0.0,5.0
LS006,closed_pore_vacancy_transport,0.9,0.03,medium,300.0,1.0,0.0,disabled,low,50.0,0.65,GBseg_rich,1350.0,0.0,5.0
LS007,gas_limited_closed_pore,0.92,0.03,medium,400.0,1.0,0.0,disabled,low,75.0,0.65,GBseg_rich,1350.0,0.0,5.0
LS008,pore_detachment_and_closure,0.94,0.03,medium,400.0,1.0,0.0,disabled,low,100.0,0.7,TJ_rich,1350.0,0.0,20.0
LS009,combined_late_stage,0.9,0.01,medium,400.0,1.0,0.0,disabled,low,150.0,0.7,TJ_rich,1350.0,2.0,20.0
LS010,disabled,0.92,0.01,high,400.0,1.0,0.0,disabled,low,225.0,0.75,TJ_rich,1350.0,2.0,20.0
LS011,closed_pore_vacancy_transport,0.94,0.01,high,400.0,2.0,0.0,disabled,low,300.0,0.75,TJ_rich,1350.0,2.0,20.0
LS012,gas_limited_closed_pore,0.9,0.02,high,400.0,2.0,0.0,disabled,low,50.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0
LS013,pore_detachment_and_closure,0.92,0.02,high,400.0,2.0,0.25,disabled,low,75.0,0.65,mixed_GBseg_TJ,1400.0,2.0,20.0
LS014,combined_late_stage,0.94,0.02,high,500.0,2.0,0.25,disabled,low,100.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0
LS015,disabled,0.9,0.03,low,500.0,2.0,0.25,disabled,low,150.0,0.7,mixed_GBseg_TJ,1400.0,2.0,20.0
LS016,closed_pore_vacancy_transport,0.92,0.03,low,500.0,2.0,0.25,disabled,low,225.0,0.75,baseline,1400.0,2.0,50.0
LS017,gas_limited_closed_pore,0.94,0.03,low,500.0,2.0,0.25,assist_shrinkage,low,300.0,0.75,baseline,1400.0,2.0,50.0
LS018,pore_detachment_and_closure,0.9,0.01,low,500.0,2.0,0.25,assist_shrinkage,low,50.0,0.65,baseline,1450.0,8.0,50.0
