case_id,mode,path,subpopulation,t_s,rho_i,G_i_nm,pore_D50_i_nm,pore_D90_i_nm,connected_fine_i,large_pore_i,rho_dot_i,G_dot_i_nm_s,PR_work_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,f_defect_large_pore,stored_PR_work
L000,disabled_local_mixture,reference,matrix_connected,0.0,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.872442469721731e-109,0.0,0.0,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,240.00000000001364,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.843921281041261e-107,0.0,2.9337054129352895e-13,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,480.0000000000273,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.4970951171204412e-105,0.0,5.867410825870579e-13,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,720.0000000000409,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.9535366619946918e-103,0.0,8.801116238805868e-13,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,960.0000000000546,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.3677034229104098e-101,0.0,1.1734821651741158e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,1200.0000000000682,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,8.605276054026718e-100,0.0,1.4668527064676443e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,1440.0000000000819,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,4.8850439947039006e-98,0.0,1.7602232477611729e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,1680.0000000000955,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.511576784037585e-96,0.0,2.0535937890547014e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,1920.0000000001091,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.1737148748845811e-94,0.0,2.34696433034823e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,2160.000000000123,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,5.002716622775236e-93,0.0,2.6403348716417585e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,2400.0000000001364,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.95116891601024e-91,0.0,2.9337054129352862e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,2640.00000000015,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,6.985245843063721e-90,0.0,3.227075954228814e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,2880.0000000001637,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.3022690347384126e-88,0.0,3.520446495522341e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,3120.0000000001774,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,7.005655148843555e-87,0.0,3.813817036815868e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,3360.000000000191,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.9734898530601713e-85,0.0,4.107187578109393e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,3600.0000000002046,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,5.159850907579971e-84,0.0,4.400558119402918e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,3840.0000000002183,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.2552452180836526e-82,0.0,4.6939286606964405e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,4080.000000000232,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.847969471708842e-81,0.0,4.987299201989962e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,4320.000000000246,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,6.0400317651110935e-80,0.0,5.2806697432834815e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,4560.000000000157,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,1.1999967679428e-78,0.0,5.574040284576873e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,4799.999999999966,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,2.237988999737261e-77,0.0,5.8674108258701354e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,5039.999999999775,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,3.9258636243389956e-76,0.0,6.160781367163393e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,5279.999999999584,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,4.817645601686508e-75,0.0,6.4550461984596074e-12,0,0,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,5519.999999999393,0.6499999999999999,67.50000000000001,23.74201078240671,9.496804312962683e-08,0.2969606397188116,0.5148035756383085,4.231827440116857e-74,0.0,6.9164312476679656e-12,0,0,0,0,0
