attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
True,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,500,False,False,False,289721,False,0.9848713995594254,0.9840611016399298,e23d56a387fe4b1e
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,825785,False,0.9704411299622475,0.9510279268309414,9257ba0f6b04f2cc
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,513851,False,0.9922808764284639,0.9239897289620008,6d436eb3ec439de4
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,542733,False,0.9452313851111623,0.900814248935699,ab7f571ee0a0ea24
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,969232,False,0.9927209174520573,0.9793039334703527,42395f7be245bb48
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,425402,False,0.9121559287981522,0.9091781566409733,38fbb97355003297
True,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,500,False,False,False,993091,False,0.9847634140297054,0.9847634140297054,7c5169cd53758d1c
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,22120,False,0.9796541063755788,0.979638660841327,4f732474ea4185ab
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,969627,False,0.9548953901071956,0.8841360734896377,eb8346a2371464ca
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,914825,False,0.8775485604948398,0.8775485604948398,2087aa535443f48d
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,289136,False,0.9476645196182222,0.9467770836043085,741c306fe09daebc
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,716997,False,0.951784068690514,0.9137576657666959,0d4f180ab5ca9ea7
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,989810,False,0.9144097715200505,0.9127600866342567,c7b5daf92fad1d99
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,880993,False,0.855511162031666,0.855511162031666,3555abd55b01de2f
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,234583,False,0.7711152440766681,0.7711152440766681,dfd2743923eebe23
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,499195,False,0.8764742483136332,0.8764742483136332,326c478bb4b62339
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,229049,False,0.9930492680594641,0.9772095228392076,469d037005410bcf
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,632286,False,0.7877707817844277,0.7877707817844277,510464b969d34c9a
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,284760,False,0.7798072422165594,0.7798072422165594,f1eba4aadd768ec5
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,230737,False,0.8867016713810003,0.8803760447687788,6079613ffb453d69
True,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,500,False,False,False,466727,False,0.9842168377558995,0.9938886108409003,c5190e750099313f
True,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,500,False,False,False,838033,False,0.9825835060908631,0.9875716464411813,1c8287355f5ead2f
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,179584,False,0.8984963482899839,0.898149043556863,46065a9108997459
