attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
True,0.8829405549453849,0.8938129038898149,0.9031276202931201,0.029999999999996696,0.029999999999996696,0.06723643297084728,Tier_B,,275,True,True,True,693168,True,0.9818487260362176,0.9803463726636372,b46304a8d7c7055a
True,0.2211232905631313,0.2618115581942112,0.308553683020954,0.029999999999996696,0.0023999999999997357,0.009162348173363113,Tier_B,,285,True,True,True,597443,True,0.9800000000000001,0.9808124855969718,5df82fe763944bfb
True,0.8677726718747043,0.8795900236908064,0.884601885346251,0.029999999999996696,0.029999999999996696,0.06323083840810419,Tier_B,,60,True,True,True,516308,True,0.9815295144460613,0.9801237740003342,47684a4d861d2cdb
True,0.48214413155586,0.5566241785017627,0.6320407269811221,0.029999999999996696,0.029999999999996696,0.0245500318552397,Tier_B,,240,True,True,True,484895,True,0.9800000000000001,0.9808954707197113,e641a148f4ab6565
True,0.7937800338602614,0.851789060624193,0.8961148891803626,0.029999999999996696,0.029999999999996696,0.058106055123400606,Tier_B,,215,True,True,True,697698,True,0.9800470070416736,0.98199936,c0af50eb0a3ac717
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,461075,True,0.9347333641130349,0.9389345914291363,b2b67ec4085092c0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,277295,True,0.9800921721655617,0.9496252235365104,83598de8d3bed9f2
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,172651,True,0.9440711065313342,0.9355208115508158,e6078d3c1fd0b8bc
True,0.7476063574247043,0.769292442762687,0.7880316709330553,0.029999999999996696,0.029999999999996696,0.04403295922202042,Tier_B,,190,True,True,True,254592,True,0.98097279293753,0.980027434420458,d36c6ca5895d1177
True,0.23378618636625859,0.3766580756553555,0.46008154666025436,0.029999999999996696,0.0226999999999975,0.013646837239267344,Tier_B,,90,True,True,True,419833,True,0.9816407762752238,0.9800040669028743,9e96385cbe7c76e3
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,456031,True,0.7494734434206776,0.7494734434206776,c3a58d6b1613e158
True,0.7294505259735358,0.7446295337618114,0.7495147497470303,0.029999999999996696,0.029999999999996696,0.04073513049653609,Tier_C,,0.0,True,True,False,290218,True,0.9817158073599744,0.9801871082539073,bd950fcd0418b00b
True,0.3385963756439584,0.3723670551415792,0.4061361596560381,0.029999999999996696,0.029999999999996696,0.01403461787385464,Tier_C,,165,True,False,False,937371,True,0.9813606591806779,0.9801716283782574,aae3e56cbdff36bd
True,0.0318746311904089,0.16147113277443448,0.31792243016296884,0.010999999999998789,0.0014999999999998348,0.005586003066362948,Tier_C,,75,True,True,True,152299,True,0.98,0.9812611032604528,d72d242d870c90d4
False,0.03422337682381771,0.06838005625062982,0.11463615296882368,0.0,0.0,0.001906265689479443,Tier_C,,0.0,True,True,False,538988,True,0.9800255791239811,0.9759016031510623,01155c6a607ecab1
True,0.3354100432879279,0.3762157630404863,0.42257164572899086,0.029999999999996696,0.029999999999996696,0.014201627223374726,Tier_C,,190,True,False,False,521702,True,0.9807163326635657,0.980080469624459,87c38b19e0ef2e8b
True,-0.020900377406306125,-0.019196758263362756,-0.016535140567442985,0.0,0.0,0.0,reject,reduction_below_threshold,0.0,True,True,False,239439,True,0.9815301382665715,0.980037574342233,44ae9ea438017a72
True,-0.19398152815742686,0.07120063007925115,0.9162380432201049,0.0108999999999988,0.00879999999999903,0.014379146041818877,Tier_C,,0.0,True,True,False,611765,True,0.980087697444713,0.9800094868779309,a6040cc570b4d880
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,301427,True,0.9806654356248103,0.9234941691619594,2f783c2063fa1c48
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,618133,True,0.8138252767818962,0.8138252767818962,67c6bd3fd5985ea3
True,0.6016191318127765,0.6728772902689582,0.73161338260712,0.029999999999996696,0.029999999999996696,0.03352351677412443,Tier_C,,0.0,True,True,False,493639,True,0.9800301075762862,0.9800661874823935,9703c3876e05e18c
True,0.3416349464369839,0.372134528580105,0.3881168728627944,0.029999999999996696,0.029999999999996696,0.013869822331772629,Tier_B,,230,True,True,True,26268,True,0.980007922981268,0.9800462237807751,fc7e977649170020
True,0.0966342152779135,0.10025207236135492,0.10696181130296978,0.0,0.0,0.003190992060657194,Tier_C,,250,True,False,False,757591,True,0.9815490237268212,0.9815443831260231,d562280a8f3123f6
True,0.43864661100845936,0.5062065825764024,0.5527349736471647,0.029999999999996696,0.029999999999996696,0.020960799311912536,Tier_B,,225,True,True,True,585076,True,0.9813701542075611,0.9819498162062967,e6a9972552863f21
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,11223,True,0.7828637029673764,0.7828637029673764,8ddbfcf3db5ac51a
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,597244,True,0.9577717828370151,0.9471103771623135,cd8f0ca5f98a49be
True,0.669775879761067,0.7620766729441715,0.8176394156668233,0.029999999999996696,0.029999999999996696,0.04304552000199424,Tier_C,,0.0,True,True,False,3519,True,0.9811141452420639,0.9802285258802309,3da89f7098dff9fd
True,0.20204528825448587,0.2234799421797895,0.2378795679459953,0.029999999999996696,0.0,0.007531924878921452,Tier_C,,190,True,False,False,284153,True,0.9816675609199924,0.9800310817358489,f7c555c228e2fbfd
True,0.4139877003180801,0.414784248727454,0.4904151651185169,0.029999999999996696,0.029999999999996696,0.01760949738889448,Tier_B,,325,True,True,True,781478,True,0.9807671118728317,0.9800111265402243,0709cff3fdf12934
True,0.13931997347389868,0.16265227639606217,0.18570544897890684,0.0,0.0,0.005327187618813012,Tier_C,,240,True,True,True,152239,True,0.98,0.9806843417297454,0d8fb0e0086cec6d
True,0.3895207390054687,0.45377316413778235,0.4986250457334349,0.029999999999996696,0.029999999999996696,0.017914679316870203,Tier_B,,225,True,True,True,120857,True,0.9819999999999999,0.980135140349715,21890d184aa3e2bb
True,0.6068829176124798,0.6479268036437124,0.6804057897685866,0.029999999999996696,0.029999999999996696,0.03123306395798125,Tier_B,,200,True,True,True,962760,True,0.98,0.9800887535041443,b027027e81dd9633
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,910302,True,0.7995548144098417,0.7995548144098417,594c36e7e5b39781
False,0.5823549475930849,0.7016950851378916,0.8827918161959883,0.029899999999996707,0.029899999999996707,0.038615711540002484,Tier_B,,35,True,True,True,543100,True,0.9800001020492827,0.9799091811476828,16b96594f1d19a56
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,939409,True,0.980138345722252,0.9439926384430606,d075635fb0dcd8be
True,0.6552190072043835,0.7793123730098874,0.8407304067084491,0.029999999999996696,0.029999999999996696,0.044954324255625226,Tier_C,,15,True,True,False,821908,True,0.9800344800791111,0.9800427746268272,bf76e4935b817e8e
