parameter,minimum,maximum,scale
initial_connected,0.05,0.95,linear
initial_isolated,0,0.6,linear
connected_loss,1e-08,0.01,log
connected_recovery,1e-08,0.01,log
closure_rate,1e-09,0.01,log
detachment_rate,1e-09,0.01,log
percolation_threshold,0.02,0.75,linear
percolation_exponent,0.5,8,linear
XJ_prod,0.0001,50,log
tau_J,100.0,1000000000.0,log
A_J,0,500,linear
lambda_TJ,0.001,1000.0,log
K_TJ,1,50,linear
pore_relax_fraction,0,1,linear
pore_drag,0,500,linear
stress_prod,0,100,linear
tau_stress,100.0,1000000000.0,log
stress_coupling,0,100,linear
rho_close_mid,0.88,0.96,linear
rho_close_width,0.005,0.05,linear
k_closed,1e-10,0.001,log
gas_pressure_ratio,0,1,linear
q_TJ,0,2,discrete
