memory_model,T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
none,1300.0,1200.0,0.82,0.9,True,False,0.9000178355294052,0.8875837520365301,369.9368969877735,nan,nan,False,0.0,0.0,0.0,0.0,47.93486862510445,46.33634338169219
none,1300.0,1200.0,0.85,0.9,True,False,0.9000178355294052,0.8903544239439745,369.9368969877735,nan,nan,False,0.0,0.0,0.0,0.0,47.93486862510445,46.673079109604906
none,1300.0,1200.0,0.88,0.9,True,False,0.9000178355294052,0.8961267419855743,369.9368969877735,nan,nan,False,0.0,0.0,0.0,0.0,47.93486862510445,47.40902678837117
none,1300.0,1250.0,0.82,0.9,True,True,0.9000178355294052,0.9000087611255082,369.9368969877735,348.8346184729084,5.704291376905427,True,0.0,0.0,0.0,0.0,47.93486862510445,47.93170271876729
none,1300.0,1250.0,0.85,0.9,True,True,0.9000178355294052,0.9000017424055533,369.9368969877735,348.84028510447564,5.702759593616607,True,0.0,0.0,0.0,0.0,47.93486862510445,47.931731775618324
none,1300.0,1250.0,0.88,0.9,True,True,0.9000178355294052,0.9000032381908883,369.9368969877735,349.8607961390241,5.426898752792669,True,0.0,0.0,0.0,0.0,47.93486862510445,47.93264598635178
none,1300.0,1300.0,0.82,0.9,True,True,0.9000178355294052,0.9000178355294052,369.9368969877735,369.9368969877735,0.0,False,0.0,0.0,0.0,0.0,47.93486862510445,47.93486862510445
none,1300.0,1300.0,0.85,0.9,True,True,0.9000178355294052,0.9000178355294052,369.9368969877735,369.9368969877735,0.0,False,0.0,0.0,0.0,0.0,47.93486862510445,47.93486862510445
none,1300.0,1300.0,0.88,0.9,True,True,0.9000178355294052,0.9000178355294052,369.9368969877735,369.9368969877735,0.0,False,0.0,0.0,0.0,0.0,47.93486862510445,47.93486862510445
none,1350.0,1200.0,0.82,0.9,True,False,0.9000395299992273,0.8887011410425327,394.3675822313243,nan,nan,False,0.0,0.0,0.0,0.0,47.94151281682957,46.47055865284145
none,1350.0,1200.0,0.85,0.9,True,False,0.9000395299992273,0.8916590228132976,394.3675822313243,nan,nan,False,0.0,0.0,0.0,0.0,47.94151281682957,46.8365048649077
none,1350.0,1200.0,0.88,0.9,True,False,0.9000395299992273,0.8977450476841371,394.3675822313243,nan,nan,False,0.0,0.0,0.0,0.0,47.94151281682957,47.62774964902971
none,1350.0,1250.0,0.82,0.9,True,True,0.9000395299992273,0.9000028366076243,394.3675822313243,348.83539424626156,11.545621404133298,True,0.0,0.0,0.0,0.0,47.94151281682957,47.93125630777405
