G0_nm,T2_C,rho2_abs_difference,G2_nm_abs_difference
25.0,900.0,0.0,0.0
25.0,925.0,0.0,0.0
25.0,950.0,0.0,0.0
25.0,975.0,0.0,0.0
25.0,1000.0,0.0,0.0
25.0,1025.0,0.0,0.0
25.0,1050.0,0.0,0.0
25.0,1075.0,0.0,0.0
25.0,1100.0,0.0,0.0
25.0,1125.0,0.0,0.0
25.0,1150.0,0.0,0.0
25.0,1175.0,0.0,0.0
25.0,1200.0,0.0,0.0
25.0,1225.0,0.0,0.0
25.0,1250.0,2.220446049250313e-16,5.684341886080802e-14
25.0,1275.0,0.0,0.0
25.0,1300.0,3.3306690738754696e-16,3.410605131648481e-13
35.0,900.0,0.0,0.0
35.0,925.0,0.0,0.0
35.0,950.0,0.0,0.0
35.0,975.0,0.0,0.0
35.0,1000.0,0.0,0.0
35.0,1025.0,3.3306690738754696e-16,0.0
35.0,1050.0,0.0,0.0
35.0,1075.0,0.0,0.0
35.0,1100.0,0.0,0.0
35.0,1125.0,0.0,0.0
35.0,1150.0,0.0,0.0
35.0,1175.0,0.0,0.0
35.0,1200.0,0.0,0.0
35.0,1225.0,0.0,0.0
35.0,1250.0,0.0,0.0
35.0,1275.0,0.0,0.0
35.0,1300.0,0.0,0.0
50.0,900.0,0.0,0.0
50.0,925.0,0.0,0.0
50.0,950.0,0.0,0.0
50.0,975.0,0.0,0.0
50.0,1000.0,0.0,0.0
50.0,1025.0,0.0,0.0
50.0,1050.0,0.0,0.0
50.0,1075.0,0.0,0.0
50.0,1100.0,0.0,0.0
50.0,1125.0,0.0,0.0
50.0,1150.0,7.771561172376096e-16,1.8474111129762605e-13
50.0,1175.0,0.0,0.0
50.0,1200.0,0.0,0.0
50.0,1225.0,0.0,0.0
50.0,1250.0,1.1102230246251565e-16,2.8421709430404007e-13
50.0,1275.0,1.1102230246251565e-16,3.410605131648481e-13
50.0,1300.0,0.0,0.0
75.0,900.0,0.0,0.0
75.0,925.0,0.0,0.0
