protocol,action_mode,t_s,T_C,rho,G_nm,f_GBseg,f_TJ,f_iso,action_propensity_GBseg_shrink,action_propensity_TJ_shrink,action_propensity_GBseg_smooth,action_propensity_GBseg_to_TJ,action_propensity_TJ_to_GBseg_capture,action_propensity_TJ_to_iso,action_propensity_clean_GB_growth,action_propensity_GBseg_pin_drag,action_propensity_TJ_pin_drag,action_weight_GBseg_shrink,action_weight_TJ_shrink,action_weight_GBseg_smooth,action_weight_GBseg_to_TJ,action_weight_TJ_to_GBseg_capture,action_weight_TJ_to_iso,action_weight_clean_GB_growth,action_weight_GBseg_pin_drag,action_weight_TJ_pin_drag,action_flux_GBseg_remove,action_flux_TJ_remove,action_flux_GB_smooth,action_flux_GB_to_TJ,action_flux_TJ_to_GBseg_capture,action_flux_TJ_to_iso,P_GBseg_dens,P_TJ_dens,P_clean_GB,P_GBseg_drag,P_TJ_drag,P_GBseg_to_TJ,P_TJ_to_GBseg_capture,P_TJ_iso,C_GBseg,C_TJ,f_clean_GB,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total,activity,growth_mobility_factor,E_G
slow_0p2,action_evolving_no_capture,0.0,25.0,0.7,150.0,0.6,0.3,0.09999999999999999,1.3642771931145827e-79,2.0067937612066494e-80,2.8072868906520518e-14,2.335471950464302e-14,0.0,2.26301283393374e-17,3.0915871185710965e-18,561929224.9643643,9.177844361329043e+16,1.4864897802254747e-96,2.1865632820876334e-97,3.058764959332383e-31,2.544684616799032e-31,0.0,2.465734578822548e-34,3.3685329342353685e-35,6.122671069598346e-09,0.9999999938773289,7.705734022727716e-67,1.1334807208075218e-67,1.2550954307888038e-49,8.232440723748981e-50,0.0,5.742529591160727e-60,3.607041598439363e-59,5.305804870662395e-60,4.569111536451377e-57,3.2920225222857315e-65,4.569111503531152e-57,2.3510529153041365e-42,0.0,1.5147634326007744e-52,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.216110850827813e-16,5.20261473599251e-18,8.839214743535239e-37
slow_0p2,action_evolving_no_capture,1260.0,29.2,0.7,150.0,0.6,0.3,0.09999999999999999,2.317846450412669e-78,3.4094536063482065e-79,2.8072868906520518e-14,2.3354719504643016e-14,0.0,2.26301283393374e-17,5.8891008181624415e-18,401479886.6098699,4.818070908623611e+16,4.810735406467229e-95,7.076387298151909e-96,5.826578563289502e-31,4.847317474766008e-31,0.0,4.696927168560501e-34,1.222294333308626e-34,8.332793163044432e-09,0.9999999916672068,8.708733968589462e-66,1.2810177494996748e-66,6.742861303002882e-49,4.4227876720533416e-49,0.0,3.969225252320498e-59,4.0765442463746564e-58,5.996423309130579e-59,4.5459038172167805e-56,4.4575985560779874e-64,4.545903772640794e-56,1.2630771601130888e-41,0.0,1.047001529992184e-51,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.8281599770618966e-16,9.910353977823017e-18,9.989751718089136e-36
slow_0p2,action_evolving_no_capture,2520.0,33.4,0.7,150.0,0.6,0.3,0.09999999999999999,3.6438549016812105e-77,5.359955674947625e-78,2.8072868906520518e-14,2.3354719504643016e-14,0.0,2.26301283393374e-17,1.1021675887962555e-17,289499026.0330344,2.574391183438815e+16,1.4154239200887274e-93,2.082028422546644e-94,1.0904663118575655e-30,9.07193879168532e-31,0.0,8.790477620664121e-34,4.281274669880417e-34,1.1245339272441617e-08,0.9999999887546607,9.209544468141987e-65,1.3546848452424668e-65,3.459476803225271e-48,2.2691451995676174e-48,0.0,2.6019664317118264e-58,4.310972828972126e-57,6.341257789527561e-58,4.246856592322138e-55,5.619921741595363e-63,4.24685653612292e-55,6.48031442401006e-41,0.0,6.863462418510818e-51,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.7177373616431545e-16,1.854760392990318e-17,1.0564229313384452e-34
slow_0p2,action_evolving_no_capture,3780.0,37.6,0.7,150.0,0.6,0.3,0.09999999999999999,5.317408741873165e-76,7.82168223791493e-77,2.8072868906520514e-14,2.3354719504643013e-14,0.0,2.26301283393374e-17,2.028095389241155e-17,210605315.1511089,1.3990518027929942e+16,3.800723212115889e-92,5.590702291764299e-93,2.0065639047735243e-30,1.6693248317503456e-30,0.0,1.617533243122141e-33,1.4496213468740576e-33,1.5053432014478276e-08,0.9999999849465679,9.137628394634374e-64,1.344106296515424e-64,1.6981912351934293e-47,1.1138801351968618e-47,0.0,1.6211526901796217e-57,4.277309031600808e-56,6.291739774505219e-57,3.7349296187822675e-54,6.616191346134222e-62,3.734929552620354e-54,3.1810628549067445e-40,0.0,4.2762736782869665e-50,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.997156126153162e-16,3.412939229395308e-17,1.04817346911498e-33
slow_0p2,action_evolving_no_capture,5040.0,41.8,0.7,150.0,0.6,0.3,0.09999999999999999,7.224326578496817e-75,1.0626677320280584e-75,2.8072868906520508e-14,2.335471950464301e-14,0.0,2.26301283393374e-17,3.671686376760374e-17,154517215.6808392,7727812789277376.0,9.348474957973622e-91,1.3751209297597933e-91,3.632705541748772e-30,3.0221641846800617e-30,0.0,2.92840011836846e-33,4.751261972132394e-33,1.999494770443635e-08,0.9999999800050523,8.528030416096847e-63,1.2544370250251873e-63,7.989888630290607e-47,5.240739701911286e-47,0.0,9.619567139793275e-57,3.991957206528204e-55,5.871999368966871e-56,3.0996609310358936e-53,7.29330827218489e-61,3.0996608581028097e-53,1.496671129253837e-39,0.0,2.537447706536169e-49,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,5.818796762729091e-16,6.178823017772636e-17,9.782467441122033e-33
slow_0p2,action_evolving_no_capture,6300.0,46.0,0.7,150.0,0.6,0.3,0.09999999999999999,9.16392282691959e-74,1.3479740957376607e-74,2.80728689065205e-14,2.3354719504643e-14,0.0,2.26301283393374e-17,6.544223219619834e-17,114294215.13550092,4335748304385562.5,2.1135734692166427e-89,3.1089767338209968e-90,6.474745809875335e-30,5.3865485838669675e-30,0.0,5.219428378694584e-33,1.5093641483959834e-32,2.6360896458633358e-08,0.9999999736391035,7.504698905413951e-62,1.1039093095690412e-62,3.6091120880721725e-46,2.367294199433644e-46,0.0,5.446695780375857e-56,3.5129373860750227e-54,5.167381574261102e-55,2.4330841013812033e-52,7.547574427752881e-60,2.4330840259054586e-52,6.760612211765187e-39,0.0,1.436728442690817e-48,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,8.387503404667456e-16,1.1012813436017531e-16,8.608608214982991e-32
slow_0p2,action_evolving_no_capture,7560.0,50.2,0.7,150.0,0.6,0.3,0.09999999999999999,1.0882227225386136e-72,1.6007293689401936e-73,2.8072868906520486e-14,2.3354719504642994e-14,0.0,2.26301283393374e-17,1.1490272682013636e-16,85206655.39671755,2469402184029523.5,4.406826445799032e-88,6.482254385533232e-89,1.1368285052724043e-29,9.457640739864931e-30,0.0,9.164212984358039e-33,4.653058282629561e-32,3.450497169222784e-08,0.9999999654950282,6.241398978439813e-61,9.180832600844199e-62,1.5676722851285162e-45,1.0282699502358627e-45,0.0,2.9481516803390536e-55,2.921588739150393e-53,4.297532850456577e-54,1.8103134782037274e-51,7.350647011978815e-59,1.8103134046972568e-51,2.9365739096639953e-38,0.0,7.776629250656541e-48,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.1976237595860869e-15,1.9336172549342824e-16,7.159482238524233e-31
slow_0p2,action_evolving_no_capture,8820.0,54.400000000000006,0.7,150.0,0.6,0.3,0.09999999999999999,1.2128682341689703e-71,1.7840776183756017e-72,2.8072868906520476e-14,2.335471950464298e-14,0.0,2.26301283393374e-17,1.9885343128407434e-16,64002040.1404997,1426885315846628.2,8.500109758624086e-87,1.2503300149902832e-87,1.9674228429965276e-29,1.63676212781155e-29,0.0,1.585980812399766e-32,1.3936188154451775e-31,4.4854366751790237e-08,0.9999999551456332,4.9163024204530916e-60,7.231671888501467e-61,6.557825107026243e-45,4.3014184536052844e-45,0.0,1.528122258851126e-54,2.301313189474077e-52,3.385133882269097e-53,1.2793766051930788e-50,6.752945447965457e-58,1.279376537663624e-50,1.2284160596647946e-37,0.0,4.0308781722500537e-47,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.6945703005364136e-15,3.346364673622273e-16,5.639469609303238e-30
slow_0p2,action_evolving_no_capture,10080.0,58.6,0.7,150.0,0.6,0.3,0.09999999999999999,1.2718085662997015e-70,1.870776341626533e-71,2.8072868906520454e-14,2.335471950464297e-14,0.0,2.26301283393374e-17,3.393942524658575e-16,48424028.11879488,836021926359166.9,1.5212621254716644e-85,2.2377119239140574e-86,3.357910408252196e-29,2.793553304708232e-29,0.0,2.7068819985510615e-32,4.059633152033742e-31,5.7921956096133296e-08,0.9999999420780439,3.6753545572576727e-59,5.406290329378582e-60,2.6456674374529095e-44,1.7353501430481204e-44,0.0,7.597527910080163e-54,1.7204275073524112e-51,2.5306757349517267e-52,8.604782965367576e-50,5.865070632187567e-57,8.604782378860508e-50,4.955881432728717e-37,0.0,2.0040745587219567e-46,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,2.376878944664761e-15,5.711427404336387e-16,4.215983590195531e-29
slow_0p2,action_evolving_no_capture,11340.0,62.800000000000004,0.7,150.0,0.6,0.3,0.09999999999999999,1.2576059221819123e-69,1.8498848558258e-70,2.807286890652043e-14,2.3354719504642944e-14,0.0,2.26301283393374e-17,5.715717122868195e-16,36894088.1992065,496422452628513.1,2.5333379303409974e-84,3.726432413657959e-85,5.655035680095295e-29,4.704605451518256e-29,0.0,4.5586428530061765e-32,1.1513815839336521e-30,7.431993710576396e-08,0.9999999256800629,2.6128538944985368e-58,3.8433970170340403e-59,1.0307935937399692e-43,6.761196758999612e-44,0.0,3.6288670716509535e-53,1.2230726703391093e-50,1.7990879102328712e-51,5.518039677035887e-49,4.825921540045219e-56,5.5180391944437266e-49,1.930889256856021e-36,0.0,9.57221909725474e-46,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,3.3060849399937697e-15,9.618578739564293e-16,2.99719359620194e-28
slow_0p2,action_evolving_no_capture,12600.0,67.0,0.7,150.0,0.6,0.3,0.09999999999999999,1.1752705326086293e-68,1.7287729975054458e-69,2.8072868906520394e-14,2.3354719504642915e-14,0.0,2.26301283393374e-17,9.502696451416548e-16,28298878.87366963,298590011674334.6,3.936067434513431e-83,5.789787889979632e-84,9.401810224158451e-29,7.821667295646588e-29,0.0,7.578996386271809e-32,3.182522917465376e-30,9.477502624068882e-08,0.9999999052249737,1.769682788729887e-57,2.6031281602166666e-58,3.883561791046533e-43,2.5473116591392343e-43,0.0,1.6676291594894064e-52,8.28385643231854e-50,1.2185200698955175e-50,3.379868109240445e-48,3.769500190785787e-55,3.3798677322904206e-48,7.274713178475504e-36,0.0,4.398869226240641e-45,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,4.5617027165077075e-15,1.5991420165010152e-15,2.0299956047515534e-27
slow_0p2,action_evolving_no_capture,13860.0,71.2,0.7,150.0,0.6,0.3,0.09999999999999999,1.040193796042461e-67,1.5300808595783306e-68,2.8072868906520347e-14,2.3354719504642877e-14,0.0,2.26301283393374e-17,1.5604053046491006e-15,21846986.448840152,181838023185498.9,5.720440933340602e-82,8.414525460307174e-83,1.5438391290175349e-28,1.2843692583953243e-28,0.0,1.2445210976225866e-31,8.581291689373004e-30,1.201452998735066e-07,0.9999998798547002,1.1439574008538647e-56,1.682712711687837e-57,1.4165908045344775e-42,9.291723594921075e-43,0.0,7.383651725738164e-52,5.354846040042545e-49,7.876750912215077e-50,1.9806784436182674e-47,2.8003406307644636e-54,1.9806781635841988e-47,2.6535670986394e-35,0.0,1.9476583369154348e-44,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,6.24581283585363e-15,2.6258964475956433e-15,1.312228672022648e-26
slow_0p2,action_evolving_no_capture,15120.0,75.4,0.7,150.0,0.6,0.3,0.09999999999999999,8.73669124623148e-67,1.2851301462058191e-67,2.8072868906520284e-14,2.3354719504642824e-14,0.0,2.26301283393374e-17,2.531844900827878e-15,16971574.42388471,112068873343699.06,7.795822035583042e-81,1.1467322845711028e-81,2.504965367957635e-28,2.0839609849746045e-28,0.0,2.019305114530363e-31,2.2591861967270872e-29,1.51438765710449e-07,0.9999998485612344,7.069537585643029e-56,1.039898929124208e-56,5.008667737175571e-42,3.2852928342936676e-42,0.0,3.154062465481739e-51,3.3092390780597324e-48,4.8677500215557405e-49,1.1122990982401206e-46,1.9822058110549324e-53,1.1122989000195347e-46,9.382268946573747e-35,0.0,8.31978035290312e-44,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,8.48868737063545e-15,4.260663887221361e-15,8.109436514767236e-26
slow_0p2,action_evolving_no_capture,16380.0,79.6,0.7,150.0,0.6,0.3,0.09999999999999999,6.977071605499855e-66,1.0262975764803546e-66,2.8072868906520202e-14,2.3354719504642754e-14,0.0,2.26301283393374e-17,4.060984289932444e-15,13263687.253917791,69870005013372.766,9.985787577488858e-80,1.468866907134204e-80,4.0178705543200335e-28,3.342595304903571e-28,0.0,3.238889712265526e-31,5.812198694194075e-29,1.898337453029202e-07,0.9999998101662546,4.183469519919614e-55,6.153705841557485e-56,1.7184913662428657e-41,1.1271954275203941e-41,0.0,1.3015264089014535e-50,1.958275297284603e-47,2.8805397240015126e-48,5.994923254742542e-46,1.3392052388165686e-52,5.994921915537262e-46,3.2190891922784284e-34,0.0,3.4331640429033084e-43,0.40576281822618754,0.47748788662923936,0.5942371817738125,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406,1.1455686761721848e-14,6.8339451224009706e-15,4.798840104075362e-25
