parameter_id,w_capture_scale,w_iso_scale,w_clean_growth,eta_TJ_dens,Q_capture_J_mol,TJ_drag_factor,success_5pct,success_10pct,has_lower_failure,has_upper_failure,rejected,rejection_reason
action_00,0.5,0.5,0.5,0.0,285000.0,1.0,0,0,True,True,True,no_success_window
action_01,1.0,0.5,0.5,0.5,285000.0,1.0,0,0,True,True,True,no_success_window
action_02,2.0,0.5,0.5,0.25,325000.0,1.0,0,0,True,True,True,no_success_window
action_03,3.0,0.5,0.5,0.1,325000.0,1.0,0,0,True,True,True,no_success_window
action_04,0.5,1.0,0.5,0.0,365000.0,1.0,0,0,True,True,True,no_success_window
action_05,1.0,1.0,0.5,0.5,365000.0,1.0,0,0,True,True,True,no_success_window
action_06,2.0,1.0,0.5,0.25,405000.0,1.0,0,0,True,True,True,no_success_window
action_07,3.0,1.0,0.5,0.1,405000.0,1.0,0,0,True,True,True,no_success_window
action_08,0.5,2.0,0.5,0.0,285000.0,1.5,0,0,True,True,True,no_success_window
action_09,1.0,2.0,0.5,0.5,285000.0,1.5,0,0,True,True,True,no_success_window
action_10,2.0,2.0,0.5,0.25,325000.0,1.5,0,0,True,True,True,no_success_window
action_11,3.0,2.0,0.5,0.1,325000.0,1.5,0,0,True,True,True,no_success_window
action_12,0.5,3.0,0.5,0.0,365000.0,1.5,0,0,True,True,True,no_success_window
action_13,1.0,3.0,0.5,0.5,365000.0,1.5,0,0,True,True,True,no_success_window
action_14,2.0,3.0,0.5,0.25,405000.0,1.5,0,0,True,True,True,no_success_window
action_15,3.0,3.0,0.5,0.1,405000.0,1.5,0,0,True,True,True,no_success_window
action_16,0.5,0.5,1.0,0.0,285000.0,2.0,0,0,True,True,True,no_success_window
action_17,1.0,0.5,1.0,0.5,285000.0,2.0,0,0,True,True,True,no_success_window
action_18,2.0,0.5,1.0,0.25,325000.0,2.0,0,0,True,True,True,no_success_window
action_19,3.0,0.5,1.0,0.1,325000.0,2.0,0,0,True,True,True,no_success_window
action_20,0.5,1.0,1.0,0.0,365000.0,2.0,0,0,True,True,True,no_success_window
action_21,1.0,1.0,1.0,0.5,365000.0,2.0,0,0,True,True,True,no_success_window
action_22,2.0,1.0,1.0,0.25,405000.0,2.0,0,0,True,True,True,no_success_window
action_23,3.0,1.0,1.0,0.1,405000.0,2.0,0,0,True,True,True,no_success_window
action_24,0.5,2.0,1.0,0.0,285000.0,3.0,0,0,True,True,True,no_success_window
action_25,1.0,2.0,1.0,0.5,285000.0,3.0,0,0,True,True,True,no_success_window
action_26,2.0,2.0,1.0,0.25,325000.0,3.0,0,0,True,True,True,no_success_window
action_27,3.0,2.0,1.0,0.1,325000.0,3.0,0,0,True,True,True,no_success_window
action_28,0.5,3.0,1.0,0.0,365000.0,3.0,0,0,True,True,True,no_success_window
action_29,1.0,3.0,1.0,0.5,365000.0,3.0,0,0,True,True,True,no_success_window
action_30,2.0,3.0,1.0,0.25,405000.0,3.0,0,0,True,True,True,no_success_window
action_31,3.0,3.0,1.0,0.1,405000.0,3.0,0,0,True,True,True,no_success_window
action_32,0.5,0.5,2.0,0.0,285000.0,1.0,0,0,True,True,True,no_success_window
action_33,1.0,0.5,2.0,0.5,285000.0,1.0,0,0,True,True,True,no_success_window
action_34,2.0,0.5,2.0,0.25,325000.0,1.0,0,0,True,True,True,no_success_window
action_35,3.0,0.5,2.0,0.1,325000.0,1.0,0,0,True,True,True,no_success_window
action_36,0.5,1.0,2.0,0.0,365000.0,1.0,0,0,True,True,True,no_success_window
action_37,1.0,1.0,2.0,0.5,365000.0,1.0,0,0,True,True,True,no_success_window
action_38,2.0,1.0,2.0,0.25,405000.0,1.0,0,0,True,True,True,no_success_window
action_39,3.0,1.0,2.0,0.1,405000.0,1.0,0,0,True,True,True,no_success_window
action_40,0.5,2.0,2.0,0.0,285000.0,1.5,0,0,True,True,True,no_success_window
action_41,1.0,2.0,2.0,0.5,285000.0,1.5,0,0,True,True,True,no_success_window
action_42,2.0,2.0,2.0,0.25,325000.0,1.5,0,0,True,True,True,no_success_window
action_43,3.0,2.0,2.0,0.1,325000.0,1.5,0,0,True,True,True,no_success_window
action_44,0.5,3.0,2.0,0.0,365000.0,1.5,0,0,True,True,True,no_success_window
action_45,1.0,3.0,2.0,0.5,365000.0,1.5,0,0,True,True,True,no_success_window
action_46,2.0,3.0,2.0,0.25,405000.0,1.5,0,0,True,True,True,no_success_window
action_47,3.0,3.0,2.0,0.1,405000.0,1.5,0,0,True,True,True,no_success_window
action_48,0.5,0.5,3.0,0.0,285000.0,2.0,0,0,True,True,True,no_success_window
action_49,1.0,0.5,3.0,0.5,285000.0,2.0,0,0,True,True,True,no_success_window
action_50,2.0,0.5,3.0,0.25,325000.0,2.0,0,0,True,True,True,no_success_window
action_51,3.0,0.5,3.0,0.1,325000.0,2.0,0,0,True,True,True,no_success_window
action_52,0.5,1.0,3.0,0.0,365000.0,2.0,0,0,True,True,True,no_success_window
action_53,1.0,1.0,3.0,0.5,365000.0,2.0,0,0,True,True,True,no_success_window
action_54,2.0,1.0,3.0,0.25,405000.0,2.0,0,0,True,True,True,no_success_window
action_55,3.0,1.0,3.0,0.1,405000.0,2.0,0,0,True,True,True,no_success_window
action_56,0.5,2.0,3.0,0.0,285000.0,3.0,0,0,True,True,True,no_success_window
action_57,1.0,2.0,3.0,0.5,285000.0,3.0,0,0,True,True,True,no_success_window
action_58,2.0,2.0,3.0,0.25,325000.0,3.0,0,0,True,True,True,no_success_window
action_59,3.0,2.0,3.0,0.1,325000.0,3.0,0,0,True,True,True,no_success_window
action_60,0.5,3.0,3.0,0.0,365000.0,3.0,0,0,True,True,True,no_success_window
action_61,1.0,3.0,3.0,0.5,365000.0,3.0,0,0,True,True,True,no_success_window
action_62,2.0,3.0,3.0,0.25,405000.0,3.0,0,0,True,True,True,no_success_window
action_63,3.0,3.0,3.0,0.1,405000.0,3.0,0,0,True,True,True,no_success_window
