mode,protocol,t_s,T_C,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total
static,slow_0p2,0.0,25.0,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,1080.0,28.6,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,2160.0,32.2,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,3240.0,35.8,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,4320.0,39.4,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,5400.0,43.0,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,6480.0,46.6,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,7560.0,50.2,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,8640.0,53.8,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,9720.0,57.4,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,10800.0,61.0,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,11880.0,64.6,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,12960.0,68.2,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,14040.0,71.80000000000001,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,15120.0,75.4,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,16200.0,79.0,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,17280.0,82.6,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,18360.0,86.2,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,19440.0,89.8,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,20520.0,93.4,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,21600.0,97.0,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,22680.0,100.60000000000001,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
static,slow_0p2,23760.0,104.2,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
