candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,81,0.0,1013398.1208125148,1013398.1208125148,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,81,0.2820589727472731,73309.80498869992,1013844.5963429748,939967.4958863552
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,81,0.3345671490971135,19896.228764808242,1013844.5963429748,993802.3774553284
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,81,0.0,181485.02355677082,181485.02355677082,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,81,-1.3880567849584455,10031.886516058174,183515.13140974523,173091.91470580228
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,81,-1.6273552241164255,2681.1600362249474,183515.13140974523,180647.85284560747
mech_009_PR_attrition_moderate,0.85,baseline,1.0,81,0.0,455403.3281498904,455403.3281498904,0.0
mech_009_PR_attrition_moderate,0.85,baseline,20.0,81,-0.8771790740061814,27022.156002581185,455788.3805072199,427546.9542645295
mech_009_PR_attrition_moderate,0.85,baseline,100.0,81,-0.8246965112514331,7082.97242912746,455788.3805072199,447414.3844139065
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,81,0.0,283017.0368582924,283017.0368582924,0.0
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,20.0,81,-1.5169964303036247,15780.503102150496,283017.0368582924,267038.23454461014
mech_009_PR_attrition_moderate,0.85,mixed_GBseg_TJ,100.0,81,-1.656586737489313,4077.8964232232033,283017.0368582924,278903.51662963524
mech_009_PR_attrition_moderate,0.88,GBseg_rich,1.0,81,0.0,1013539.754587694,1013539.754587694,0.0
mech_009_PR_attrition_moderate,0.88,GBseg_rich,20.0,81,1.0119934085744053,72729.7352488165,1013539.754587694,932019.8427017621
mech_009_PR_attrition_moderate,0.88,GBseg_rich,100.0,81,1.0359359796503709,20082.060453056023,1013539.754587694,985015.5891253729
mech_009_PR_attrition_moderate,0.88,TJ_rich,1.0,81,0.0,181600.9451819755,181600.9451819755,0.0
mech_009_PR_attrition_moderate,0.88,TJ_rich,20.0,81,-1.2936917823805696,9801.960080538309,181600.9451819755,167281.23414948164
mech_009_PR_attrition_moderate,0.88,TJ_rich,100.0,81,-1.48823471342098,2290.0187737308506,181600.9451819755,174639.17237827924
mech_009_PR_attrition_moderate,0.88,baseline,1.0,81,0.0,455074.9243609571,455074.9243609571,0.0
mech_009_PR_attrition_moderate,0.88,baseline,20.0,81,-0.7476674356037678,25950.40597755173,455074.9243609571,426071.0198090701
mech_009_PR_attrition_moderate,0.88,baseline,100.0,81,-0.5350307453360246,5733.536259668102,455074.9243609571,445938.1690265563
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,1.0,81,0.0,282223.6919841542,282223.6919841542,0.0
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,20.0,81,-1.1812254941674776,15634.697353780644,283064.043319168,266535.4041663073
mech_009_PR_attrition_moderate,0.88,mixed_GBseg_TJ,100.0,81,-1.3587930511416555,3444.215302434987,283064.043319168,278318.1856836257
mech_009_PR_attrition_moderate,0.9,GBseg_rich,1.0,81,0.0,1011956.5046376928,1011956.5046376928,0.0
mech_009_PR_attrition_moderate,0.9,GBseg_rich,20.0,81,0.2512538483742213,72794.1579360536,1013598.6684695794,922673.207605251
mech_009_PR_attrition_moderate,0.9,GBseg_rich,100.0,81,0.3292573222904764,16746.42973583169,1013598.6684695794,975992.4343769028
mech_009_PR_attrition_moderate,0.9,TJ_rich,1.0,81,0.0,177585.78798211712,177585.78798211712,0.0
mech_009_PR_attrition_moderate,0.9,TJ_rich,20.0,81,-0.9822265109679444,10017.207426815232,180580.71170875346,170425.97717433982
mech_009_PR_attrition_moderate,0.9,TJ_rich,100.0,81,-1.043419985895507,2266.7669885840946,180580.71170875346,177897.62516272912
mech_009_PR_attrition_moderate,0.9,baseline,1.0,81,0.0,455100.5812739674,455100.5812739674,0.0
mech_009_PR_attrition_moderate,0.9,baseline,20.0,81,-0.13280194440385854,25994.50387311188,455100.5812739674,426764.1269328635
mech_009_PR_attrition_moderate,0.9,baseline,100.0,81,-0.1071967992557949,5777.387697331718,455100.5812739674,446845.1673169097
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,1.0,81,0.0,283088.28541073325,283088.28541073325,0.0
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,20.0,81,-0.8857987264933972,15298.781115120051,283088.28541073325,261136.06867673487
mech_009_PR_attrition_moderate,0.9,mixed_GBseg_TJ,100.0,81,-0.7178740091270975,3428.3419367344354,283088.28541073325,276097.474121991
mech_009_PR_attrition_moderate,0.92,GBseg_rich,1.0,81,0.0,1013636.2564007688,1013636.2564007688,0.0
mech_009_PR_attrition_moderate,0.92,GBseg_rich,20.0,81,0.4520856610079999,72884.07178574563,1013636.2564007688,919917.4538263628
mech_009_PR_attrition_moderate,0.92,GBseg_rich,100.0,81,0.7168639883346463,16838.705210427383,1013636.2564007688,975962.8204016812
mech_009_PR_attrition_moderate,0.92,TJ_rich,1.0,81,0.0,177844.3005410427,177844.3005410427,0.0
mech_009_PR_attrition_moderate,0.92,TJ_rich,20.0,81,-0.7797438341608918,9845.412464864168,177844.3005410427,167281.75003572245
mech_009_PR_attrition_moderate,0.92,TJ_rich,100.0,81,-0.8308131551657287,2248.486832159718,177844.3005410427,174639.8536326896
mech_009_PR_attrition_moderate,0.92,baseline,1.0,81,0.0,450930.93889922206,450930.93889922206,0.0
mech_009_PR_attrition_moderate,0.92,baseline,20.0,81,-0.0333433635511389,25694.70356385338,450930.93889922206,424902.13246866286
mech_009_PR_attrition_moderate,0.92,baseline,100.0,81,-0.1068600636033024,5689.122854831037,450930.93889922206,445119.4634620037
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,1.0,81,0.0,280224.7033570327,280224.7033570327,0.0
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,20.0,81,-0.4437257124495478,15492.606857852883,280224.7033570327,264294.69819694373
mech_009_PR_attrition_moderate,0.92,mixed_GBseg_TJ,100.0,81,-0.512604303194509,3445.828106119052,280224.7033570327,276100.6968007755
mech_009_PR_attrition_strong,0.85,GBseg_rich,1.0,81,0.0,1939581.4974407295,1939581.4974407295,0.0
mech_009_PR_attrition_strong,0.85,GBseg_rich,20.0,81,1.2302055581758868,174595.32657978928,1939581.4974407295,1726893.4444423164
mech_009_PR_attrition_strong,0.85,GBseg_rich,100.0,81,1.423186504646018,44066.92656908213,1939581.4974407295,1850936.3593009897
mech_009_PR_attrition_strong,0.85,TJ_rich,1.0,81,0.0,422154.0544888424,422154.0544888424,0.0
mech_009_PR_attrition_strong,0.85,TJ_rich,20.0,81,-0.153471326874892,24990.698035375324,435254.7510667459,408786.30161374394
mech_009_PR_attrition_strong,0.85,TJ_rich,100.0,81,-0.1479025132781634,6697.231277629999,435254.7510667459,427574.0134775001
mech_009_PR_attrition_strong,0.85,baseline,1.0,81,0.0,987229.7409284512,987229.7409284512,0.0
mech_009_PR_attrition_strong,0.85,baseline,20.0,81,0.4502868396709303,65539.12562850195,996546.1382368188,922572.1211722966
mech_009_PR_attrition_strong,0.85,baseline,100.0,81,0.44370642261808374,15871.224432410869,996546.1382368188,972037.4566708191
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,1.0,81,0.0,657859.961852397,657859.961852397,0.0
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,20.0,81,0.0262284433648677,39247.033401646855,657859.961852397,619023.034265401
mech_009_PR_attrition_strong,0.85,mixed_GBseg_TJ,100.0,81,0.027612457655145,10182.735200127663,657859.961852397,648558.6008078894
mech_009_PR_attrition_strong,0.88,GBseg_rich,1.0,81,0.0,1870240.4469005223,1870240.4469005223,0.0
mech_009_PR_attrition_strong,0.88,GBseg_rich,20.0,81,3.0467545723075085,174763.63924677283,1905025.5843533708,1694251.4768244568
mech_009_PR_attrition_strong,0.88,GBseg_rich,100.0,81,3.6001818734554702,41094.19844316018,1905025.5843533708,1822543.1581465967
mech_009_PR_attrition_strong,0.88,TJ_rich,1.0,81,0.0,427004.37881448504,427004.37881448504,0.0
mech_009_PR_attrition_strong,0.88,TJ_rich,20.0,81,-0.3432044921181901,24432.98352428398,427004.37881448504,392263.0816790167
mech_009_PR_attrition_strong,0.88,TJ_rich,100.0,81,-0.2743207199595037,5721.792927376815,427004.37881448504,410580.4458441179
mech_009_PR_attrition_strong,0.88,baseline,1.0,81,0.0,1000610.4505732777,1000610.4505732777,0.0
mech_009_PR_attrition_strong,0.88,baseline,20.0,81,0.3655551385019483,64233.088755055855,1000610.4505732777,921757.6287589733
mech_009_PR_attrition_strong,0.88,baseline,100.0,81,0.3396988964133839,14302.715272728914,1000610.4505732777,971163.478445584
mech_009_PR_attrition_strong,0.88,mixed_GBseg_TJ,1.0,81,0.0,657964.1055278808,657964.1055278808,0.0
mech_009_PR_attrition_strong,0.88,mixed_GBseg_TJ,20.0,81,0.0074988064540155,38944.16561229167,657964.1055278808,615827.6207893799
mech_009_PR_attrition_strong,0.88,mixed_GBseg_TJ,100.0,81,0.0148799446287768,8603.851124173942,657964.1055278808,645052.9914053179
mech_009_PR_attrition_strong,0.9,GBseg_rich,1.0,81,0.0,1849005.4661965468,1849005.4661965468,0.0
mech_009_PR_attrition_strong,0.9,GBseg_rich,20.0,81,3.098657061035962,172512.15973701116,1864122.8515411282,1670120.562837096
mech_009_PR_attrition_strong,0.9,GBseg_rich,100.0,81,3.4540569229645,40339.55758445983,1864122.8515411282,1803753.372376484
