candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,360,,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,360,0.0,1029078.4500866772,1029078.4500866772,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,360,-0.5664481210425883,275699.7863774207,1029667.2466451918,769264.2782045035
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,360,0.0012365962526335,95301.87476973693,1030192.3503969468,958224.1986608552
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,360,0.0012265950608627,56146.1397553446,1030192.3503969468,997571.8788147296
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,360,0.0012759007286852,34536.95860898789,1030192.3503969468,1010888.5872854368
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,360,,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,360,0.0,191616.59289868467,191616.59289868467,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,360,-2.3148750362848953,39883.45513966173,191661.44044410897,152090.24795610615
mech_009_PR_attrition_moderate,0.85,TJ_rich,20.0,360,-2.3750240060428145,10870.951644400906,191706.28798953324,181538.12571169937
mech_009_PR_attrition_moderate,0.85,TJ_rich,50.0,360,-2.535048928817054,4948.101428506772,191706.28798953324,187464.7316682569
mech_009_PR_attrition_moderate,0.85,TJ_rich,100.0,360,-2.8105043662567097,2974.751794224722,191706.28798953324,189443.01596409676
mech_009_PR_attrition_moderate,0.85,baseline,0.2,360,,,,
mech_009_PR_attrition_moderate,0.85,baseline,1.0,360,0.0,460839.2537755205,460839.2537755205,0.0
mech_009_PR_attrition_moderate,0.85,baseline,5.0,360,-1.5682811815258295,107472.47208155118,461654.5233021859,361674.7541599024
mech_009_PR_attrition_moderate,0.85,baseline,20.0,360,-1.934170141368553,34693.11515250581,461654.5233021859,435291.8259203004
mech_009_PR_attrition_moderate,0.85,baseline,50.0,360,-2.0667689365841815,19820.842943455318,461654.5233021859,450264.16600623535
mech_009_PR_attrition_moderate,0.85,baseline,100.0,360,-2.170481388499266,11790.455671010495,461654.5233021859,455273.9213991646
