mechanism_id,preparation_growth_tolerance,second_step_growth_tolerance,n_complete_practical,n_below_150nm,min_G0_nm,max_window_width_C
mech_009,0.05,0.05,106,0,150.0,135.0
mech_009,0.05,0.1,106,0,150.0,150.0
mech_009,0.1,0.05,131,0,150.0,175.0
mech_009,0.1,0.1,131,0,150.0,185.0
mech_009,0.2,0.05,159,0,150.0,175.0
mech_009,0.2,0.1,163,4,100.0,185.0
mech_019,0.05,0.05,120,0,150.0,125.0
mech_019,0.05,0.1,134,34,100.0,140.0
mech_019,0.1,0.05,164,9,100.0,160.0
mech_019,0.1,0.1,189,54,75.0,175.0
mech_019,0.2,0.05,218,28,75.0,175.0
mech_019,0.2,0.1,254,84,75.0,190.0
mech_009_q0,0.05,0.05,54,0,225.0,25.0
mech_009_q0,0.05,0.1,98,0,225.0,40.0
mech_009_q0,0.1,0.05,81,0,150.0,60.0
mech_009_q0,0.1,0.1,138,0,150.0,75.0
mech_009_q0,0.2,0.05,104,0,150.0,65.0
mech_009_q0,0.2,0.1,174,4,100.0,80.0
mech_019_q0,0.05,0.05,177,0,150.0,85.0
mech_019_q0,0.05,0.1,159,34,100.0,65.0
mech_019_q0,0.1,0.05,232,9,100.0,95.0
mech_019_q0,0.1,0.1,221,54,75.0,100.0
mech_019_q0,0.2,0.05,298,28,75.0,100.0
mech_019_q0,0.2,0.1,298,84,75.0,115.0
