mechanism_id,rho_target,initial_topology,peak_T_C,heating_rate_C_min,response_class,n_cases,HR_pct_median,HR_pct_min,HR_pct_max
mech_009,0.85,GBseg_rich,1300.0,0.2,unattainable,72,,,
mech_009,0.85,GBseg_rich,1300.0,1.0,neutral,24,0.0,0.0,0.0
mech_009,0.85,GBseg_rich,1300.0,1.0,unattainable,48,,,
mech_009,0.85,GBseg_rich,1300.0,5.0,harmful,1,-1.0117411150518458,-1.0117411150518458,-1.0117411150518458
mech_009,0.85,GBseg_rich,1300.0,5.0,neutral,23,-0.0208480372765719,-0.995999834904178,0.0001480245539462
mech_009,0.85,GBseg_rich,1300.0,5.0,unattainable,48,,,
mech_009,0.85,GBseg_rich,1300.0,20.0,harmful,4,-1.223303674175771,-1.2874287082599405,-1.2148766592070126
mech_009,0.85,GBseg_rich,1300.0,20.0,neutral,20,-0.0206647963677262,-0.673640662187144,-8.382910711377645e-05
mech_009,0.85,GBseg_rich,1300.0,20.0,unattainable,48,,,
mech_009,0.85,GBseg_rich,1300.0,50.0,harmful,4,-1.3057906011385754,-1.3116471900100686,-1.1683240553651495
mech_009,0.85,GBseg_rich,1300.0,50.0,neutral,20,-0.0218644715244902,-0.7059004354198299,-8.075182332374073e-05
mech_009,0.85,GBseg_rich,1300.0,50.0,unattainable,48,,,
mech_009,0.85,GBseg_rich,1300.0,100.0,harmful,4,-1.2440533761377464,-1.2633645092257708,-1.0895968057850174
mech_009,0.85,GBseg_rich,1300.0,100.0,neutral,20,-0.0199214628609869,-0.6690704117834035,3.960622922669435e-05
mech_009,0.85,GBseg_rich,1300.0,100.0,unattainable,48,,,
mech_009,0.85,GBseg_rich,1350.0,0.2,unattainable,72,,,
mech_009,0.85,GBseg_rich,1350.0,1.0,neutral,39,0.0,0.0,0.0
mech_009,0.85,GBseg_rich,1350.0,1.0,unattainable,33,,,
mech_009,0.85,GBseg_rich,1350.0,5.0,harmful,18,-2.021615408419949,-4.74334404226108,-1.0789812710128417
mech_009,0.85,GBseg_rich,1350.0,5.0,neutral,18,-0.0655285976524194,-0.2219485050557354,-0.0004083314315873
mech_009,0.85,GBseg_rich,1350.0,5.0,unattainable,36,,,
mech_009,0.85,GBseg_rich,1350.0,20.0,harmful,18,-2.4943538899988997,-5.674906692936672,-1.3141507200491194
mech_009,0.85,GBseg_rich,1350.0,20.0,neutral,18,-0.0841743392274818,-0.2552057198146166,-0.0017090914613032
mech_009,0.85,GBseg_rich,1350.0,20.0,unattainable,36,,,
mech_009,0.85,GBseg_rich,1350.0,50.0,harmful,18,-2.6245301761774873,-5.786730767383508,-1.4554450792620457
mech_009,0.85,GBseg_rich,1350.0,50.0,neutral,18,-0.0798175647584747,-0.2634793734225272,-0.001497488708078
mech_009,0.85,GBseg_rich,1350.0,50.0,unattainable,36,,,
mech_009,0.85,GBseg_rich,1350.0,100.0,harmful,18,-2.52410298706609,-5.992377504612627,-1.3948704762933677
mech_009,0.85,GBseg_rich,1350.0,100.0,neutral,18,-0.0870039681336209,-0.2710267136836998,-0.0023118694266851
mech_009,0.85,GBseg_rich,1350.0,100.0,unattainable,36,,,
mech_009,0.85,GBseg_rich,1400.0,0.2,unattainable,72,,,
mech_009,0.85,GBseg_rich,1400.0,1.0,neutral,48,0.0,0.0,0.0
mech_009,0.85,GBseg_rich,1400.0,1.0,unattainable,24,,,
mech_009,0.85,GBseg_rich,1400.0,5.0,harmful,31,-6.20353479844557,-13.656502451054786,-1.4001772712506864
mech_009,0.85,GBseg_rich,1400.0,5.0,neutral,14,-0.30535691024705075,-0.946103949190554,-0.0482073536642221
mech_009,0.85,GBseg_rich,1400.0,5.0,unattainable,27,,,
mech_009,0.85,GBseg_rich,1400.0,20.0,harmful,33,-7.374616374707458,-17.08023259073551,-1.0461807606607114
mech_009,0.85,GBseg_rich,1400.0,20.0,neutral,11,-0.1359256906322681,-0.8085445303513827,-0.0398751841832779
mech_009,0.85,GBseg_rich,1400.0,20.0,unattainable,28,,,
mech_009,0.85,GBseg_rich,1400.0,50.0,harmful,32,-7.855649038960968,-18.40368579760099,-1.0797359641933553
mech_009,0.85,GBseg_rich,1400.0,50.0,neutral,11,-0.1322829822521749,-0.7575224110389681,-0.0437146306821541
mech_009,0.85,GBseg_rich,1400.0,50.0,unattainable,29,,,
mech_009,0.85,GBseg_rich,1400.0,100.0,harmful,31,-7.857730676840257,-18.817069128823046,-1.0652891525171893
mech_009,0.85,GBseg_rich,1400.0,100.0,neutral,11,-0.1310458630281317,-0.8054314895731443,-0.0541610282989352
mech_009,0.85,GBseg_rich,1400.0,100.0,unattainable,30,,,
mech_009,0.85,GBseg_rich,1450.0,0.2,unattainable,72,,,
mech_009,0.85,GBseg_rich,1450.0,1.0,neutral,63,0.0,0.0,0.0
mech_009,0.85,GBseg_rich,1450.0,1.0,unattainable,9,,,
mech_009,0.85,GBseg_rich,1450.0,5.0,harmful,51,-9.891316639939904,-31.3186769687484,-1.3000826801857683
mech_009,0.85,GBseg_rich,1450.0,5.0,neutral,3,-0.9138770675094872,-0.9138770675094872,-0.9138770675094872
mech_009,0.85,GBseg_rich,1450.0,5.0,unattainable,18,,,
mech_009,0.85,GBseg_rich,1450.0,20.0,harmful,53,-11.984521740633925,-39.69838760713016,-1.0428467784204998
mech_009,0.85,GBseg_rich,1450.0,20.0,unattainable,19,,,
mech_009,0.85,GBseg_rich,1450.0,50.0,harmful,53,-12.284180865316538,-42.69252632631304,-1.00348843099999
mech_009,0.85,GBseg_rich,1450.0,50.0,unattainable,19,,,
mech_009,0.85,GBseg_rich,1450.0,100.0,harmful,51,-12.32381165157345,-43.27041711294126,-1.4684690152571076
mech_009,0.85,GBseg_rich,1450.0,100.0,neutral,2,-0.9827591187477898,-0.9827591187477898,-0.9827591187477898
mech_009,0.85,GBseg_rich,1450.0,100.0,unattainable,19,,,
mech_009,0.85,GBseg_rich,1500.0,0.2,unattainable,72,,,
mech_009,0.85,GBseg_rich,1500.0,1.0,neutral,72,0.0,0.0,0.0
mech_009,0.85,GBseg_rich,1500.0,5.0,harmful,54,-21.57944794117541,-42.42443095066912,-5.4345845296975615
mech_009,0.85,GBseg_rich,1500.0,5.0,unattainable,18,,,
mech_009,0.85,GBseg_rich,1500.0,20.0,harmful,54,-25.92097120846517,-61.02143616087219,-6.790444544766448
mech_009,0.85,GBseg_rich,1500.0,20.0,unattainable,18,,,
mech_009,0.85,GBseg_rich,1500.0,50.0,harmful,54,-27.336568377436677,-66.06866694978156,-7.025360439887191
mech_009,0.85,GBseg_rich,1500.0,50.0,unattainable,18,,,
mech_009,0.85,GBseg_rich,1500.0,100.0,harmful,54,-27.16475990119723,-67.52029108190447,-7.0541214512706665
mech_009,0.85,GBseg_rich,1500.0,100.0,unattainable,18,,,
mech_009,0.85,TJ_rich,1300.0,0.2,unattainable,72,,,
mech_009,0.85,TJ_rich,1300.0,1.0,neutral,1,0.0,0.0,0.0
mech_009,0.85,TJ_rich,1300.0,1.0,unattainable,71,,,
mech_009,0.85,TJ_rich,1300.0,5.0,unattainable,72,,,
mech_009,0.85,TJ_rich,1300.0,20.0,unattainable,72,,,
mech_009,0.85,TJ_rich,1300.0,50.0,unattainable,72,,,
mech_009,0.85,TJ_rich,1300.0,100.0,unattainable,72,,,
mech_009,0.85,TJ_rich,1350.0,0.2,unattainable,72,,,
mech_009,0.85,TJ_rich,1350.0,1.0,neutral,15,0.0,0.0,0.0
mech_009,0.85,TJ_rich,1350.0,1.0,unattainable,57,,,
mech_009,0.85,TJ_rich,1350.0,5.0,harmful,6,-1.5862998441317635,-2.838003426694785,-1.034081712347979
mech_009,0.85,TJ_rich,1350.0,5.0,neutral,8,-0.309260859967372,-0.655580633844711,-0.0169935180559659
mech_009,0.85,TJ_rich,1350.0,5.0,unattainable,58,,,
mech_009,0.85,TJ_rich,1350.0,20.0,harmful,6,-2.088007475473577,-3.124666994569384,-1.2306857619549667
mech_009,0.85,TJ_rich,1350.0,20.0,neutral,8,-0.34491590681773404,-0.8665611014825394,-0.0338994312710039
mech_009,0.85,TJ_rich,1350.0,20.0,unattainable,58,,,
mech_009,0.85,TJ_rich,1350.0,50.0,harmful,6,-2.1352934144990914,-3.5330042415972875,-1.4284618523283623
mech_009,0.85,TJ_rich,1350.0,50.0,neutral,7,-0.4337412044612835,-0.8265359789220043,-0.036896014319878
mech_009,0.85,TJ_rich,1350.0,50.0,unattainable,59,,,
mech_009,0.85,TJ_rich,1350.0,100.0,harmful,6,-2.0723339835997314,-3.4668556112242985,-1.361317175603385
mech_009,0.85,TJ_rich,1350.0,100.0,neutral,7,-0.4169579414910798,-0.8136820682077976,-0.0307821900950099
mech_009,0.85,TJ_rich,1350.0,100.0,unattainable,59,,,
mech_009,0.85,TJ_rich,1400.0,0.2,unattainable,72,,,
mech_009,0.85,TJ_rich,1400.0,1.0,neutral,30,0.0,0.0,0.0
mech_009,0.85,TJ_rich,1400.0,1.0,unattainable,42,,,
mech_009,0.85,TJ_rich,1400.0,5.0,harmful,23,-2.1985140576331133,-6.415157745222108,-1.232423175913646
mech_009,0.85,TJ_rich,1400.0,5.0,neutral,5,-0.5215564832623151,-0.7724531926994849,-0.4209264741856455
mech_009,0.85,TJ_rich,1400.0,5.0,unattainable,44,,,
mech_009,0.85,TJ_rich,1400.0,20.0,harmful,23,-2.5027786207993756,-7.726363943570584,-1.669033839909741
mech_009,0.85,TJ_rich,1400.0,20.0,neutral,5,-0.575412411469652,-0.9243364408040036,-0.4846983915518376
mech_009,0.85,TJ_rich,1400.0,20.0,unattainable,44,,,
mech_009,0.85,TJ_rich,1400.0,50.0,harmful,22,-2.8846793374629325,-8.1144011697861,-1.5223139451559409
mech_009,0.85,TJ_rich,1400.0,50.0,neutral,5,-0.5357123824307635,-0.9296297247629968,-0.5125318643582439
mech_009,0.85,TJ_rich,1400.0,50.0,unattainable,45,,,
mech_009,0.85,TJ_rich,1400.0,100.0,harmful,22,-2.7530720370469943,-7.697884108875686,-1.657886258866294
mech_009,0.85,TJ_rich,1400.0,100.0,neutral,5,-0.5970164788912714,-0.8970331111659622,-0.5625962928973055
mech_009,0.85,TJ_rich,1400.0,100.0,unattainable,45,,,
mech_009,0.85,TJ_rich,1450.0,0.2,unattainable,72,,,
mech_009,0.85,TJ_rich,1450.0,1.0,neutral,42,0.0,0.0,0.0
