candidate_id,rho_target,initial_topology,heating_rate_C_min,peak_T_C,response_class,n_cases,HR_pct_median,PR_difference_median,fine_difference_median
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,1350.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,1400.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,1450.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,0.2,1500.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1300.0,neutral,14,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1300.0,unattainable,58,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,neutral,32,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1350.0,unattainable,40,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,neutral,44,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1400.0,unattainable,28,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1450.0,neutral,56,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1450.0,unattainable,16,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1500.0,neutral,68,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,GBseg_rich,1.0,1500.0,unattainable,4,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,beneficial,3,1.1903940436941467,840739.5418722357,0.00122964218245
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,neutral,11,0.0297197497711507,394435.83184016147,0.0028223474207014
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1300.0,unattainable,58,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1350.0,beneficial,14,3.075218138830489,1331087.8945975685,0.0037602920305949
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1350.0,neutral,18,0.1261715860578619,415429.6042556706,0.002538072907372
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1350.0,unattainable,40,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1400.0,beneficial,20,3.1993691586463844,1626294.4009156981,0.0055672837181441
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1400.0,neutral,21,0.0970847093006718,416885.0841045833,0.0036545690985231
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1400.0,unattainable,31,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1450.0,beneficial,6,1.3507370629499178,2157554.051618964,0.011440970264316602
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1450.0,harmful,30,-2.6714133309594956,742183.1149095178,0.00478417610315875
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1450.0,neutral,17,-0.8836702031994562,1354460.983598914,0.0011244245626656
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1450.0,unattainable,19,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1500.0,harmful,54,-8.4893229341797,994097.9035359337,0.0044623840942484
mech_009_PR_attrition_moderate,0.85,GBseg_rich,5.0,1500.0,unattainable,18,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1300.0,beneficial,3,1.36866113748118,1037369.1805888232,0.0010784108681005
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1300.0,neutral,11,0.0382217117162649,481290.7910878153,0.0031032199932454
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1300.0,unattainable,58,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,beneficial,14,4.193699004164923,1699708.816985958,0.0049025428506883
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,neutral,18,0.1596334160820123,504805.41429972736,0.0031821515185724
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1350.0,unattainable,40,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,beneficial,22,5.548677606834138,2114262.0544080343,0.0065490981447777
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,neutral,19,0.0387538387988212,490621.9815649217,0.0049575496709466
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1400.0,unattainable,31,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,beneficial,8,4.7949030900306715,3320155.29212796,0.0105598834491084
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,harmful,24,-3.3232037068952023,721996.2192370883,0.005290769352159649
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,neutral,20,-0.4324300814478968,1755712.8770447248,0.0030129265687837
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1450.0,unattainable,20,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1500.0,harmful,54,-9.2880924397111,1289679.2729071234,0.0054363309816885
mech_009_PR_attrition_moderate,0.85,GBseg_rich,20.0,1500.0,unattainable,18,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1300.0,beneficial,3,1.4973387773293865,1082303.0826669403,0.00072178131643
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1300.0,neutral,11,0.0385009518430067,499196.3936080014,0.0032147789216461
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1300.0,unattainable,58,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1350.0,beneficial,14,4.202786297935074,1777543.1774021925,0.0046705183836938
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1350.0,neutral,18,0.1707443132017785,523236.4655364325,0.0034438924666442
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1350.0,unattainable,40,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1400.0,beneficial,22,6.477388078046415,2257512.6357785687,0.0070217079833014
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1400.0,neutral,19,0.0826844386026322,509085.3082623266,0.0048595786319639
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1400.0,unattainable,31,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1450.0,beneficial,17,1.3869168940649297,2676242.624628683,0.0111041784162046
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1450.0,harmful,24,-3.1314842614628264,752288.2440306268,0.00519849918050545
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1450.0,neutral,11,-0.6455885542895079,1790623.4840181412,0.0030496569068265
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1450.0,unattainable,20,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1500.0,harmful,54,-9.574457255381047,1359272.9582239692,0.0055746062437823495
mech_009_PR_attrition_moderate,0.85,GBseg_rich,50.0,1500.0,unattainable,18,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1300.0,beneficial,3,1.5394426997352058,1097407.6121744176,0.0007288037217158
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1300.0,neutral,11,0.0399009900697562,505304.0309918799,0.0035189298066632
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1300.0,unattainable,58,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,beneficial,14,4.42497713229683,1805596.050824645,0.0045963779122779
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,neutral,18,0.1654318655204005,529408.4523888697,0.0032497923474064
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1350.0,unattainable,40,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,beneficial,22,6.512671110204748,2308644.6549641504,0.0071263960405078
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,neutral,19,0.0525842862121398,515299.2537944593,0.004823859562532
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1400.0,unattainable,31,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,beneficial,14,3.3558797876979347,3343052.568102418,0.0114225680010704
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,harmful,27,-3.122426263032322,976128.1299602792,0.0056877607570414
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,neutral,11,-0.8738757909348178,1823816.7508912536,0.0028314952885432
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1450.0,unattainable,20,,,
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1500.0,harmful,54,-9.897285985224483,1383570.3088114257,0.005803414636270401
mech_009_PR_attrition_moderate,0.85,GBseg_rich,100.0,1500.0,unattainable,18,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,1350.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,1400.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,1450.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,0.2,1500.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1300.0,neutral,1,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1300.0,unattainable,71,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1350.0,neutral,13,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1350.0,unattainable,59,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1400.0,neutral,29,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1400.0,unattainable,43,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1450.0,neutral,40,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1450.0,unattainable,32,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1500.0,neutral,52,0.0,0.0,0.0
mech_009_PR_attrition_moderate,0.85,TJ_rich,1.0,1500.0,unattainable,20,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,1300.0,unattainable,72,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,1350.0,beneficial,1,3.032582821476331,792775.9564904438,0.0125316109800378
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,1350.0,neutral,12,-0.0619264609617983,129344.12901242805,0.00185803125533385
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,1350.0,unattainable,59,,,
mech_009_PR_attrition_moderate,0.85,TJ_rich,5.0,1400.0,beneficial,4,2.309064802524799,852994.6048063781,0.01229666441052645
