heating_rate_C_min,peak_T_C,hold_time_h,matched_density_ratio,comparison_attained
20,1450,4,1.2902766321260097,True
50,1450,4,1.319125144572483,True
100,1450,4,1.3250660662155558,True
20,1450,8,1.2902766321260097,True
50,1450,8,1.319125144572483,True
100,1450,8,1.3250660662155558,True
20,1450,12,1.2902766321260097,True
50,1450,12,1.319125144572483,True
100,1450,12,1.3250660662155558,True
20,1450,20,1.2902766321260097,True
50,1450,20,1.319125144572483,True
100,1450,20,1.3250660662155558,True
20,1500,4,1.4499076279746772,True
50,1500,4,1.5189770856034719,True
100,1500,4,1.5488455402547294,True
20,1500,8,1.4499076279746772,True
50,1500,8,1.5189770856034719,True
100,1500,8,1.5488455402547294,True
20,1500,12,1.4499076279746772,True
50,1500,12,1.5189770856034719,True
100,1500,12,1.5488455402547294,True
20,1500,20,1.4499076279746772,True
50,1500,20,1.5189770856034719,True
100,1500,20,1.5488455402547294,True
20,1550,4,1.5448022196388616,True
50,1550,4,1.6955218718433729,True
100,1550,4,1.7959491107077785,True
20,1550,8,1.5448022196388616,True
50,1550,8,1.6955218718433729,True
100,1550,8,1.7959491107077785,True
20,1550,12,1.5448022196388616,True
50,1550,12,1.6955218718433729,True
100,1550,12,1.7959491107077785,True
20,1550,20,1.5448022196388616,True
50,1550,20,1.6955218718433729,True
100,1550,20,1.7959491107077785,True
20,1600,4,1.5517641890935763,True
50,1600,4,1.7974766906561808,True
100,1600,4,2.0668814273837337,True
20,1600,8,1.5517641890935763,True
50,1600,8,1.7974766906561808,True
100,1600,8,2.0668814273837337,True
20,1600,12,1.5517641890935763,True
50,1600,12,1.7974766906561808,True
100,1600,12,2.0668814273837337,True
20,1600,20,1.5517641890935763,True
50,1600,20,1.7974766906561808,True
100,1600,20,2.0668814273837337,True
