material_id,topology_id,G0_nm,G1_nm,T1_C,rho_switch,complete_practical_window,lower_bracketed,upper_bracketed,T_lower,T_upper,q_TJ,material_frozen,rejection_reason
M070,T00,75,1410.9640448508205,1250,0.9,False,False,True,950,1200,0,True,incomplete_boundaries_or_no_success
M070,T00,75,3290.717764368445,1300,0.8,False,True,False,1250,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,75,3290.717764368445,1300,0.84,False,True,False,1250,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,75,3290.717764368445,1300,0.88,False,True,False,1225,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,75,3290.717764368445,1300,0.9,False,False,False,950,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,75,2468.54086988494,1350,0.8,True,True,True,1250,1250,0,True,
M070,T00,75,3824.1021921642473,1350,0.84,True,True,True,1250,1300,0,True,
M070,T00,75,6054.97140126196,1350,0.88,False,True,False,1225,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,75,7407.607459007667,1350,0.9,False,False,False,950,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,75,2824.4297763195827,1400,0.84,True,True,True,1250,1275,0,True,
M070,T00,75,4466.647392003176,1400,0.88,True,True,True,1225,1325,0,True,
M070,T00,75,5772.0957832920185,1400,0.9,False,False,True,950,1350,0,True,incomplete_boundaries_or_no_success
M070,T00,75,3358.6205019258205,1450,0.88,True,True,True,1225,1275,0,True,
M070,T00,75,4337.9839247838245,1450,0.9,False,False,True,950,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,75,2570.883822181432,1500,0.88,True,True,True,1225,1250,0,True,
M070,T00,75,3317.6603801122533,1500,0.9,False,False,True,950,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,100,1101.9730336381156,1250,0.9,False,False,True,950,1175,0,True,incomplete_boundaries_or_no_success
M070,T00,100,2511.788323276334,1300,0.8,True,True,True,1250,1250,0,True,
M070,T00,100,2511.788323276334,1300,0.84,True,True,True,1250,1250,0,True,
M070,T00,100,2511.788323276334,1300,0.88,True,True,True,1225,1250,0,True,
M070,T00,100,2511.788323276334,1300,0.9,False,False,True,950,1250,0,True,incomplete_boundaries_or_no_success
M070,T00,100,3479.138249116914,1350,0.84,True,True,True,1250,1300,0,True,
M070,T00,100,5553.763138227678,1350,0.88,False,True,False,1225,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,100,5599.455594255752,1350,0.9,False,False,False,950,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,100,2564.5184671031166,1400,0.84,True,True,True,1250,1250,0,True,
M070,T00,100,4081.8235345011085,1400,0.88,True,True,True,1225,1300,0,True,
M070,T00,100,5299.74772013103,1400,0.9,False,False,True,950,1350,0,True,incomplete_boundaries_or_no_success
M070,T00,100,3060.805572523344,1450,0.88,True,True,True,1225,1275,0,True,
M070,T00,100,3968.6642381584584,1450,0.9,False,False,True,950,1300,0,True,incomplete_boundaries_or_no_success
M070,T00,100,2338.799695779315,1500,0.88,True,True,True,1225,1250,0,True,
M070,T00,100,3026.870322568428,1500,0.9,False,False,True,950,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,150,817.9820224254104,1250,0.9,False,False,True,950,1125,0,True,incomplete_boundaries_or_no_success
M070,T00,150,1757.8588821842225,1300,0.9,False,False,True,950,1200,0,True,incomplete_boundaries_or_no_success
M070,T00,150,2857.2794121535826,1350,0.84,True,True,True,1250,1275,0,True,
M070,T00,150,3816.3037295038334,1350,0.88,True,True,True,1225,1300,0,True,
M070,T00,150,3816.3037295038334,1350,0.9,False,False,True,950,1300,0,True,incomplete_boundaries_or_no_success
M070,T00,150,3359.119301843445,1400,0.88,True,True,True,1225,1275,0,True,
M070,T00,150,4368.52377741036,1400,0.9,False,False,True,950,1325,0,True,incomplete_boundaries_or_no_success
M070,T00,150,2523.1062483397413,1450,0.88,True,True,True,1225,1250,0,True,
M070,T00,150,3270.7502186458346,1450,0.9,False,False,True,950,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,150,1935.0813632984248,1500,0.88,True,True,True,1225,1225,0,True,
M070,T00,150,2498.3228475406,1500,0.9,False,False,True,950,1250,0,True,incomplete_boundaries_or_no_success
M070,T00,225,670.321348283607,1250,0.9,False,False,True,950,1125,0,True,incomplete_boundaries_or_no_success
M070,T00,225,1296.9059214561485,1300,0.9,False,False,True,950,1175,0,True,incomplete_boundaries_or_no_success
M070,T00,225,2265.1144971710155,1350,0.84,True,True,True,1250,1250,0,True,
M070,T00,225,2669.2024863358893,1350,0.88,True,True,True,1225,1250,0,True,
M070,T00,225,2669.2024863358893,1350,0.9,False,False,True,950,1250,0,True,incomplete_boundaries_or_no_success
M070,T00,225,2652.870713423053,1400,0.88,True,True,True,1225,1250,0,True,
M070,T00,225,3430.653063822695,1400,0.9,False,False,True,950,1275,0,True,incomplete_boundaries_or_no_success
M070,T00,225,2013.7913157360508,1450,0.88,True,True,True,1225,1225,0,True,
