material_id,ablation_mode,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason
M060,no_nucleation_limitation,1550,20,100,True,1.0,0.9999017817767827,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M060,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M060,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M060,exchange_limited_variant,1550,20,100,True,1.0,0.9999422211115696,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M065,no_nucleation_limitation,1550,20,100,True,1.0,0.9999017817767827,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M065,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M065,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M065,exchange_limited_variant,1550,20,100,True,1.0,0.9999422211115696,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M070,no_nucleation_limitation,1550,20,100,True,0.999921963626939,0.9998046731555292,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M070,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M070,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M070,exchange_limited_variant,1550,20,100,True,0.9999552508488363,0.9998750072991539,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M185,no_nucleation_limitation,1550,20,100,True,1.0,0.9981863743261898,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M185,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M185,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M185,exchange_limited_variant,1550,20,100,True,1.0,0.9982136625691573,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M190,no_nucleation_limitation,1550,20,100,True,1.0,0.9991709175823887,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M190,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M190,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M190,exchange_limited_variant,1550,20,100,True,1.0,0.9991920364601073,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M195,no_nucleation_limitation,1550,20,100,True,1.0,0.9991709175823887,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
M195,transport_only,1550,20,100,False,,,,,,,,,,,,unattained_interval
M195,PR_only_no_densification_activation,1550,20,100,False,,,,,,,,,,,,unattained_interval
M195,exchange_limited_variant,1550,20,100,True,1.0,0.9991920364601073,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold
