condition_id,gate_form,rho0,smoothing_rho_mid,rho0_minus_rho_mid,rho_width_label,smoothing_rho_width,target_density,eligible_target,HR_scored,TS_scored,HR_pct,TS_pct,slow_time_budget_h,fast_time_budget_h,high_time_budget_h,two_step_time_budget_h,slow_reached,slow_time_to_target_h,slow_G_at_target_nm,slow_pore_mean_radius_nm,slow_large_pore_fraction,slow_removable_fine_pore_fraction,slow_f_pore,slow_isolated_pore_fraction,slow_cumulative_redistributed_pore_volume,slow_E_G,fast_reached,fast_time_to_target_h,fast_G_at_target_nm,fast_pore_mean_radius_nm,fast_large_pore_fraction,fast_removable_fine_pore_fraction,fast_f_pore,fast_isolated_pore_fraction,fast_cumulative_redistributed_pore_volume,fast_E_G,high_reached,high_time_to_target_h,high_G_at_target_nm,high_pore_mean_radius_nm,high_large_pore_fraction,high_removable_fine_pore_fraction,high_f_pore,high_isolated_pore_fraction,high_cumulative_redistributed_pore_volume,high_E_G,two_step_reached,two_step_time_to_target_h,two_step_G_at_target_nm,two_step_pore_mean_radius_nm,two_step_large_pore_fraction,two_step_removable_fine_pore_fraction,two_step_f_pore,two_step_isolated_pore_fraction,two_step_cumulative_redistributed_pore_volume,two_step_E_G,HR_crossover_density
logistic_mid0.72_narrow_rho00.65,logistic,0.65,0.72,-0.06999999999999995,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.86272495108396,900.6480620763185,63.12698067735998,0.14540441729109232,0.2576376916408908,0.6006261482263429,0.7523361978811168,6.893257824764351e-07,0.023586958411513308,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_narrow_rho00.70,logistic,0.7,0.72,-0.020000000000000018,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.42772773367994,880.7413503067211,60.478683026373204,0.12805878952997185,0.2843939775048311,0.6100147143477744,0.7523361987496724,1.899307287576611e-07,0.023668526778408146,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_narrow_rho00.75,logistic,0.75,0.72,0.030000000000000027,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.76902451343257,857.615508493787,57.43010222422572,0.10984135237617967,0.3194726024320465,0.6212515413168973,0.7523361982830566,2.806497201048081e-11,0.02378052712728728,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_narrow_rho00.80,logistic,0.8,0.72,0.08000000000000007,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.81266069719152,830.5494918118794,53.854955386940105,0.09065632592641654,0.36660550444348244,0.6349005309869599,0.7523361975923494,9.264805583450529e-17,0.023940039518903257,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_narrow_rho00.85,logistic,0.85,0.72,0.13,narrow,0.0075,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.32947181765708,798.7125407016913,49.56888529715648,0.07038851990398241,0.4315798514543701,0.6516959453532819,0.7523361974738673,8.692299754370277e-22,0.024168799642654008,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_baseline_rho00.65,logistic,0.65,0.72,-0.06999999999999995,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,85.8629137755672,900.6480334293948,63.126978039928225,0.1454044055801359,0.2576377317871609,0.60062616061394,0.7523361978850027,6.105459355341618e-07,0.02358695836073467,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_baseline_rho00.70,logistic,0.7,0.72,-0.020000000000000018,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,84.42802130849829,880.7413417009412,60.47868227601636,0.1280587868071189,0.28439399133860543,0.6100147182219279,0.7523361987414577,1.6705260014081977e-07,0.023668526769775714,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9
logistic_mid0.72_baseline_rho00.75,logistic,0.75,0.72,0.030000000000000027,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,82.76924977524334,857.6155099074696,57.43010235022408,0.10984135277642937,0.3194725999119881,0.6212515406780607,0.7523361982904333,2.566842358077769e-09,0.023780527134882438,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_baseline_rho00.80,logistic,0.8,0.72,0.08000000000000007,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,80.81277131302589,830.549491792663,53.854955382477,0.09065632591995267,0.3666055045557201,0.6349005310368293,0.7523361975957651,8.06733026136726e-12,0.02394003952826216,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
logistic_mid0.72_baseline_rho00.85,logistic,0.85,0.72,0.13,baseline,0.015,0.92,True,False,False,nan,nan,126.75,9.1875,96.0,96.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,78.32958084616212,798.7125407154812,49.56888529419931,0.07038851990017944,0.43157985153456463,0.6516959453977987,0.7523361974763481,1.0430919506191508e-13,0.024168799653456162,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
