smoothing_gate_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,G1_nm,rho1,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_min_C,T_success_max_C,window_width_C,n_success
connectivity,50.00000000000001,1250.0,0.75,0.9,0.02,True,93.88478230694339,0.7503911219454048,0.34952974786545116,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.9,0.05,True,93.88478230694339,0.7503911219454048,0.34952974786545116,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.9,0.1,True,93.88478230694339,0.7503911219454048,0.34952974786545116,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.95,0.02,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.95,0.05,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.95,0.1,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.98,0.02,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.98,0.05,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.75,0.98,0.1,True,93.88478230694339,0.7503911219454048,0.34952974786545116,nan,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.9,0.02,True,117.72025490829775,0.8002020594634571,0.321671015838254,1250.0,1050.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.9,0.05,True,117.72025490829775,0.8002020594634571,0.321671015838254,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.9,0.1,True,117.72025490829775,0.8002020594634571,0.321671015838254,1250.0,1100.0,nan,nan,nan,0
connectivity,50.00000000000001,1250.0,0.8,0.95,0.02,True,117.72025490829775,0.8002020594634571,0.321671015838254,nan,1050.0,nan,nan,nan,0
