material_id,topology_id,role,T2_C,t_h,T_C,rho,G_nm,rho_dot,G_dot,X_J,Lambda_over_K,pore_drag,migration_factor
E0142,D0087,lower_failure,1050,0.0,25.0,0.8800576079465479,302.93301080737535,1.213208953291166e-15,2.2425997179088338e-13,0.7499643962254092,1.158377756178704e-14,18.873555885023755,0.050318121517125
E0142,D0087,lower_failure,1050,0.3333333333333333,45.0,0.8800576079480037,302.93301080764445,1.2132089532757534e-15,2.2425997179338973e-13,0.75,1.158377756177675e-14,18.873555884783986,0.05031812151773207
E0142,D0087,lower_failure,1050,0.6666666666666666,65.0,0.8800576079494595,302.9330108079136,1.213208953260341e-15,2.2425997179589611e-13,0.75,1.1583777561766456e-14,18.87355588454422,0.05031812151833914
E0142,D0087,lower_failure,1050,1.0,85.0,0.8800576079509154,302.93301080818276,1.2132089532449289e-15,2.2425997179840242e-13,0.75,1.1583777561756165e-14,18.87355588430446,0.0503181215189462
E0142,D0087,lower_failure,1050,1.3333333333333333,105.0,0.8800576079523712,302.9330108084519,1.2132089532295163e-15,2.242599718009088e-13,0.75,1.1583777561745875e-14,18.87355588406469,0.05031812151955327
E0142,D0087,lower_failure,1050,1.6666666666666667,125.0,0.880057607953827,302.93301080872106,1.213208953214104e-15,2.2425997180341513e-13,0.75,1.1583777561735582e-14,18.873555883824924,0.05031812152016034
E0142,D0087,lower_failure,1050,2.0,145.0,0.8800576079552829,302.9330108089902,1.2132089531986918e-15,2.2425997180592149e-13,0.75,1.158377756172529e-14,18.87355588358516,0.0503181215207674
E0142,D0087,lower_failure,1050,2.3333333333333335,165.0,0.8800576079567388,302.9330108092593,1.2132089531832782e-15,2.2425997180842805e-13,0.75,1.1583777561714997e-14,18.873555883345375,0.05031812152137451
E0142,D0087,lower_failure,1050,2.6666666666666665,185.0,0.8800576079581947,302.93301080952847,1.2132089531678659e-15,2.242599718109344e-13,0.75,1.1583777561704706e-14,18.87355588310561,0.050318121521981576
E0142,D0087,lower_failure,1050,3.0,205.0,0.8800576079596505,302.9330108097976,1.2132089531524533e-15,2.2425997181344078e-13,0.75,1.1583777561694416e-14,18.87355588286584,0.05031812152258865
E0142,D0087,lower_failure,1050,3.3333333333333335,225.0,0.8800576079611063,302.9330108100668,1.2132089531370411e-15,2.2425997181594714e-13,0.75,1.1583777561684123e-14,18.873555882626075,0.050318121523195716
E0142,D0087,lower_failure,1050,3.6666666666666665,245.0,0.8800576079625622,302.93301081033593,1.2132089531216285e-15,2.2425997181845347e-13,0.75,1.1583777561673831e-14,18.87355588238631,0.050318121523802786
E0142,D0087,lower_failure,1050,4.0,265.0,0.880057607964018,302.9330108106051,1.2132089531062162e-15,2.2425997182095983e-13,0.75,1.1583777561663538e-14,18.873555882146544,0.05031812152440985
E0142,D0087,lower_failure,1050,4.333333333333333,285.0,0.8800576079654739,302.93301081087424,1.2132089530908028e-15,2.2425997182346638e-13,0.75,1.1583777561653248e-14,18.87355588190676,0.05031812152501696
E0142,D0087,lower_failure,1050,4.666666666666667,305.0,0.8800576079669298,302.93301081114333,1.2132089530753903e-15,2.242599718259727e-13,0.75,1.1583777561642957e-14,18.873555881666995,0.050318121525624024
E0142,D0087,lower_failure,1050,5.0,325.0,0.8800576079683856,302.9330108114125,2.534458821263852e-15,2.2425997182847912e-13,0.75,1.1583777561632664e-14,18.873555881427226,0.0503181215262311
E0142,D0087,lower_failure,1050,5.333333333333333,345.0,0.8800576079733233,302.93301081168164,1.2459661635458426e-14,2.2425997183745633e-13,0.75,1.1583777561622372e-14,18.87355588061402,0.050318121528290065
E0142,D0087,lower_failure,1050,5.666666666666667,365.0,0.8800576079967354,302.9330108119508,5.517723878439903e-14,2.2425997188076727e-13,0.75,1.158377756161208e-14,18.873555876758218,0.050318121538052624
E0142,D0087,lower_failure,1050,6.0,385.0,0.8800576080968124,302.93301081221995,2.193396993738777e-13,2.242599720665565e-13,0.75,1.158377756160179e-14,18.873555860276223,0.05031812157978361
E0142,D0087,lower_failure,1050,6.333333333333333,405.0,0.880057608478397,302.9330108124891,7.583629462365294e-13,2.2425997277551436e-13,0.75,1.1583777561591498e-14,18.873555797431866,0.05031812173890007
E0142,D0087,lower_failure,1050,6.666666666666667,425.0,0.880057609716757,302.9330108127582,2.0915696773177657e-12,2.2425997507675327e-13,0.75,1.1583777561581205e-14,18.873555593482145,0.05031812225528311
E0142,D0087,lower_failure,1050,7.0,445.0,0.8800576128152957,302.93301081302735,4.114161227689156e-12,2.242599808350723e-13,0.75,1.1583777561570913e-14,18.8735550831716,0.050318123547345266
E0142,D0087,lower_failure,1050,7.333333333333333,465.0,0.8800576183163862,302.9330108132965,5.792462681902554e-12,2.2425999105848595e-13,0.75,1.158377756156062e-14,18.873554177171677,0.05031812584125885
E0142,D0087,lower_failure,1050,7.666666666666667,485.0,0.8800576255806793,302.93301081356566,6.659761428826589e-12,2.242600045588007e-13,0.75,1.158377756155033e-14,18.87355298077825,0.05031812887042405
E0142,D0087,lower_failure,1050,8.0,505.0,0.8800576337038656,302.9330108138348,7.015280490072063e-12,2.2426001965537145e-13,0.75,1.1583777561540039e-14,18.873551642927396,0.050318132257747714
E0142,D0087,lower_failure,1050,8.333333333333334,525.0,0.8800576421727744,302.93301081410397,7.151668699457497e-12,2.242600353944719e-13,0.75,1.1583777561529746e-14,18.873550248136816,0.05031813578923836
E0142,D0087,lower_failure,1050,8.666666666666666,545.0,0.880057650774192,302.93301081437306,7.204269799938303e-12,2.2426005137984308e-13,0.75,1.1583777561519456e-14,18.87354883152233,0.05031813937598578
E0142,D0087,lower_failure,1050,9.0,565.0,0.8800576594269788,302.9330108146422,7.225174327636426e-12,2.242600674606867e-13,0.75,1.1583777561509161e-14,18.87354740644744,0.05031814298415475
E0142,D0087,lower_failure,1050,9.333333333333334,585.0,0.8800576681003247,302.9330108149713,7.233794641904299e-12,5.77802879955831e-13,0.75,2.439947132589085e-14,18.873545977986506,0.0503181466008974
E0142,D0087,lower_failure,1050,9.666666666666666,605.0,0.8800576767850278,302.9330108159279,7.257365082380331e-12,1.76593479223701e-12,0.75,1.2036938182378058e-13,18.87354454765508,0.05031815022237651
E0142,D0087,lower_failure,1050,10.0,625.0,0.8800576854995508,302.93301081880526,7.272305152125562e-12,5.135242857418303e-12,0.7499747907104616,5.530726245082832e-13,18.873543112412367,0.05031815385629111
E0142,D0087,lower_failure,1050,10.333333333333334,645.0,0.8800576942282357,302.93301082704875,7.27740160879837e-12,1.4254460110825328e-11,0.7499429571332611,2.377913746635607e-12,18.873541674837224,0.05031815749611175
E0142,D0087,lower_failure,1050,10.666666666666666,665.0,0.8800577029618037,302.9330108496176,7.279243963154535e-12,3.7882244547537846e-11,0.7499417950872458,9.607338572370657e-12,18.873540236457828,0.050318161137969226
E0142,D0087,lower_failure,1050,11.0,685.0,0.8800577116971563,302.93301090883193,7.279949357950818e-12,9.664950028927985e-11,0.7499415177481713,3.661797724799095e-11,18.873538797784537,0.05031816478057134
E0142,D0087,lower_failure,1050,11.333333333333334,705.0,0.8800577204331996,302.93301105811315,7.280234900883942e-12,2.3731736313178706e-10,0.7499414198026446,1.3213648080476472e-10,18.873537358997478,0.05031816842346204
E0142,D0087,lower_failure,1050,11.666666666666666,725.0,0.8800577291695255,302.9330114206054,7.280356758452329e-12,5.621151587531029e-10,0.7499413789061423,4.529149612964353e-10,18.873535920163885,0.05031817206647108
E0142,D0087,lower_failure,1050,12.0,745.0,0.8800577379059732,302.93301227032555,7.280411353900329e-12,1.2870881346295497e-09,0.7499413601165563,1.4790822386411276e-09,18.873534481310237,0.050318175709531426
E0142,D0087,lower_failure,1050,12.333333333333334,765.0,0.8800577466424758,302.93301419709996,7.280436878286212e-12,2.854491862368005e-09,0.7499413508916195,4.614922937300756e-09,18.87353304244753,0.05031817935261524
E0142,D0087,lower_failure,1050,12.666666666666666,785.0,0.8800577553790044,302.9330184314745,7.280449221049925e-12,6.142892325230825e-09,0.749941346121723,1.3792912254255943e-08,18.873531603580556,0.05031818299571038
E0142,D0087,lower_failure,1050,13.0,805.0,0.8800577641155457,302.9330274662035,7.280455311939463e-12,1.2848968923655916e-08,0.7499413435468465,3.9582796254888287e-08,18.873530164711493,0.05031818663881134
E0142,D0087,lower_failure,1050,13.333333333333334,825.0,0.8800577748171112,302.93304621253867,1.6586252777410243e-11,2.6163126286958402e-08,0.749941341825437,1.093150095544782e-07,18.873528402216653,0.05031819110130751
E0142,D0087,lower_failure,1050,13.666666666666666,845.0,0.8800578002794126,302.93308409602304,3.997203804969343e-11,5.193539510424694e-08,0.7499413394655571,2.9111919101021374e-07,18.87352420873159,0.050318201718879935
E0142,D0087,lower_failure,1050,14.0,865.0,0.8800578610613156,302.9331587625817,9.339819137069544e-11,1.0064034837142835e-07,0.7499413361115067,7.490512911931729e-07,18.87351419835461,0.05031822706438065
E0142,D0087,lower_failure,1050,14.333333333333334,885.0,0.8800580018162035,302.93330248117775,2.119288733584725e-10,1.906154039907599e-07,0.7499413313771501,1.8654191866940797e-06,18.873491016985213,0.050318285757914055
E0142,D0087,lower_failure,1050,14.666666666666666,905.0,0.8800583185120466,302.9335729639206,4.676911740045342e-10,3.532861747684684e-07,0.7499413247490588,4.50388540868518e-06,18.873438859369486,0.05031841781768646
E0142,D0087,lower_failure,1050,15.0,925.0,0.880059011845685,302.9340712739907,1.0051937948349427e-09,6.414314719189782e-07,0.7499413155566086,1.055887916868565e-05,18.873324672144133,0.05031870693491317
E0142,D0087,lower_failure,1050,15.333333333333334,945.0,0.8800604907915446,302.9349708849695,2.1068114515869193e-09,1.1420121448428417e-06,0.7499413029412019,2.4071166492626452e-05,18.87308110010258,0.05031932366012627
E0142,D0087,lower_failure,1050,15.666666666666666,965.0,0.8800635684617374,302.9365639631068,4.311341238430835e-09,1.9957341578575755e-06,0.7499412858279759,5.343350639180774e-05,18.872574229475866,0.05032060710669061
E0142,D0087,lower_failure,1050,16.0,985.0,0.8800698239929852,302.9393337916433,8.623808137188588e-09,3.4263925726318875e-06,0.7499412629037693,0.00011564267000927849,18.871543987976104,0.05032321598186236
E0142,D0087,lower_failure,1050,16.333333333333332,1005.0,0.8800822563973355,302.94406624097667,1.6878681491919446e-08,5.78422906892619e-06,0.7499412326019141,0.00024430152538372247,18.869496461283212,0.05032840172616121
E0142,D0087,lower_failure,1050,16.666666666666668,1025.0,0.880106440776819,302.952018715704,3.235528519599541e-08,9.6091630848157e-06,0.7499411930809632,0.0005043372952017831,18.865513476757613,0.05033849244168728
E0142,D0087,lower_failure,1050,17.0,1045.0,0.8801525305461002,302.96517267197675,6.079812762495549e-08,1.5722080533218636e-05,0.7499411421464972,0.001018487167832957,18.857922866200383,0.050357734126466575
E0142,D0087,lower_failure,1050,17.333333333333332,1050.0,0.88023158293139,302.98525198660275,7.092987533397146e-08,1.77490891482035e-05,0.7499410792684178,0.0012100358155431054,18.84490366325889,0.05039077120094127
E0142,D0087,lower_failure,1050,17.666666666666668,1050.0,0.8803166832039954,303.0065542816681,7.087795887717615e-08,1.7760384281199573e-05,0.7499410159558928,0.0012099507462942124,18.83088856062991,0.05042638391833291
E0142,D0087,lower_failure,1050,18.0,1050.0,0.8804017211882842,303.0278701327028,7.082608051907014e-08,1.777168544704804e-05,0.7499409542126888,0.0012098656348823282,18.81688385540593,0.05046202053241614
E0142,D0087,lower_failure,1050,18.333333333333332,1050.0,0.8804866969299666,303.0491995469467,7.077424023173513e-08,1.7782992647470844e-05,0.7499408939073278,0.001209780481298869,18.802889539959363,0.05049768105720859
E0142,D0087,lower_failure,1050,18.666666666666668,1050.0,0.8805716104747192,303.0705425316419,7.072243798727455e-08,1.779430588418839e-05,0.7499408349192073,0.001209695285535265,18.788905606668205,0.05053336550673288
E0142,D0087,lower_failure,1050,19.0,1050.0,0.880656461868185,303.0918990940324,7.067067375781114e-08,1.7805625158919535e-05,0.7499407771376938,0.00120961004758296,18.774932047916057,0.05056907389501665
E0142,D0087,lower_failure,1050,19.333333333333332,1050.0,0.8807412511559737,303.1132692413644,7.06189475154893e-08,1.7816950473381607e-05,0.7499407204612923,0.0012095247674334109,18.760968856092077,0.0506048062360926
E0142,D0087,lower_failure,1050,19.666666666666668,1050.0,0.8808259783836615,303.1346529808861,7.056725923247359e-08,1.782828182929041e-05,0.7499406647968855,0.00120943944507809,18.747016023590994,0.050640562543998485
E0142,D0087,lower_failure,1050,20.0,1050.0,0.8809106435967912,303.1560503198476,7.051560888094896e-08,1.783961922836014e-05,0.7499406100590364,0.0012093540805084811,18.733073542813163,0.05067634283277694
E0142,D0087,lower_failure,1050,20.333333333333332,1050.0,0.8809952468408722,303.1774612655014,7.046399643312082e-08,1.7850962672303503e-05,0.7499405561693506,0.0012092686737160835,18.719141406164447,0.05071214711647575
E0142,D0087,lower_failure,1050,20.666666666666668,1050.0,0.8810797881613808,303.1988858251018,7.041242186121422e-08,1.786231216283165e-05,0.7499405030558902,0.0012091832246924092,18.70521960605628,0.050747975409147744
E0142,D0087,lower_failure,1050,21.0,1050.0,0.8811642676037594,303.2203240059051,7.036088513747671e-08,1.7873667701654115e-05,0.7499404506526383,0.0012090977334289843,18.691308134905714,0.05078382772485055
E0142,D0087,lower_failure,1050,21.333333333333332,1050.0,0.881248685213418,303.24177581517,7.03093862341734e-08,1.788502929047897e-05,0.7499403988990077,0.0012090121999173487,18.67740698513526,0.050819704077647104
E0142,D0087,lower_failure,1050,21.666666666666668,1050.0,0.8813330410357324,303.2632412601568,7.025792512359259e-08,1.7896396931012618e-05,0.7499403477393906,0.0012089266241490564,18.663516149173095,0.050855604481605025
E0142,D0087,lower_failure,1050,22.0,1050.0,0.8814173351160457,303.28472034812813,7.020650177804128e-08,1.7907770624959966e-05,0.7499402971227461,0.0012088410061156744,18.649635619452855,0.050891528950797155
E0142,D0087,lower_failure,1050,22.333333333333332,1050.0,0.8815015674996676,303.3062130863486,7.01551161698468e-08,1.7919150374024338e-05,0.749940247002222,0.0012087553458087845,18.635765388413763,0.050927477499301245
E0142,D0087,lower_failure,1050,22.666666666666668,1050.0,0.8815857382318747,303.32771948208483,7.010376827135779e-08,1.7930536179907486e-05,0.7499401973348083,0.0012086696432199815,18.621905448500545,0.050963450141200094
E0142,D0087,lower_failure,1050,23.0,1050.0,0.8816698473579103,303.3492395426056,7.00524580549422e-08,1.794192804430958e-05,0.7499401480810194,0.001208583898340875,18.6080557921635,0.050999446890581425
E0142,D0087,lower_failure,1050,23.333333333333332,1050.0,0.8817538949229846,303.3707732751816,7.00011854929894e-08,1.79533259689292e-05,0.7499400992046031,0.0012084981111630873,18.594216411858458,0.051035467761537945
E0142,D0087,lower_failure,1050,23.666666666666668,1050.0,0.8818378809722747,303.3923206870855,6.994995055790837e-08,1.796472995546336e-05,0.7499400506722734,0.001208412281678256,18.58038730004676,0.051071512768167356
E0142,D0087,lower_failure,1050,24.0,1050.0,0.8819218055509245,303.4138817855923,6.989875322212796e-08,1.7976140005607495e-05,0.7499400024534658,0.0012083264098780313,18.566568449195263,0.051107581924572376
E0142,D0087,lower_failure,1050,24.333333333333332,1050.0,0.882005668704045,303.43545657797864,6.984759345809811e-08,1.798755612105545e-05,0.749939954520113,0.0012082404957540786,18.552759851776358,0.051143675244860666
E0142,D0087,lower_failure,1050,24.666666666666668,1050.0,0.8820894704767139,303.45704507152357,6.979647123828822e-08,1.799897830349946e-05,0.749939906846439,0.0012081545392980764,18.538961500267945,0.05117979274314485
E0142,D0087,lower_failure,1050,25.0,1050.0,0.8821732109139763,303.47864727350793,6.974538653518965e-08,1.8010406554630194e-05,0.7499398594087703,0.0012080685405017172,18.52517338715343,0.051215934433542554
E0142,D0087,lower_failure,1050,25.333333333333332,1050.0,0.8822568900608436,303.5002631912146,6.969433932131126e-08,1.8021840876136688e-05,0.7499398121853634,0.0012079824993567083,18.511395504921754,0.05125210033017627
E0142,D0087,lower_failure,1050,25.666666666666668,1050.0,0.882340507962295,303.5218928319285,6.96433295691847e-08,1.8033281269706414e-05,0.7499397651562457,0.0012078964158547705,18.497627846067317,0.05128829044717358
E0142,D0087,lower_failure,1050,26.0,1050.0,0.8824240646632762,303.54353620293676,6.959235725136026e-08,1.8044727737025208e-05,0.7499397183030699,0.0012078102899876382,18.483870403090055,0.051324504798666924
E0142,D0087,lower_failure,1050,26.333333333333332,1050.0,0.8825075602087,303.5651933115283,6.95414223404085e-08,1.805618027977732e-05,0.7499396716089807,0.0012077241217470606,18.470123168495384,0.05136074339879372
E0142,D0087,lower_failure,1050,26.666666666666668,1050.0,0.8825909946434466,303.5868641649941,6.949052480892139e-08,1.8067638899645372e-05,0.7499396250584923,0.0012076379111248007,18.456386134794215,0.05139700626169633
E0142,D0087,lower_failure,1050,27.0,1050.0,0.8826743680123631,303.60854877062735,6.943966462950974e-08,1.8079103598310402e-05,0.7499395786373764,0.001207551658112636,18.442659294502924,0.05143329340152212
E0142,D0087,lower_failure,1050,27.333333333333332,1050.0,0.8827576803602637,303.6302471357229,6.938884177480481e-08,1.80905743774518e-05,0.7499395323325585,0.0012074653627023575,18.428942640143404,0.0514696048324233
E0142,D0087,lower_failure,1050,27.666666666666668,1050.0,0.88284093173193,303.65195926757804,6.933805621745861e-08,1.8102051238747356e-05,0.7499394861320241,0.0012073790248857707,18.41523616424299,0.0515059405685571
E0142,D0087,lower_failure,1050,28.0,1050.0,0.8829241221721106,303.6736851734918,6.928730793014203e-08,1.8113534183873223e-05,0.7499394400247316,0.0012072926446546953,18.401539859334516,0.05154230062408565
E0142,D0087,lower_failure,1050,28.333333333333332,1050.0,0.8830072517255212,303.6954248607651,6.923659688554735e-08,1.812502321450393e-05,0.7499393940005324,0.0012072062220009649,18.387853717956293,0.05157868501317595
E0142,D0087,lower_failure,1050,28.666666666666668,1050.0,0.883090320436845,303.71717833670124,6.918592305638647e-08,1.8136518332312395e-05,0.7499393480500991,0.0012071197569164275,18.374177732652072,0.05161509375000004
E0142,D0087,lower_failure,1050,29.0,1050.0,0.8831733283507323,303.73894560860526,6.913528641539082e-08,1.8148019538969865e-05,0.7499393021648569,0.0012070332493929463,18.36051189597109,0.05165152684873479
E0142,D0087,lower_failure,1050,29.333333333333332,1050.0,0.8832562755118006,303.76072668378436,6.908468693531239e-08,1.8159526836145974e-05,0.7499392563369234,0.0012069466994223965,18.346856200468032,0.051687984323562
E0142,D0087,lower_failure,1050,29.666666666666668,1050.0,0.8833391619646351,303.78252156954755,6.9034124588923e-08,1.817104022550873e-05,0.7499392105590512,0.001206860106996669,18.333210638703026,0.05172446618866846
E0142,D0087,lower_failure,1050,30.0,1050.0,0.8834219877537879,303.80433027320606,6.898359934901527e-08,1.818255970872447e-05,0.7499391648245771,0.00120677347210767,18.319575203241673,0.05176097245824576
E0142,D0087,lower_failure,1050,30.333333333333332,1050.0,0.8835047529237786,303.8261528020729,6.893311118840095e-08,1.8194085287457915e-05,0.7499391191273738,0.0012066867947473177,18.305949886654997,0.051797503146490495
E0142,D0087,lower_failure,1050,30.666666666666668,1050.0,0.8835874575190943,303.8479891634633,6.888266007991109e-08,1.820561696337211e-05,0.7499390734618064,0.0012066000749075465,18.292334681519474,0.05183405826760411
E0142,D0087,lower_failure,1050,31.0,1050.0,0.8836701015841892,303.8698393646943,6.88322459963989e-08,1.821715473812845e-05,0.7499390278226926,0.0012065133125803039,18.278729580417036,0.05187063783579292
E0142,D0087,lower_failure,1050,31.333333333333332,1050.0,0.8837526851634854,303.89170341308505,6.878186891073582e-08,1.822869861338669e-05,0.7499389822052658,0.0012064265077575528,18.265134575935022,0.05190724186526818
E0142,D0087,lower_failure,1050,31.666666666666668,1050.0,0.8838352083013721,303.9135813159566,6.873152879581329e-08,1.824024859080493e-05,0.7499389366051411,0.0012063396604312696,18.251549660666193,0.0519438703702461
E0142,D0087,lower_failure,1050,32.0,1050.0,0.8839176710422059,303.9354730806321,6.868122562454372e-08,1.825180467203957e-05,0.7499388910182848,0.0012062527705934457,18.237974827208777,0.05198052336494762
E0142,D0087,lower_failure,1050,32.333333333333336,1050.0,0.8840000734303112,303.95737871443663,6.863095936985783e-08,1.826336685874539e-05,0.7499388454409855,0.0012061658382360868,18.224410068166396,0.05201720086359867
E0142,D0087,lower_failure,1050,32.666666666666664,1050.0,0.8840824155099798,303.9792982246971,6.858073000470864e-08,1.8274935152575485e-05,0.7499387998698283,0.001206078863351213,18.21085537614807,0.05205390288043009
E0142,D0087,lower_failure,1050,33.0,1050.0,0.884164697325471,304.0012316187428,6.853053750206632e-08,1.8286509555181257e-05,0.7499387543016701,0.0012059918459308586,18.19731074376829,0.05209062942967747
E0142,D0087,lower_failure,1050,33.333333333333336,1050.0,0.8842469189210116,304.0231789039046,6.848038183492304e-08,1.8298090068212454e-05,0.7499387087336187,0.0012059047859670727,18.183776163646915,0.05212738052558136
E0142,D0087,lower_failure,1050,33.666666666666664,1050.0,0.8843290803407963,304.0451400875155,6.843026297628955e-08,1.8309676693317158e-05,0.7499386631630116,0.001205817683451919,18.170251628409197,0.052164156182387206
