material_id,rate_C_min,ablation,n_points
E0021,1,full,2211
E0021,20,full,2092
E0021,50,full,2069
E0021,100,exchange_limited_variant,1789
E0021,100,full,2041
E0021,100,no_PR_redistribution,2041
E0021,100,no_growth_before_activation,1943
E0021,100,no_nucleation_limitation,1789
E0021,100,transport_only,1789
E0142,1,full,2003
E0142,20,full,1896
E0142,50,full,1893
E0142,100,exchange_limited_variant,1889
E0142,100,full,1892
E0142,100,no_PR_redistribution,1892
E0142,100,no_growth_before_activation,1892
E0142,100,no_nucleation_limitation,1889
E0142,100,transport_only,1889
