figure_id,filename_pdf,filename_png,category,candidate_id,source_tables,rerun_required,purpose,status
F01,fast_firing/E0021_time_histories.pdf,fast_firing/E0021_time_histories.png,fast_firing,E0021,dense_fast_histories.csv,True,Dense fast-firing histories,generated
F02,fast_firing/E0021_kinetic_times.pdf,fast_firing/E0021_kinetic_times.png,fast_firing,E0021,dense_fast_histories.csv,True,Serial kinetics,generated
F03,fast_firing/E0021_ablation_comparison.pdf,fast_firing/E0021_ablation_comparison.png,ablation,E0021,dense_ablation_histories.csv,True,Fully labeled fast ablations,generated
F04,fast_firing/E0142_time_histories.pdf,fast_firing/E0142_time_histories.png,fast_firing,E0142,dense_fast_histories.csv,True,Dense fast-firing histories,generated
F05,fast_firing/E0142_kinetic_times.pdf,fast_firing/E0142_kinetic_times.png,fast_firing,E0142,dense_fast_histories.csv,True,Serial kinetics,generated
F06,fast_firing/E0142_ablation_comparison.pdf,fast_firing/E0142_ablation_comparison.png,ablation,E0142,dense_ablation_histories.csv,True,Fully labeled fast ablations,generated
F07,robustness/fast_firing_ratio_heatmap_by_rho0_G0.pdf,robustness/fast_firing_ratio_heatmap_by_rho0_G0.png,robustness,both,fast_firing_initial_condition_robustness.csv,True,Initial-state robustness,generated
F08,robustness/fast_firing_max_ratio_heatmap_by_rho0_G0.pdf,robustness/fast_firing_max_ratio_heatmap_by_rho0_G0.png,robustness,both,fast_firing_initial_condition_robustness.csv,True,Maximum ratio robustness,generated
F09,two_step/E0142_TierB_two_step_time_histories.pdf,two_step/E0142_TierB_two_step_time_histories.png,two_step,E0142,dense_two_step_histories.csv,True,Continuous physical time triplet,generated
F10,two_step/E0142_TierB_two_step_topology_histories.pdf,two_step/E0142_TierB_two_step_topology_histories.png,two_step,E0142,dense_two_step_histories.csv,True,Available topology histories,generated
F11,two_step/E0142_TierB_two_step_microstructure_histories.pdf,two_step/E0142_TierB_two_step_microstructure_histories.png,two_step,E0142,dense_two_step_histories.csv,True,Available pore histories,generated
F12,chen_maps/E0142_TierB_Chen_classification_map_v2.pdf,chen_maps/E0142_TierB_Chen_classification_map_v2.png,chen_map,E0142,E0142_TierB_Chen_classification_points_v2.csv,True,Distinct failure classes,generated
F13,chen_maps/E0142_TierB_Chen_filled_window_map_v2.pdf,chen_maps/E0142_TierB_Chen_filled_window_map_v2.png,chen_map,E0142,E0142_TierB_Chen_window_boundaries_v2.csv,True,Filled finite windows only,generated
F14,chen_maps/E0142_TierB_window_width_map_v2.pdf,chen_maps/E0142_TierB_window_width_map_v2.png,chen_map,E0142,E0142_TierB_Chen_window_boundaries_v2.csv,True,q0/q1 widths,generated
F15,chen_maps/E0142_TierB_q0_q1_comparison_v2.pdf,chen_maps/E0142_TierB_q0_q1_comparison_v2.png,chen_map,E0142,E0142_TierB_Chen_window_boundaries_v2.csv,True,q0 and q1 both Tier B,generated
F16,comparison/E0021_vs_E0142_fast_firing_comparison.pdf,comparison/E0021_vs_E0142_fast_firing_comparison.png,comparison,both,dense_fast_histories.csv,True,Material comparison,generated
F17,ablations/fast_firing_ablation_matrix_v2.pdf,ablations/fast_firing_ablation_matrix_v2.png,ablation,both,dense_ablation_histories.csv,True,Separated fast ablations,generated
F18,ablations/two_step_topology_ablation_matrix_v2.pdf,ablations/two_step_topology_ablation_matrix_v2.png,ablation,E0142,dense_two_step_histories.csv,True,Representative topology-controlled triplet,generated
