case_id,modified_parameter,parameter_value,final_rho_5,final_rho_50,fast_smaller_grain_sign,fast_smaller_D90_sign,strict_Chen_window,boundary_gap_C,lower_boundary_present,upper_boundary_present,barrier_mode,barrier_extrapolated,fast_density_attained,relaxed_Chen_window,failure_category,pathway_consistent,accepted_for_future_calibration,reason
pore_D50_nm_10,pore_D50_nm,10.0,0.9995608557066276,0.9907006944973584,False,True,False,-200.0,True,True,nearest_slice_clamp,True,True,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_D50_nm_15,pore_D50_nm,15.0,0.9994301494641866,0.9878126303568211,False,True,False,-200.0,True,True,nearest_slice_clamp,True,True,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_D50_nm_25,pore_D50_nm,25.0,0.9950402462202862,0.9592147276304916,False,False,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_D50_nm_40,pore_D50_nm,40.0,0.9691855250746035,0.8855569672821058,False,True,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_D50_nm_60,pore_D50_nm,60.0,0.9256066744756104,0.8007115961747533,False,True,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_log_width_0.45,pore_log_width,0.45,0.9988924906284533,0.9809845721026834,False,False,False,,True,False,nearest_slice_clamp,True,True,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_log_width_0.65,pore_log_width,0.65,0.9950402462202862,0.9592147276304916,False,False,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
pore_log_width_0.85,pore_log_width,0.85,0.9911417669258124,0.9426980885369056,False,True,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
tau_remove_scale_0.1,tau_remove_scale,0.1,0.9967371933285527,0.960535984598376,False,False,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
tau_remove_scale_0.3,tau_remove_scale,0.3,0.9963149379535594,0.9602348910623852,False,False,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
tau_remove_scale_1,tau_remove_scale,1.0,0.9950402462202862,0.9592147276304916,False,False,False,,True,False,nearest_slice_clamp,True,False,False,growth_or_ordering,False,False,fails one or more physical pathway gates
