case_id,modified_parameter,parameter_value,HMS_density_miss,fast_G_sign_fraction,fast_D90_sign_fraction
pore_D50_nm_10,pore_D50_nm,10.0,0.010700694497358443,0.16,0.84
pore_D50_nm_15,pore_D50_nm,15.0,0.007812630356821115,0.2,0.72
pore_D50_nm_25,pore_D50_nm,25.0,-0.020785272369508334,0.4,0.36
pore_D50_nm_40,pore_D50_nm,40.0,-0.09444303271789423,0.24,0.68
pore_D50_nm_60,pore_D50_nm,60.0,-0.1792884038252467,0.4,0.96
pore_log_width_0.45,pore_log_width,0.45,0.0009845721026834342,0.4,0.2
pore_log_width_0.65,pore_log_width,0.65,-0.020785272369508334,0.4,0.36
pore_log_width_0.85,pore_log_width,0.85,-0.03730191146309436,0.36,0.64
tau_remove_scale_0.1,tau_remove_scale,0.1,-0.019464015401624013,0.4,0.32
tau_remove_scale_0.3,tau_remove_scale,0.3,-0.01976510893761474,0.4,0.32
tau_remove_scale_1,tau_remove_scale,1.0,-0.020785272369508334,0.4,0.36
tau_remove_scale_3,tau_remove_scale,3.0,-0.023454127948493553,0.36,0.32
tau_remove_scale_10,tau_remove_scale,10.0,-0.03328628096403152,0.36,0.56
PR_scale_0.1,PR_scale,0.1,-0.020784455275295488,0.4,0.36
PR_scale_0.3,PR_scale,0.3,-0.020784636897221875,0.4,0.36
PR_scale_1,PR_scale,1.0,-0.020785272369508334,0.4,0.36
PR_scale_3,PR_scale,3.0,-0.02078708622015102,0.4,0.36
PR_scale_10,PR_scale,10.0,-0.020793413835950014,0.4,0.32
rho_close_mid_0.84,rho_close_mid,0.84,-0.020786135267783723,0.4,0.36
rho_close_mid_0.87,rho_close_mid,0.87,-0.020785648207500618,0.4,0.36
rho_close_mid_0.9,rho_close_mid,0.9,-0.020785272369508334,0.4,0.36
rho_close_mid_0.93,rho_close_mid,0.93,-0.02078500308463438,0.4,0.36
rho_close_width_0.015,rho_close_width,0.015,-0.02078514109573515,0.4,0.36
rho_close_width_0.03,rho_close_width,0.03,-0.020785272369508334,0.4,0.36
rho_close_width_0.06,rho_close_width,0.06,-0.020785765498895326,0.4,0.36
closed_shrinkage_prefactor_0.1,closed_shrinkage_prefactor,0.1,-0.020785273605063215,0.4,0.36
closed_shrinkage_prefactor_0.3,closed_shrinkage_prefactor,0.3,-0.02078527332713198,0.4,0.36
closed_shrinkage_prefactor_1,closed_shrinkage_prefactor,1.0,-0.020785272369508334,0.4,0.36
closed_shrinkage_prefactor_3,closed_shrinkage_prefactor,3.0,-0.0207852697484594,0.4,0.36
closed_shrinkage_prefactor_10,closed_shrinkage_prefactor,10.0,-0.020785261520567366,0.4,0.36
closed_accommodation_capacity_0.3,closed_accommodation_capacity,0.3,-0.02078527332713198,0.4,0.36
closed_accommodation_capacity_1,closed_accommodation_capacity,1.0,-0.020785272369508334,0.4,0.36
closed_accommodation_capacity_3,closed_accommodation_capacity,3.0,-0.0207852697484594,0.4,0.36
zener_strength_0.1,zener_strength,0.1,-0.02191132238943838,0.8,0.36
zener_strength_0.3,zener_strength,0.3,-0.02191132238946336,0.8,0.36
zener_strength_1,zener_strength,1.0,-0.020785272369508334,0.4,0.36
zener_strength_3,zener_strength,3.0,-0.014101954762687718,0.12,0.52
zener_strength_10,zener_strength,10.0,-0.005573678855150477,0.4,0.72
mobile_drag_scale_0.1,mobile_drag_scale,0.1,-0.02078523700343915,0.4,0.36
mobile_drag_scale_0.3,mobile_drag_scale,0.3,-0.020785244863372188,0.4,0.36
mobile_drag_scale_1,mobile_drag_scale,1.0,-0.020785272369508334,0.4,0.36
mobile_drag_scale_3,mobile_drag_scale,3.0,-0.020785350931310065,0.4,0.36
mobile_drag_scale_10,mobile_drag_scale,10.0,-0.020785625569268107,0.4,0.36
