case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,final_rho_5,final_G_um_5,final_rho_50,final_G_um_50,HMS_density_miss,joint_rho_min,joint_rho_max,fast_smaller_G_fraction,fast_smaller_D90_fraction,span_ratio_ge_1p2,span_ratio_ge_1p5,barrier_mode,barrier_extrapolated
primary_018,0.62,35,25,0.45,0.0,0.0,primary_common_state,0.9987899020811305,2.190176038104035,0.9794921418280749,0.683834306966677,-0.000507858171925113,0.6200356447398778,0.9794921418280749,0.48,0.2,0.0,0.0,nearest_slice_clamp,True
primary_063,0.62,50,25,0.45,0.0,0.0,primary_common_state,0.9987898209698497,2.1900081043273554,0.9794597920580818,0.6832171936629594,-0.0005402079419182249,0.6200249483778427,0.9794597920580818,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_153,0.66,35,25,0.45,0.0,0.0,primary_common_state,0.9988925648671663,2.191073938194154,0.9810297948251769,0.6863313892329235,0.001029794825176955,0.6600318926619959,0.9810297948251769,0.48,0.2,0.0,0.0,nearest_slice_clamp,True
primary_108,0.62,75,25,0.45,0.0,0.0,primary_common_state,0.9987897246703984,2.1896904696380095,0.9793862256274447,0.681860681683585,-0.0006137743725552758,0.6200166274498092,0.9793862256274447,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_198,0.66,50,25,0.45,0.0,0.0,primary_common_state,0.9988925199720059,2.190833707989781,0.9809845721026834,0.6854803454179739,0.0009845721026834342,0.6600223222328067,0.9809845721026834,0.4,0.16,0.0,0.0,nearest_slice_clamp,True
primary_243,0.66,75,25,0.45,0.0,0.0,primary_common_state,0.9988923831399025,2.1905687102588542,0.9809285368245729,0.6843417760951933,0.0009285368245729453,0.6600148771919345,0.9809285368245729,0.2,0.08,0.0,0.0,nearest_slice_clamp,True
primary_288,0.7,35,25,0.45,0.0,0.0,primary_common_state,0.99899577883661,2.1922415537481283,0.982608350640529,0.6895490178859347,0.0026083506405290002,0.700028140584114,0.982608350640529,0.52,0.2,0.0,0.0,nearest_slice_clamp,True
primary_333,0.7,50,25,0.45,0.0,0.0,primary_common_state,0.9989956134569556,2.1919050398320183,0.9825281834980618,0.6883958913036585,0.002528183498061831,0.7000196960877705,0.9825281834980618,0.44,0.36,0.0,0.0,nearest_slice_clamp,True
primary_378,0.7,75,25,0.45,0.0,0.0,primary_common_state,0.9989954605810601,2.191589534992168,0.9824646283683104,0.6872228500675686,0.0024646283683104064,0.7000131269340598,0.9824646283683104,0.4,0.12,0.0,0.0,nearest_slice_clamp,True
primary_271,0.7,35,10,0.45,0.05,0.0,primary_common_state,0.9869891540576943,2.1865987828669007,0.9774547868642303,0.6741266366306778,-0.0025452131357697194,0.7000267335549083,0.9774547868642303,0.24,0.36,0.0,0.0,nearest_slice_clamp,True
primary_316,0.7,50,10,0.45,0.05,0.0,primary_common_state,0.9869888204251098,2.186332429216135,0.9774299193795689,0.6729757229634066,-0.00257008062043107,0.700018711283382,0.9774299193795689,0.2,0.4,0.0,0.0,nearest_slice_clamp,True
primary_274,0.7,35,10,0.65,0.05,0.0,primary_common_state,0.9876417406383138,2.188615245920846,0.9765879701724067,0.678886806379545,-0.003412029827593255,0.7000267335549082,0.9765879701724067,0.28,0.64,0.0,0.0,nearest_slice_clamp,True
primary_319,0.7,50,10,0.65,0.05,0.0,primary_common_state,0.9876415725387755,2.1883210429879183,0.9765653682166885,0.6778794236874248,-0.0034346317833114925,0.700018711283382,0.9765653682166885,0.16,0.68,0.0,0.0,nearest_slice_clamp,True
primary_361,0.7,75,10,0.45,0.05,0.0,primary_common_state,0.9869871823711331,2.185184647441966,0.9773480923483989,0.6694278136017391,-0.00265190765160106,0.7000124705873567,0.9773480923483989,0.32,0.2,0.0,0.0,nearest_slice_clamp,True
primary_277,0.7,35,10,0.85,0.05,0.0,primary_common_state,0.9879265566621739,2.189742874718006,0.9760128236475065,0.6815138053160891,-0.00398717635249346,0.7000267335549084,0.9760128236475065,0.2,0.2,0.0,0.0,nearest_slice_clamp,True
primary_322,0.7,50,10,0.85,0.05,0.0,primary_common_state,0.9879264900569026,2.18946294018343,0.9759922708292572,0.6806102750336929,-0.004007729170742769,0.700018711283382,0.9759922708292572,0.16,0.28,0.0,0.0,nearest_slice_clamp,True
primary_364,0.7,75,10,0.65,0.05,0.0,primary_common_state,0.9876404292780722,2.1872508558492036,0.9764862927552561,0.6746469344582962,-0.003513707244743869,0.7000124705873568,0.9764862927552561,0.32,0.48,0.0,0.0,nearest_slice_clamp,True
primary_367,0.7,75,10,0.85,0.05,0.0,primary_common_state,0.9879258775351482,2.188436663480517,0.9759149221084927,0.6775622725980396,-0.004085077891507249,0.7000124705873569,0.9759149221084927,0.24,0.0,0.0,0.0,nearest_slice_clamp,True
primary_280,0.7,35,15,0.45,0.05,0.0,primary_common_state,0.9851270963801145,2.1886820414040513,0.9746478416818104,0.6797384773164048,-0.0053521583181895815,0.7000267335549083,0.9746478416818104,0.48,0.32,0.0,0.0,nearest_slice_clamp,True
primary_325,0.7,50,15,0.45,0.05,0.0,primary_common_state,0.9851271605506136,2.1885736165904572,0.9746375030567556,0.6793156279983389,-0.005362496943244421,0.7000187112833819,0.9746375030567556,0.28,0.32,0.0,0.0,nearest_slice_clamp,True
