case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,phi_open_total,phi_iso_total,phi_closed_total,pore_arrays_equal_across_paths
primary_000,0.62,35,10,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_001,0.62,35,10,0.45,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_002,0.62,35,10,0.45,0.1,0.0,primary_common_state,0.342,0.038,0.0,True
primary_003,0.62,35,10,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_004,0.62,35,10,0.65,0.05,0.0,primary_common_state,0.361,0.019,0.0,True
primary_005,0.62,35,10,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_006,0.62,35,10,0.85,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_007,0.62,35,10,0.85,0.05,0.0,primary_common_state,0.361,0.018999999999999996,0.0,True
primary_008,0.62,35,10,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_009,0.62,35,15,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_010,0.62,35,15,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_011,0.62,35,15,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_012,0.62,35,15,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_013,0.62,35,15,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_014,0.62,35,15,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_015,0.62,35,15,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_016,0.62,35,15,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_017,0.62,35,15,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_018,0.62,35,25,0.45,0.0,0.0,primary_common_state,0.37999999999999984,0.0,0.0,True
primary_019,0.62,35,25,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.018999999999999996,0.0,True
primary_020,0.62,35,25,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.03799999999999999,0.0,True
primary_021,0.62,35,25,0.65,0.0,0.0,primary_common_state,0.3800000000000001,0.0,0.0,True
primary_022,0.62,35,25,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_023,0.62,35,25,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038000000000000006,0.0,True
primary_024,0.62,35,25,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_025,0.62,35,25,0.85,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_026,0.62,35,25,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_027,0.62,35,40,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_028,0.62,35,40,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_029,0.62,35,40,0.45,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_030,0.62,35,40,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_031,0.62,35,40,0.65,0.05,0.0,primary_common_state,0.361,0.019000000000000003,0.0,True
primary_032,0.62,35,40,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_033,0.62,35,40,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_034,0.62,35,40,0.85,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_035,0.62,35,40,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
primary_036,0.62,35,60,0.45,0.0,0.0,primary_common_state,0.3799999999999999,0.0,0.0,True
primary_037,0.62,35,60,0.45,0.05,0.0,primary_common_state,0.36099999999999993,0.019,0.0,True
primary_038,0.62,35,60,0.45,0.1,0.0,primary_common_state,0.3419999999999999,0.038,0.0,True
primary_039,0.62,35,60,0.65,0.0,0.0,primary_common_state,0.38,0.0,0.0,True
primary_040,0.62,35,60,0.65,0.05,0.0,primary_common_state,0.36100000000000004,0.019000000000000003,0.0,True
primary_041,0.62,35,60,0.65,0.1,0.0,primary_common_state,0.342,0.038000000000000006,0.0,True
primary_042,0.62,35,60,0.85,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_043,0.62,35,60,0.85,0.05,0.0,primary_common_state,0.3609999999999999,0.018999999999999996,0.0,True
primary_044,0.62,35,60,0.85,0.1,0.0,primary_common_state,0.34199999999999997,0.03799999999999999,0.0,True
primary_045,0.62,50,10,0.45,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_046,0.62,50,10,0.45,0.05,0.0,primary_common_state,0.36100000000000004,0.019,0.0,True
primary_047,0.62,50,10,0.45,0.1,0.0,primary_common_state,0.342,0.038,0.0,True
primary_048,0.62,50,10,0.65,0.0,0.0,primary_common_state,0.37999999999999995,0.0,0.0,True
primary_049,0.62,50,10,0.65,0.05,0.0,primary_common_state,0.361,0.019,0.0,True
primary_050,0.62,50,10,0.65,0.1,0.0,primary_common_state,0.34199999999999997,0.038,0.0,True
