state_id,source,T_C,log10_kclosed_app_over_kgrowth,log10_kPR_over_kgrowth,log10_knuc_over_ktransport,inside_reduced_kclosed_app_coordinate,inside_log10_kPR_over_kgrowth,inside_log10_knuc_over_ktransport,inside_prefactor_envelope,mapping_status,closed_rate_classification
PDF_conditioned_nominal,representative_state,900.0,,-4.619163731803561,-3.9518275878275455,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1000.0,,-4.07809461886654,-3.704154919106888,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1100.0,,-3.615929862517312,-3.4900691395096315,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1200.0,,-3.2166318559460505,-3.3028995555963987,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1300.0,,-2.8682439822016317,-3.137650056591096,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1400.0,,-2.5616704549942573,-2.990502562566247,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
PDF_conditioned_nominal,representative_state,1500.0,,-2.289869100542063,-2.8584876188055617,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,900.0,,-3.8243709000881423,-3.1559475704834705,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1000.0,,-3.28414277446184,-2.9082749017628124,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1100.0,,-2.823219073320805,-2.6941891221655565,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1200.0,,-2.4256555005352727,-2.5070195382523233,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1300.0,,-2.0795910800773223,-2.341770039247021,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1400.0,,-1.7760286316081753,-2.194622545222172,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
T1_switch_like,representative_state,1500.0,,-1.50802947307886,-2.0626076014614863,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,900.0,0.7334705524978912,-3.881658491357501,-3.21339587300726,True,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1000.0,-0.2160371908232811,-3.3413055725813,-2.9657232042866024,True,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1100.0,-1.0249534074633633,-2.8801969528846576,-2.751637424689346,True,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1200.0,-1.7221377534823132,-2.482373426861209,-2.5644678407761132,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1300.0,-2.3290954943637754,-2.135957988492611,-2.3992183417708106,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1400.0,-2.862177521692417,-1.831935891879679,-2.2520708477459617,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1500.0,-3.334035117543975,-1.5633486763142648,-2.120055903985276,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,900.0,-0.2292013073977226,-5.293427570850854,-3.575827367724099,True,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1000.0,-1.1785315420916165,-4.752577872159837,-3.3281546990034414,True,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1100.0,-1.987187878844644,-4.290735751529247,-3.114068919406185,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1200.0,-2.70857287898712,-3.8917647702210294,-2.9515025691841785,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1300.0,-3.362977490974983,-3.543595792180782,-2.8343079800730218,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1400.0,-3.928837991830582,-3.2372961283726265,-2.720713979715563,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1500.0,-4.42156645756115,-2.9658512973681574,-2.61051905261196,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,950.0,,-4.3375302373626,-3.823292021874388,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
history_50C,existing_history,1000.0,-295.4385984473569,-4.077980447001517,-3.704121813327118,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1050.0,-8.785049332031942,-3.8378284143976713,-3.593182981426377,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1100.0,-8.144599153868578,-3.614471584065355,-3.4891782970922156,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1195.3949665996456,-6.794439029689388,-3.248922222278362,-3.298762676480855,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1256.87923764167,-6.085257867702005,-3.2121228293908937,-3.1337455269749444,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1310.4560230759355,-5.943203203308015,-3.4000449183642716,-2.957760517811799,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1362.1487351748456,-5.839303775622713,-3.4290472998499872,-2.728371541306917,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1413.3812777995176,-5.466446387851085,-3.25823593817294,-2.365717607916066,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1463.645884967751,-4.916712920475268,-2.981445442580249,-1.9262598383887992,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,1499.2847729572436,-4.463955685221053,-2.7694478522978994,-1.5848651732011485,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,950.0,,-4.337501747516869,-3.823292021874388,False,False,False,False,mapping_unidentified,apparent_proxy_not_physical_property
history_5C,existing_history,960.0,-294.89930646134593,-4.283964537800804,-3.7986821589640143,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,970.0,-7.49481019677589,-4.231310833089222,-3.7744132706984024,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,980.0,-7.033958694775842,-4.179529401277992,-3.750467605682603,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,990.0,-6.743236037323893,-4.128613578111788,-3.726824606463049,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1000.0,-6.525876400827562,-4.0785627464097995,-3.703459956322252,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1010.0,-6.348674266052446,-4.029384360256716,-3.68034436590531,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1020.0,-6.196120799918398,-3.9810967068854977,-3.657442038037357,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1030.0,-6.059784872154005,-3.9337326720242967,-3.63470873913633,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1040.0,-5.934660486383189,-3.8873448800762103,-3.612089396772819,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1050.0,-5.8176125883405545,-3.842012735674768,-3.5895151375308134,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1060.0,-5.706618929489464,-3.797852124055918,-3.566899681465798,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1070.0,-5.60036453077433,-3.755028873237314,-3.544135025949227,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1080.0,-5.4980120077171435,-3.7137775954322474,-3.521086393447666,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1090.0,-5.399069162075687,-3.674428272690434,-3.4975865015225707,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1100.0,-5.303316263043099,-3.6374439717405807,-3.473429362922064,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1110.0,-5.210774490255437,-3.6034742471524384,-3.4483640690935227,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1120.0,-5.121706578434249,-3.5734294050285333,-3.422089379307912,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1138.0323413358442,-4.92553099957638,-3.5383656809625452,-3.370275064438927,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1150.5476762900016,-4.812809454107057,-3.531759220114102,-3.329416576538266,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1164.569343730111,-4.709152233395751,-3.546516482060611,-3.2775261316480555,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1175.5365622033603,-4.645555958892518,-3.573607793442926,-3.2316129185435143,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1187.4673955483076,-4.592721023486375,-3.611939559546942,-3.1756138162334464,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1199.7631336918143,-4.5521547934034725,-3.65686844291833,-3.1106497531458306,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1210.2236253335254,-4.524890009645167,-3.697515647483459,-3.049192314046925,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1221.194255472422,-4.51646294340783,-3.736635636779413,-2.9967274136015316,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1232.573945607921,-4.5091387907249185,-3.758984252018291,-2.945081575073644,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1242.8796909680036,-4.484347844843223,-3.761762247745801,-2.888261100020491,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1253.7087313255488,-4.437873848505952,-3.749017362538259,-2.818856524296846,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1263.7882235115271,-4.376529024021213,-3.7244097469465296,-2.746046854396119,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1274.4581404639152,-4.294372043874609,-3.6864137320281474,-2.661270489522516,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1284.5886190368235,-4.2019539147144735,-3.640649051647753,-2.57436466012785,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1295.3606904862254,-4.090442944244397,-3.583605955500719,-2.4760580308085114,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
history_5C,existing_history,1305.7375863201437,-3.972040686601795,-3.5221482902828787,-2.3764430882156464,False,False,False,False,apparent_proxy_only,apparent_proxy_not_physical_property
