config_id,law,m,prefactor_factor,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,initial_closed_fraction,initial_A_closed,initial_PR_memory,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,classification,strict_success,candidate_state_injected,diagnostic_only,inventory_bounded_integral
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.88381846609321,0.117029872951906,5.798947706431618e-06,0.0037849383892808,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8850095053737896,0.1170722751716866,1.4812327711301583e-05,0.0049585042951418,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8864836694402318,0.1171687972841706,3.634038450213781e-05,0.0064005851918931,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8882894243079382,0.1173812662914847,8.574242141620314e-05,0.0081435921057396,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8904898491513595,0.1178341423829999,0.0001945839890552,0.0102176847333106,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8931783126193459,0.1187694600679709,0.0004240138233805,0.0126523370387765,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8964949075909313,0.1206397745839705,0.0008768405984796,0.0154811133046987,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9005585225769724,0.1242478404484743,0.001654213315436,0.0187144963726235,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9051301507578858,0.1308907854960659,0.0028285450231903,0.022023906099118,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9099232667972812,0.1424552857410118,0.004477684025058,0.0250329015796333,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1150,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9164206303850364,0.1618847861552176,0.0065837397679526,0.0291903439389399,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1175,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9253363083464948,0.193217846003505,0.0093376610527595,0.0353278238194394,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1200,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9371716088298228,0.2421791251409109,0.0124406415457211,0.0442807123292225,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1225,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9515274644672296,0.3172428839942591,0.0156334496199074,0.0557187855341175,MIXED_FAILURE,False,True,True,True
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,candidate_like_injected,1250,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9666593884891478,0.4316403827274991,0.0189818534112325,0.0680848708752151,MIXED_FAILURE,False,True,True,True
