config_id,law,m,prefactor_factor,low_T2_density_exhaustion_limited,intermediate_T2_attains_bounded_growth,high_T2_growth_limited,lower_boundary_disappears,universal_density_success,preservation_class
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,True,False,True,False,False,helps_density_preserves_lower_boundary
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,3,1.0,True,False,True,False,False,helps_density_preserves_lower_boundary
surface_diffusion_accommodation_only__m4__x1,surface_diffusion_accommodation_only,4,1.0,True,False,True,False,False,still_growth_limited
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,3,0.1,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x0p3,GB_diffusion_closed_shrinkage,3,0.3,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x1,GB_diffusion_closed_shrinkage,3,1.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x3,GB_diffusion_closed_shrinkage,3,3.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x10,GB_diffusion_closed_shrinkage,3,10.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,3,100.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,4,0.03,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,4,0.1,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,4,0.3,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,4,1.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x3,GB_diffusion_closed_shrinkage,4,3.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x10,GB_diffusion_closed_shrinkage,4,10.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x30,GB_diffusion_closed_shrinkage,4,30.0,False,True,True,True,True,universal_density_success
GB_diffusion_closed_shrinkage__m4__x100,GB_diffusion_closed_shrinkage,4,100.0,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x0p03,gas_accommodation_limited,3,0.03,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x0p1,gas_accommodation_limited,3,0.1,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x0p3,gas_accommodation_limited,3,0.3,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x1,gas_accommodation_limited,3,1.0,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x3,gas_accommodation_limited,3,3.0,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x10,gas_accommodation_limited,3,10.0,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x30,gas_accommodation_limited,3,30.0,False,True,True,True,True,universal_density_success
gas_accommodation_limited__m3__x100,gas_accommodation_limited,3,100.0,False,True,True,True,True,universal_density_success
empirical_closed_rate_scale__m4__x1,empirical_closed_rate_scale,4,1.0,True,False,True,False,False,helps_density_preserves_lower_boundary
empirical_closed_rate_scale__m4__x30,empirical_closed_rate_scale,4,30.0,True,False,True,False,False,helps_density_preserves_lower_boundary
empirical_closed_rate_scale__m4__x100,empirical_closed_rate_scale,4,100.0,True,False,True,False,False,helps_density_preserves_lower_boundary
empirical_closed_rate_scale__m4__x300,empirical_closed_rate_scale,4,300.0,True,False,True,False,False,helps_density_preserves_lower_boundary
