parameter,level,matched_rho,both_paths_attain_interval,fast_smaller_D90,fast_smaller_G,integration_complete,two_density_target,two_grain_target,two_finer_than_highT,chen_success_count
C_PR,0.1x,0.8875608820301022,True,False,True,True,False,False,True,0
C_PR,0.3x,0.8875607514488809,True,False,True,True,False,False,True,0
C_PR,1x,0.8875603381269556,True,False,True,True,False,False,True,0
C_PR,3x,0.8875591237132601,True,False,True,True,False,False,True,0
C_PR,10x,0.8875549022663309,True,False,True,True,False,False,True,0
tau_remove0,0.1x,0.9950955870770353,True,False,True,True,True,False,True,0
tau_remove0,0.3x,0.9684840265073579,True,False,True,True,True,False,True,0
tau_remove0,1x,0.8875603381269556,True,False,True,True,False,False,True,0
tau_remove0,3x,0.7710045210867196,True,False,True,True,False,False,True,0
tau_remove0,10x,0.627571017709527,True,False,True,True,False,False,True,0
rho_close_mid,0.84,0.8875602636037371,True,False,True,True,False,False,True,0
rho_close_mid,0.87,0.8875603108582646,True,False,True,True,False,False,True,0
rho_close_mid,0.9,0.8875603381269556,True,False,True,True,False,False,True,0
rho_close_mid,0.93,0.8875603519519323,True,False,True,True,False,False,True,0
rho_close_width,0.015,0.8875603562930845,True,False,True,True,False,False,True,0
rho_close_width,0.03,0.8875603381269556,True,False,True,True,False,False,True,0
rho_close_width,0.06,0.887560276706985,True,False,True,True,False,False,True,0
closed_shrinkage,0.1x,0.8875603381247265,True,False,True,True,False,False,True,0
closed_shrinkage,0.3x,0.8875603381252218,True,False,True,True,False,False,True,0
closed_shrinkage,1x,0.8875603381269556,True,False,True,True,False,False,True,0
closed_shrinkage,3x,0.8875603381319083,True,False,True,True,False,False,True,0
closed_shrinkage,10x,0.8875603381492336,True,False,True,True,False,False,True,0
A_closed_capacity,0.3x,0.8875603381252218,True,False,True,True,False,False,True,0
A_closed_capacity,1x,0.8875603381269556,True,False,True,True,False,False,True,0
A_closed_capacity,3x,0.8875603381269642,True,False,True,True,False,False,True,0
C_Z,0.1x,0.9322467810492086,True,True,True,True,False,True,True,0
C_Z,0.3x,0.9158296372175806,True,True,True,True,False,False,True,0
C_Z,1x,0.8875603381269556,True,False,True,True,False,False,True,0
C_Z,3x,0.8378793350903222,True,False,True,True,False,False,True,0
C_Z,10x,0.8378679704411666,True,False,True,True,False,False,True,0
C_pd,0.1x,0.8875604897122518,True,False,True,True,False,False,True,0
C_pd,0.3x,0.8875604554600858,True,False,True,True,False,False,True,0
C_pd,1x,0.8875603381269556,True,False,True,True,False,False,True,0
C_pd,3x,0.8875599960231526,True,False,True,True,False,False,True,0
C_pd,10x,0.8875587949152974,True,False,True,True,False,False,True,0
