family,D50_input_nm,sigma_ln_input,tail_weight,bin,radius_nm,phi_open,provenance
lognormal,24.5,0.45,0.0,0,3.0,3.862904356020798e-06,synthetic_forward_state
lognormal,24.5,0.45,0.0,1,4.157036494298019,7.621452682532414e-05,synthetic_forward_state
lognormal,24.5,0.45,0.0,2,5.760317471641877,0.0008891381979206,synthetic_forward_state
lognormal,24.5,0.45,0.0,3,7.981949982785926,0.0061335016564935,synthetic_forward_state
lognormal,24.5,0.45,0.0,4,11.06041912470084,0.0250181627714903,synthetic_forward_state
lognormal,24.5,0.45,0.0,5,15.326188647871078,0.0603406589825772,synthetic_forward_state
lognormal,24.5,0.45,0.0,6,21.237175175898688,0.086054263500159,synthetic_forward_state
lognormal,24.5,0.45,0.0,7,29.42790408067032,0.0725675470879982,synthetic_forward_state
lognormal,24.5,0.45,0.0,8,40.777623738016025,0.0361843022927274,synthetic_forward_state
lognormal,24.5,0.45,0.0,9,56.50469000989538,0.010668556724273,synthetic_forward_state
lognormal,24.5,0.45,0.0,10,78.29735282337724,0.0018599396234884,synthetic_forward_state
lognormal,24.5,0.45,0.0,11,108.49498436456926,0.0001917342639751,synthetic_forward_state
lognormal,24.5,0.45,0.0,12,150.33920315060243,1.1687142056111305e-05,synthetic_forward_state
lognormal,24.5,0.45,0.0,13,208.3218513402464,4.212351689391105e-07,synthetic_forward_state
lognormal,24.5,0.45,0.0,14,288.66717952704414,8.977359808710437e-09,synthetic_forward_state
lognormal,24.5,0.45,0.0,15,400.0,1.1313066724889879e-10,synthetic_forward_state
bimodal,24.5,0.45,0.1,0,3.0,3.476613922869073e-06,synthetic_forward_state
bimodal,24.5,0.45,0.1,1,4.157036494298019,6.859307460869261e-05,synthetic_forward_state
bimodal,24.5,0.45,0.1,2,5.760317471641877,0.0008002244305086,synthetic_forward_state
bimodal,24.5,0.45,0.1,3,7.981949982785926,0.0055201549729807,synthetic_forward_state
bimodal,24.5,0.45,0.1,4,11.06041912470084,0.0225164833722948,synthetic_forward_state
bimodal,24.5,0.45,0.1,5,15.326188647871078,0.0543097745622378,synthetic_forward_state
bimodal,24.5,0.45,0.1,6,21.237175175898688,0.0774925623729705,synthetic_forward_state
bimodal,24.5,0.45,0.1,7,29.42790408067032,0.0656661313642998,synthetic_forward_state
bimodal,24.5,0.45,0.1,8,40.777623738016025,0.0342733747356793,synthetic_forward_state
bimodal,24.5,0.45,0.1,9,56.50469000989538,0.0144533306246994,synthetic_forward_state
bimodal,24.5,0.45,0.1,10,78.29735282337724,0.0098251463393507,synthetic_forward_state
bimodal,24.5,0.45,0.1,11,108.49498436456926,0.0082702899456519,synthetic_forward_state
bimodal,24.5,0.45,0.1,12,150.33920315060243,0.0047672934501549,synthetic_forward_state
bimodal,24.5,0.45,0.1,13,208.3218513402464,0.0016526060040935,synthetic_forward_state
bimodal,24.5,0.45,0.1,14,288.66717952704414,0.0003393476222224,synthetic_forward_state
bimodal,24.5,0.45,0.1,15,400.0,4.121051432365692e-05,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,0,3.0,3.283468702617711e-06,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,1,4.157036494298019,6.47823478016213e-05,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,2,5.760317471641877,0.0007557674683502,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,3,7.981949982785926,0.0052134764686578,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,4,11.06041912470084,0.0212654514665069,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,5,15.326188647871078,0.0512907494344607,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,6,21.237175175898688,0.0731913865510361,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,7,29.42790408067032,0.0624051374831667,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,8,40.777623738016025,0.0355982469064178,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,9,56.50469000989538,0.0226760955748817,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,10,78.29735282337724,0.0176271940008106,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,11,108.49498436456926,0.0081015462437549,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,12,150.33920315060243,0.0016577000511073,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,13,208.3218513402464,0.0001438517520197,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,14,288.66717952704414,5.250322455310158e-06,synthetic_forward_state
discrete_bin,24.5,0.45,0.0,15,400.0,8.045986944651626e-08,synthetic_forward_state
