figure_id,panel_id,run_id,path_label,case_id,initial_state_id,schedule_id,path_type,physical_time_s,physical_time_h,T_C,rho,G_nm,G_um,phi_open_total,phi_iso_total,phi_closed_total,pore_D50_nm,pore_D90_nm,connected_fine_pore_fraction,large_pore_fraction,rho_dot_open,rho_dot_closed,rho_dot_total,cumulative_open_density_gain,cumulative_closed_density_gain,PR_memory,PR_work,A_closed_available,A_closed_used,A_closed_recovered,activity,Gstar_eV,sigma_eff,tau_nuc,tau_exchange,tau_transport,tau_cycle,Gamma_migration,G_dot_intrinsic,G_dot_actual,mechanism_mode,closed_law_mode,mobility_case,densification_rate,sigma_eff_MPa
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,300.0,0.08333333333333333,950.0000000000001,0.6501907097312396,15.029880727092733,0.015029880727092732,0.3498092902088165,5.994388277991973e-11,0.0,10.313728037103461,25.459227349920948,1.0,,6.356991041316489e-07,0.0,6.356991041316489e-07,0.0,0.0,0.0007806829212470071,1.561365842494014e-06,4.684097527482042e-05,,,2.0798312448767718e-05,,250000000.0,6578466.659807975,47.88834775538993,88.93550297429559,6578603.483658705,0.1040728160628496,9.57045532257722e-13,9.960242364242989e-14,defined_closed_laws_port,resolved_proxy_current,current_default,6.356991041316489e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,900.0,0.25,952.0000000000001,0.6505914138571522,15.092355120339088,0.015092355120339088,0.3494085122067132,1.9001338104262703e-08,5.49347963842135e-08,10.313728037103461,25.459227349920948,1.0,,6.787599858970685e-07,2.5070906611302963e-17,6.787599859221394e-07,0.00040725599153824114,1.5042543966781778e-14,0.0024410141008868345,4.886717008316141e-06,0.0002889141205373118,,,2.120663651860203e-05,,250000000.0,6129216.622567242,45.49398894498231,84.48883661211002,6129346.6053928,0.10386344967074722,1.0172556566598417e-12,1.0565568169777238e-13,defined_closed_laws_port,resolved_proxy_current,current_default,6.787599859221394e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,1500.0,0.4166666666666667,954.0000000000001,0.6510190876580959,15.15859523244795,0.01515859523244795,0.34898065742363943,6.530203736184317e-08,1.8961622737577092e-07,10.313728037103461,25.459227349920948,1.0,,7.243480263680671e-07,5.478148290568174e-16,7.243480269158819e-07,0.0008418648073590814,3.437314414008722e-13,0.004241318469892629,8.499499995712155e-06,0.0007425945763950868,,,2.1632045947781738e-05,,250000000.0,5711963.1497943755,43.24744278860534,80.31667946455278,5712086.713916629,0.1036352448262294,1.0807792881480659e-12,1.1200682613034274e-13,defined_closed_laws_port,resolved_proxy_current,current_default,7.243480269158819e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,2100.0,0.5833333333333334,956.0000000000001,0.651475296532445,15.228783107103045,0.015228783107103044,0.3485241489343357,1.4194435356238395e-07,4.1258886583922275e-07,10.313728037103461,25.459227349920948,1.0,,7.725724230953207e-07,3.1449712086723282e-15,7.725724262402919e-07,0.0013054082612162737,2.230714166604269e-12,0.006191632232132756,1.2421506055293632e-05,0.0014252940407217236,,,2.2075639465442066e-05,,250000000.0,5324336.165008841,41.13925212534017,76.4014682327746,5324453.7057292,0.10338702686388264,1.1477568501193763e-12,1.1866316829649728e-13,defined_closed_laws_port,resolved_proxy_current,current_default,7.725724262402919e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,2700.0,0.75,958.0000000000001,0.651961671764318,15.303104897073458,0.015303104897073459,0.34803734265513486,2.5224617997284625e-07,7.333343671182965e-07,10.313728037103461,25.459227349920948,1.0,,8.235431522446634e-07,1.1014769893720072e-14,8.235431632594333e-07,0.0017995341525630718,8.839576102836311e-12,0.008302451400359944,1.6675755911182754e-05,0.002355475749258219,,,2.2538582835443428e-05,,250000000.0,4964147.736831586,39.16058186490345,72.72679489196356,4964259.624208343,0.1031176029599729,1.218331219070312e-12,1.256313949218322e-13,defined_closed_laws_port,resolved_proxy_current,current_default,8.235431632594333e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,3300.0,0.9166666666666666,960.0000000000001,0.6524799108030688,15.381750449204366,0.015381750449204368,0.34751852691832014,3.999007204405296e-07,1.1623778908160272e-06,10.313728037103461,25.459227349920948,1.0,,8.773705457478366e-07,2.962633021667087e-14,8.773705753741669e-07,0.002325956480011774,2.6615374232838834e-11,0.01058471137248815,2.128650487500951e-05,0.00355265984259303,,,2.3022111792885286e-05,,250000000.0,4629377.586261258,37.3031757107159,69.27732631990096,4629484.16676329,0.10282577140576182,1.2926475232884718e-12,1.3291747873788458e-13,defined_closed_laws_port,resolved_proxy_current,current_default,8.773705753741669e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,3900.0,1.0833333333333333,962.0000000000001,0.6530317772735788,15.464912836370836,0.015464912836370836,0.34696592229815215,5.890212047926903e-07,1.711407064189537e-06,10.313728037103461,25.459227349920948,1.0,,9.341648330678838e-07,6.756161386979083e-14,9.341649006294977e-07,0.002886455379852504,6.715234255471333e-11,0.013049757825924378,2.627923559791656e-05,0.005037417170850007,,,2.352753498562273e-05,,250000000.0,4318159.785594115,35.559316023227936,66.03872975742333,4318261.383639895,0.10251033250553582,1.3708529388714796e-12,1.4052659057990635e-13,defined_closed_laws_port,resolved_proxy_current,current_default,9.341649006294977e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,4500.0,1.25,964.0000000000001,0.6536191006968155,15.552787838249436,0.015552787838249435,0.3463776817069471,8.241912454122128e-07,2.393404991967793e-06,10.313728037103461,25.459227349920948,1.0,,9.94035648847511e-07,1.3759804300373692e-13,9.940357864455539e-07,0.0034828767691610107,1.4971116835695547e-10,0.015709307719004407,3.168063615740649e-05,0.006831349405285648,,,2.4056236911434794e-05,,250000000.0,4028770.547905105,33.92178659731051,62.997603680719514,4028867.4672953836,0.10217010117815113,1.4530964874691418e-12,1.4846301514633824e-13,defined_closed_laws_port,resolved_proxy_current,current_default,9.940357864455539e-07,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,5100.0,1.4166666666666667,966.0000000000001,0.6542437759010702,15.645573374226656,0.015645573374226656,0.3457518907783575,1.1105215775124389e-06,3.2227989947911362e-06,10.313728037103461,25.459227349920948,1.0,,1.0570915080667254e-06,2.5809003813106145e-13,1.0570917661567636e-06,0.0041171316740010455,3.0456519123559235e-10,0.018575399130631918,3.7518560934078994e-05,0.008957053157832299,,,2.4609680843191064e-05,,250000000.0,3759617.0148381693,32.383838145650564,60.14141369906533,3759709.5400900138,0.10180392131110899,1.5395288405446565e-12,1.5673007293899107e-13,defined_closed_laws_port,resolved_proxy_current,current_default,1.0570917661567636e-06,250.0
final_fig1,A-F,0.2 C/min,0.2 C/min,P001,S03276,0.2 C/min,heating_rate,5700.0,1.5833333333333333,968.0000000000001,0.654907762105446,15.743468893409517,0.015743468893409517,0.3450865685535736,1.4537140246123246e-06,4.215626955880732e-06,10.313728037103461,25.459227349920948,1.0,,1.123439250613852e-06,4.547194517188348e-13,1.1234397053333037e-06,0.004791195224369356,5.773968622668932e-10,0.021660328631023927,4.382197148972089e-05,0.011438065665295812,,,2.5189411736923997e-05,,250000000.0,3509226.9584943093,30.93915629668608,57.458433122417006,3509315.3560837284,0.10141068187763047,1.6303021352368812e-12,1.6533005120092904e-13,defined_closed_laws_port,resolved_proxy_current,current_default,1.1234397053333037e-06,250.0
