mobility_case_id,T1_C,switch_density,hold_h,lower_boundary_present,upper_boundary_present,T_lower_density_C,T_upper_growth_C,success_count,success_min_T2_C,success_max_T2_C,finite_window,window_width_C,boundary_gap_C,gb_mobility_mode,M0_factor,Q_M_kJ_mol,M0_or_K0_value,M0_refit,calibration_target_used,non_validation_flag
mobility_00,1300,0.8,20,False,True,,1100.0,0,,,False,,,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1300,0.8,40,False,True,,1100.0,0,,,False,,,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1300,0.9,20,False,True,,1100.0,0,,,False,,,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1300,0.9,40,False,True,,1000.0,0,,,False,,,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1400,0.8,20,True,True,1300.0,1100.0,0,,,False,,-200.0,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1400,0.8,40,True,True,1300.0,1100.0,0,,,False,,-200.0,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1400,0.9,20,True,True,1300.0,1100.0,0,,,False,,-200.0,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_00,1400,0.9,40,True,True,1300.0,1000.0,0,,,False,,-300.0,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True
mobility_01,1300,0.8,20,False,True,,1100.0,0,,,False,,,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1300,0.8,40,False,True,,1100.0,0,,,False,,,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1300,0.9,20,False,True,,1100.0,0,,,False,,,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1300,0.9,40,False,True,,1000.0,0,,,False,,,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1400,0.8,20,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1400,0.8,40,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1400,0.9,20,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_01,1400,0.9,40,True,True,1300.0,1000.0,0,,,False,,-300.0,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True
mobility_02,1300,0.8,20,False,True,,1100.0,0,,,False,,,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1300,0.8,40,False,True,,1100.0,0,,,False,,,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1300,0.9,20,False,True,,1100.0,0,,,False,,,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1300,0.9,40,False,True,,1000.0,0,,,False,,,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1400,0.8,20,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1400,0.8,40,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
mobility_02,1400,0.9,20,True,True,1300.0,1100.0,0,,,False,,-200.0,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True
