case,t_s,T_K,rho,bin,radius_m,phi_open,phi_iso,phi_closed
CS_thermal,120.0,298.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,0.0,0.0
CS_thermal,120.0,298.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,0.0,0.0
CS_thermal,240.0,308.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,4.223657450650847e-67,1.2855737174063431e-67
CS_thermal,240.0,308.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,1.2564537285620647e-66,2.4341090098328408e-67
CS_thermal,240.0,308.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,2.6249695513920833e-66,3.236704283445745e-67
CS_thermal,240.0,308.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,3.8514299259366704e-66,3.022636908006343e-67
CS_thermal,240.0,308.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,3.9686215912792203e-66,1.9823890915162294e-67
CS_thermal,240.0,308.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,2.871953082907546e-66,9.130861961828204e-68
CS_thermal,240.0,308.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,1.4596036834578746e-66,2.9536199657470196e-68
CS_thermal,240.0,308.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,5.209697661596389e-67,6.709921087919289e-69
CS_thermal,240.0,308.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,1.305900384279581e-67,1.0705332730224382e-69
CS_thermal,240.0,308.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,2.298939481653359e-68,1.1995072775439544e-70
CS_thermal,240.0,308.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,2.842267753106987e-69,9.43899083015044e-72
CS_thermal,240.0,308.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,2.4678706701437248e-70,5.216367746180808e-73
CS_thermal,360.0,318.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,6.153084353635704e-65,1.872842108632488e-65
CS_thermal,360.0,318.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,1.8304196939766407e-64,3.546044687203081e-65
CS_thermal,360.0,318.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,3.824093043566272e-64,4.715276917342516e-65
CS_thermal,360.0,318.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,5.610817992058864e-64,4.403420514727036e-65
CS_thermal,360.0,318.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,5.781544479900495e-64,2.887972674002476e-65
CS_thermal,360.0,318.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,4.183902171349423e-64,1.3301969804363513e-65
CS_thermal,360.0,318.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,2.126371442790595e-64,4.3028756498762695e-66
CS_thermal,360.0,318.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,7.589561782241982e-65,9.775108645196672e-67
CS_thermal,360.0,318.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,1.902454286551892e-65,1.5595681253141732e-67
CS_thermal,360.0,318.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,3.3491277926283746e-66,1.7474592927488796e-68
CS_thermal,360.0,318.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,4.14065615993337e-67,1.3750856330017922e-69
CS_thermal,360.0,318.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,3.5952291549869584e-68,7.599278856501277e-71
CS_thermal,480.0,328.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,6.528537187623633e-63,1.9871203854909077e-63
CS_thermal,480.0,328.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,1.9421094128222426e-62,3.762419508470004e-63
CS_thermal,480.0,328.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,4.057433997163328e-62,5.002996698172117e-63
CS_thermal,480.0,328.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,5.953182470592986e-62,4.6721112422510236e-63
CS_thermal,480.0,328.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,6.134326456393842e-62,3.0641928365447367e-63
CS_thermal,480.0,328.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,4.4391981882865545e-62,1.4113637900172914e-63
CS_thermal,480.0,328.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,2.2561197346102906e-62,4.5654312665710277e-64
CS_thermal,480.0,328.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,8.052666514129088e-63,1.0371572472514499e-64
CS_thermal,480.0,328.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,2.0185394582099626e-63,1.6547308500215738e-65
CS_thermal,480.0,328.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,3.55348701295778e-64,1.854086880806151e-66
CS_thermal,480.0,328.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,4.393313364104149e-65,1.4589914870766757e-67
CS_thermal,480.0,328.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,3.8146051455466016e-66,8.062976511036452e-69
CS_thermal,600.0,338.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,5.216506678076327e-61,1.5877717263686224e-61
CS_thermal,600.0,338.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,1.5518065426276276e-60,3.006291597582595e-61
CS_thermal,600.0,338.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,3.242017458701289e-60,3.997551815417983e-61
CS_thermal,600.0,338.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,4.7567801516895553e-60,3.7331639225584814e-61
CS_thermal,600.0,338.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,4.901519897281398e-60,2.448386512226873e-61
CS_thermal,600.0,338.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,3.5470590622353904e-60,1.1277240864580575e-61
CS_thermal,600.0,338.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,1.80271067222308e-60,3.647923264573613e-62
CS_thermal,600.0,338.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,6.434333977128858e-61,8.287212818147085e-63
CS_thermal,600.0,338.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,1.612876554287597e-61,1.322182026613905e-63
CS_thermal,600.0,338.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,2.839347958175466e-62,1.4814737693145498e-64
CS_thermal,600.0,338.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,3.5103956436331885e-63,1.1657801153404035e-65
CS_thermal,600.0,338.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,3.047989563985514e-64,6.44257198913255e-67
CS_thermal,720.0,348.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,3.219321987660609e-59,9.798795909850759e-60
CS_thermal,720.0,348.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,9.57683988841165e-59,1.855306863133546e-59
CS_thermal,720.0,348.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,2.0007830399299864e-58,2.4670545348431336e-59
CS_thermal,720.0,348.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,2.9356057372956145e-58,2.303889833007129e-59
CS_thermal,720.0,348.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,3.024930619679174e-58,1.5110005640806183e-59
CS_thermal,720.0,348.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,2.1890368277638633e-58,6.959651681856385e-60
CS_thermal,720.0,348.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,1.112527302776949e-58,2.2512842980335718e-60
CS_thermal,720.0,348.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,3.9708935743491404e-59,5.114381728678656e-61
CS_thermal,720.0,348.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,9.95372818446216e-60,8.159732044160777e-62
CS_thermal,720.0,348.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,1.752279039685682e-60,9.142787259798054e-63
CS_thermal,720.0,348.15,0.4840336134453783,10,7.818414472715056e-08,0.0011562970711488803,2.1664103160132073e-61,7.194511173283632e-64
CS_thermal,720.0,348.15,0.4840336134453783,11,9.8e-08,0.00015773991641190448,1.8810404025241554e-62,3.9759775922206324e-65
CS_thermal,840.0,358.15,0.4840336134453783,0,8.166666666666667e-09,0.001874758823462051,1.5691830156325505e-57,4.776193302292477e-58
CS_thermal,840.0,358.15,0.4840336134453783,1,1.0236517085738568e-08,0.008762297394610544,4.668006044107499e-57,9.043258268587284e-58
CS_thermal,840.0,358.15,0.4840336134453783,2,1.2830973311830731e-08,0.028761433758050462,9.752347780860693e-57,1.202507885061924e-57
CS_thermal,840.0,358.15,0.4840336134453783,3,1.6082997248964597e-08,0.06630145120008903,1.4308921820228257e-56,1.1229770770678278e-57
CS_thermal,840.0,358.15,0.4840336134453783,4,2.0159250138234185e-08,0.10733849372413436,1.4744315014344615e-56,7.365017947426486e-58
CS_thermal,840.0,358.15,0.4840336134453783,5,2.526863369090349e-08,0.12204160726945623,1.0669946727563368e-56,3.392319021131377e-58
CS_thermal,840.0,358.15,0.4840336134453783,6,3.167299598084116e-08,0.0974496537655851,5.422753469943137e-57,1.0973357425492025e-58
CS_thermal,840.0,358.15,0.4840336134453783,7,3.970055075686648e-08,0.054647794858610946,1.93551896257542e-57,2.4928854506833047e-59
CS_thermal,840.0,358.15,0.4840336134453783,8,4.976269789419122e-08,0.021522114791318173,4.8517114066714075e-58,3.977270054032139e-60
CS_thermal,840.0,358.15,0.4840336134453783,9,6.237510700730634e-08,0.005952743981744068,8.54107330134374e-59,4.456437268035473e-61
