case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,120.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,240.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,360.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,480.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,600.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,720.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,840.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,960.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1080.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1200.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1320.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1440.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1560.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1680.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1800.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,1920.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2040.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2160.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2280.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2400.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2520.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2640.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2760.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,2880.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3000.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3120.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3240.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3360.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3480.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3600.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3720.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3840.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,3960.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4080.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4200.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
CS_thermal,4320.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
