method,source_figure,T_C,time_min,rho,G_um,digitization_uncertainty,included_in_pdf_conditioned_fit,excluded_reason
CS,Figure 2,950.0,,0.652,,0.006,True,
CS,Figure 2,1050.0,,0.675,,0.006,True,
CS,Figure 2,1150.0,,0.721,,0.006,True,
CS,Figure 2,1200.0,,0.769,,0.006,True,
CS,Figure 2,1250.0,,0.821,,0.006,True,
CS,Figure 2,1300.0,,0.925,,0.006,True,
CS,Figure 2,1350.0,,0.948,,0.006,True,
CS,Figure 2,1500.0,,0.975,,0.006,True,
LMS,Figure 2,950.0,,0.67,,0.006,True,
LMS,Figure 2,1050.0,,0.704,,0.006,True,
LMS,Figure 2,1150.0,,0.789,,0.006,True,
LMS,Figure 2,1200.0,,0.893,,0.006,True,
LMS,Figure 2,1250.0,,0.959,,0.006,True,
LMS,Figure 2,1300.0,,0.97,,0.006,True,
LMS,Figure 2,1350.0,,0.98,,0.006,True,
LMS,Figure 2,1400.0,,0.98,,0.006,True,
HMS,Figure 2,950.0,,0.658,,0.006,True,
HMS,Figure 2,1050.0,,0.668,,0.006,True,
HMS,Figure 2,1150.0,,0.71,,0.006,True,
HMS,Figure 2,1200.0,,0.758,,0.006,True,
HMS,Figure 2,1250.0,,0.839,,0.006,True,
HMS,Figure 2,1300.0,,0.898,,0.006,True,
HMS,Figure 2,1350.0,,0.925,,0.006,True,
HMS,Figure 2,1400.0,,0.955,,0.006,True,
HMS,Figure 2,1450.0,,0.973,,0.006,True,
HMS,Figure 2,1500.0,,0.98,,0.006,True,
HMS,Figure 4,,18.0,0.66,,0.008,True,
HMS,Figure 4,,20.0,0.67,,0.008,True,
HMS,Figure 4,,22.0,0.71,,0.008,True,
HMS,Figure 4,,23.0,0.76,,0.008,True,
HMS,Figure 4,,24.0,0.84,,0.008,True,
HMS,Figure 4,,25.0,0.9,,0.008,True,
HMS,Figure 4,,26.0,0.925,,0.008,True,
HMS,Figure 4,,27.0,0.955,,0.008,True,
HMS,Figure 4,,28.0,0.973,,0.008,True,
HMS,Figure 4,,29.0,0.98,,0.008,True,
LMS,Figure 4,,190.0,0.67,,0.008,True,
LMS,Figure 4,,210.0,0.7,,0.008,True,
LMS,Figure 4,,230.0,0.79,,0.008,True,
LMS,Figure 4,,240.0,0.89,,0.008,True,
LMS,Figure 4,,250.0,0.96,,0.008,True,
LMS,Figure 4,,260.0,0.97,,0.008,True,
LMS,Figure 4,,270.0,0.98,,0.008,True,
CS,Figure 4,,190.0,0.65,,0.008,True,
CS,Figure 4,,210.0,0.67,,0.008,True,
CS,Figure 4,,230.0,0.76,,0.008,True,
CS,Figure 4,,240.0,0.82,,0.008,True,
CS,Figure 4,,250.0,0.925,,0.008,True,
CS,Figure 4,,260.0,0.95,,0.008,True,
CS,Figure 4,,300.0,0.975,,0.008,True,
TSS,Figure 4,,720.0,0.87,,0.01,True,
TSS,Figure 4,,1150.0,0.94,,0.01,True,
TSS,Figure 4,,1500.0,0.98,,0.01,True,
CS,Figure 5,950.0,,,0.05,,True,
CS,Figure 5,1050.0,,,0.08,,True,
CS,Figure 5,1150.0,,,0.15,,True,
CS,Figure 5,1200.0,,,0.18,,True,
CS,Figure 5,1250.0,,,0.2,,True,
CS,Figure 5,1300.0,,,0.42,,True,
CS,Figure 5,1350.0,,,0.98,,True,
CS,Figure 5,1500.0,,,2.14,,True,
LMS,Figure 5,950.0,,,0.05,,True,
LMS,Figure 5,1050.0,,,0.1,,True,
LMS,Figure 5,1150.0,,,0.21,,True,
LMS,Figure 5,1200.0,,,0.46,,True,
LMS,Figure 5,1250.0,,,1.03,,True,
LMS,Figure 5,1300.0,,,1.83,,True,
LMS,Figure 5,1350.0,,,2.09,,True,
LMS,Figure 5,1400.0,,,2.35,,True,
HMS,Figure 5,950.0,,,0.05,,True,
HMS,Figure 5,1050.0,,,0.07,,True,
HMS,Figure 5,1150.0,,,0.14,,True,
HMS,Figure 5,1200.0,,,0.17,,True,
HMS,Figure 5,1250.0,,,0.25,,True,
HMS,Figure 5,1300.0,,,0.36,,True,
HMS,Figure 5,1350.0,,,0.4,,True,
HMS,Figure 5,1400.0,,,0.52,,True,
HMS,Figure 5,1450.0,,,0.65,,True,
HMS,Figure 5,1500.0,,,0.9,,True,
CS,Figure 6,,,0.66,0.05,0.007,True,
CS,Figure 6,,,0.72,0.13,0.007,True,
CS,Figure 6,,,0.77,0.17,0.007,True,
CS,Figure 6,,,0.82,0.21,0.007,True,
CS,Figure 6,,,0.93,0.41,0.007,True,
CS,Figure 6,,,0.96,0.98,0.007,True,
CS,Figure 6,,,0.975,2.14,0.007,True,
LMS,Figure 6,,,0.7,0.09,0.007,True,
LMS,Figure 6,,,0.79,0.2,0.007,True,
LMS,Figure 6,,,0.89,0.46,0.007,True,
LMS,Figure 6,,,0.96,1.03,0.007,True,
LMS,Figure 6,,,0.97,1.83,0.007,True,
LMS,Figure 6,,,0.98,2.35,0.007,True,
HMS,Figure 6,,,0.66,0.05,0.007,True,
HMS,Figure 6,,,0.76,0.17,0.007,True,
HMS,Figure 6,,,0.84,0.25,0.007,True,
HMS,Figure 6,,,0.9,0.36,0.007,True,
HMS,Figure 6,,,0.95,0.52,0.007,True,
HMS,Figure 6,,,0.965,0.66,0.007,True,
HMS,Figure 6,,,0.98,0.9,0.007,True,
TSS,Figure 6,,,0.82,0.18,0.01,True,
TSS,Figure 6,,,0.88,0.21,0.01,True,
TSS,Figure 6,,,0.94,0.25,0.01,True,
TSS,Figure 6,,,0.976,0.29,0.01,True,
