parameter_name,parameter_class,physical_source,forward_location,calibration_required,notes
Gstar_sigma_T,fixed_ZrO2_input,barrier/material input,defined_closed_laws_port,False,
nu0,fixed_ZrO2_input,barrier/material input,defined_closed_laws_port,False,
b,literature_input,barrier/material input,defined_closed_laws_port,False,
D_GB0,literature_input,barrier/material input,defined_closed_laws_port,False,
Q_GB,literature_input,barrier/material input,defined_closed_laws_port,False,
D_s0,literature_input,barrier/material input,defined_closed_laws_port,False,
Q_s,literature_input,barrier/material input,defined_closed_laws_port,False,
gamma_s,literature_input,barrier/material input,defined_closed_laws_port,False,
gamma_GB,literature_input,barrier/material input,defined_closed_laws_port,False,
Omega,literature_input,barrier/material input,defined_closed_laws_port,False,
C_TJ,geometry_derived,defined law/current state,defined_closed_laws_port,False,
C_GB,geometry_derived,defined law/current state,defined_closed_laws_port,False,
rho_TL_area,geometry_derived,defined law/current state,defined_closed_laws_port,False,
eps_event,geometry_derived,defined law/current state,defined_closed_laws_port,False,
sigma_closed_i,geometry_derived,defined law/current state,defined_closed_laws_port,False,
R_Z,geometry_derived,defined law/current state,defined_closed_laws_port,False,
phi_open_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
phi_iso_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
phi_closed_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
N_closed_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
r_closed_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
P_gas_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
A_closed_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
A_closed_used_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
A_closed_recovered_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
PR_memory,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
PR_work,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
precursor_closed_i,evolved_state_variable,defined law/current state,defined_closed_laws_port,False,
sigma_eff,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
tau_nuc,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
tau_transport,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
tau_sink,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
Lambda,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
activity,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
rho_dot_open_i,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
rho_dot_closed_i,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
Q_closed_app,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,post-run apparent diagnostic only
Gamma_migration,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
G_dot_intrinsic,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
G_dot_actual,computed_diagnostic,defined law/current state,defined_closed_laws_port,False,
M0_growth,global_calibration,defined law/current state,defined_closed_laws_port,True,
Q_growth,bounded_uncertainty,defined law/current state,defined_closed_laws_port,False,
A_closed_max_i,reduced_phenomenological,defined law/current state,defined_closed_laws_port,True,
tau_exchange,missing_physical_mapping,defined law/current state,defined_closed_laws_port,True,
chi_shrink_i,missing_physical_mapping,defined law/current state,defined_closed_laws_port,True,
C_geom_i,missing_physical_mapping,defined law/current state,defined_closed_laws_port,True,
k_closed_eff,missing_physical_mapping,defined law/current state,defined_closed_laws_port,True,
"Q_closed_emp,k0_closed_emp",empirical_diagnostic,none,empirical_closed_rate_diagnostic,False,nonphysical diagnostic only
candidate693168_rate_capacity_set,reduced_phenomenological,conditional Tier B comparator,candidate_reduced_transfer,True,not calibrated ZrO2 inputs
