factor_a,factor_b,metric,max_abs_interaction_residual,interaction_method
rho_start,G_start_nm,final_rho_50,6.931995761072507e-06,balanced two-factor mean residual
rho_start,G_start_nm,fast_smaller_G_fraction,0.019160493827160452,balanced two-factor mean residual
rho_start,G_start_nm,fast_smaller_D90_fraction,0.022419753086419802,balanced two-factor mean residual
rho_start,pore_D50_nm,final_rho_50,0.012606410209723418,balanced two-factor mean residual
rho_start,pore_D50_nm,fast_smaller_G_fraction,0.043555555555555514,balanced two-factor mean residual
rho_start,pore_D50_nm,fast_smaller_D90_fraction,0.0411851851851851,balanced two-factor mean residual
rho_start,pore_log_width,final_rho_50,0.0016846392297508173,balanced two-factor mean residual
rho_start,pore_log_width,fast_smaller_G_fraction,0.006913580246913575,balanced two-factor mean residual
rho_start,pore_log_width,fast_smaller_D90_fraction,0.012938271604938323,balanced two-factor mean residual
rho_start,phi_iso_fraction,final_rho_50,0.0017105172801125113,balanced two-factor mean residual
rho_start,phi_iso_fraction,fast_smaller_G_fraction,0.004246913580246869,balanced two-factor mean residual
rho_start,phi_iso_fraction,fast_smaller_D90_fraction,0.008987654320987692,balanced two-factor mean residual
G_start_nm,pore_D50_nm,final_rho_50,0.00010146406613520398,balanced two-factor mean residual
G_start_nm,pore_D50_nm,fast_smaller_G_fraction,0.1346172839506173,balanced two-factor mean residual
G_start_nm,pore_D50_nm,fast_smaller_D90_fraction,0.07585185185185186,balanced two-factor mean residual
G_start_nm,pore_log_width,final_rho_50,1.2290711370877005e-06,balanced two-factor mean residual
G_start_nm,pore_log_width,fast_smaller_G_fraction,0.015308641975308623,balanced two-factor mean residual
G_start_nm,pore_log_width,fast_smaller_D90_fraction,0.03812345679012347,balanced two-factor mean residual
G_start_nm,phi_iso_fraction,final_rho_50,3.7282014879735925e-06,balanced two-factor mean residual
G_start_nm,phi_iso_fraction,fast_smaller_G_fraction,0.010864197530864206,balanced two-factor mean residual
G_start_nm,phi_iso_fraction,fast_smaller_D90_fraction,0.01175308641975309,balanced two-factor mean residual
pore_D50_nm,pore_log_width,final_rho_50,0.014106927637388078,balanced two-factor mean residual
pore_D50_nm,pore_log_width,fast_smaller_G_fraction,0.05125925925925923,balanced two-factor mean residual
pore_D50_nm,pore_log_width,fast_smaller_D90_fraction,0.2030617283950617,balanced two-factor mean residual
pore_D50_nm,phi_iso_fraction,final_rho_50,0.00555180257175969,balanced two-factor mean residual
pore_D50_nm,phi_iso_fraction,fast_smaller_G_fraction,0.01748148148148143,balanced two-factor mean residual
pore_D50_nm,phi_iso_fraction,fast_smaller_D90_fraction,0.02725925925925926,balanced two-factor mean residual
pore_log_width,phi_iso_fraction,final_rho_50,0.0007898944795495799,balanced two-factor mean residual
pore_log_width,phi_iso_fraction,fast_smaller_G_fraction,0.0016790123456790762,balanced two-factor mean residual
pore_log_width,phi_iso_fraction,fast_smaller_D90_fraction,0.011061728395061754,balanced two-factor mean residual
