parameter,scale,dT_lower_density,dT_upper_growth,dgap,n_lower_finite,n_upper_finite,n_gap_finite,primary_boundary_role,any_pathway_consistent,strict_window_count,required_gap_improvement_C,estimated_coordinate_change,direction_to_improve_gap,estimate_status,not_a_tuning_recommendation,rank_by_estimable_gap_motion,recommendation_status
PR_scale,log10,0.0,,,5,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,1,diagnostic_only_fails_pathway_gate
closed_accommodation_capacity,log10,0.0,,,3,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,2,diagnostic_only_fails_pathway_gate
closed_shrinkage_prefactor,log10,0.0,,,5,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,3,diagnostic_only_fails_pathway_gate
mobile_drag_scale,log10,0.0,,,5,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,4,diagnostic_only_fails_pathway_gate
pore_D50_nm,log10,152.0819351834107,0.0,,5,2,2,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,5,diagnostic_only_fails_pathway_gate
pore_log_width,linear,0.0,,,3,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,6,diagnostic_only_fails_pathway_gate
rho_close_mid,per_0p01,0.0,,,4,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,7,diagnostic_only_fails_pathway_gate
rho_close_width,per_0p01,0.0,,,3,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,8,diagnostic_only_fails_pathway_gate
tau_remove_scale,log10,0.0,,,5,0,0,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,9,diagnostic_only_fails_pathway_gate
zener_strength,log10,0.0,191.24892893931977,,5,2,2,sparse_or_censored_gap_response; destroys_or_fails_pathway_consistency,False,0,125.0,,unidentified,censored_or_not_estimable,True,10,diagnostic_only_fails_pathway_gate
