parameter,value,role
site_density_multiplier,100.0,global resolved-rule parameter
sink_time_factor,1.0,global resolved-rule parameter
surface_power_length2_m2,2.9999999999999997e-20,global resolved-rule parameter
C_PR_m2,1e-23,global resolved-rule parameter
C_iso_m2,2e-25,global resolved-rule parameter
C_close_m2,1e-25,global resolved-rule parameter
closed_tau0_s,3000.0,global resolved-rule parameter
rho_close_mid,0.9,global resolved-rule parameter
rho_close_width,0.03,global resolved-rule parameter
zener_strength,1.0,global resolved-rule parameter
mobile_drag_scale,1.0,global resolved-rule parameter
stress_min_Pa,1000.0,global resolved-rule parameter
stress_max_Pa,250000000.0,global resolved-rule parameter
mechanism_mode,resolved_rules,global resolved-rule parameter
activity_mid,0.15,global resolved-rule parameter
activity_width,0.06,global resolved-rule parameter
activity_power,1.5,global resolved-rule parameter
Q_PR_J_mol,180000.0,global resolved-rule parameter
T_PR_ref_K,1573.15,global resolved-rule parameter
PR_to_iso_fraction,0.12,global resolved-rule parameter
PR_memory_phi_scale,0.002,global resolved-rule parameter
precursor_prepare_tau_s,50000.0,global resolved-rule parameter
closed_transition_tau_s,20000.0,global resolved-rule parameter
rho_iso_mid,0.78,global resolved-rule parameter
rho_closed_mid,0.84,global resolved-rule parameter
rho_transition_width,0.035,global resolved-rule parameter
accommodation_max,1.0,global resolved-rule parameter
accommodation_prepare_tau_s,5000.0,global resolved-rule parameter
accommodation_capacity_phi,0.2,global resolved-rule parameter
PR_memory_decay_s,2000000.0,global resolved-rule parameter
closed_migration_drag,5.0,global resolved-rule parameter
PR_migration_drag,1.5,global resolved-rule parameter
gb_mobility_mode,CS_endpoint_calibrated,global resolved-rule parameter
M0_factor,1.0,global resolved-rule parameter
Q_M_J_mol_override,,global resolved-rule parameter
no_PR_damage,False,global resolved-rule parameter
no_closed_transition,False,global resolved-rule parameter
no_closed_shrinkage,False,global resolved-rule parameter
infinite_closed_accommodation,False,global resolved-rule parameter
no_TJ_multihit,True,global resolved-rule parameter
no_residual_stress,True,global resolved-rule parameter
no_pore_drag,False,global resolved-rule parameter
no_persistent_junction_state,True,global resolved-rule parameter
no_sweep_coalescence,True,global resolved-rule parameter
no_network_heterogeneity,True,global resolved-rule parameter
